feature_id	namespace	value	first_count	last_count	total_count	full_log_likelihood_ratio	positive_folds	negative_folds	zero_folds	minimum_fold_coefficient	maximum_fold_coefficient	mean_fold_coefficient	structural_label	family_member_examples
P1:A	P1	A	857	1037	1894	-0.1905480730647584	0	102	0	-0.20239567028478977	-0.17074327492067787	-0.19052754114148904	UNRESOLVED	A1=o;A2=y;A3=a;A4=u
P1:B	P1	B	483	653	1136	-0.3012912181709275	0	102	0	-0.32203709653343515	-0.28637778114910106	-0.3012968181249239	UNRESOLVED	B1=d;B2=l;B3=m;B4=g
P1:C	P1	C	327	187	514	0.557709209664841	102	0	0	0.505420205199083	0.5871742950115801	0.5576425948784596	OPEN_EDGE_ASSOCIATED	C1=r;C2=s;Cd=@206;;Cf={c'}
P1:D	P1	D	377	238	615	0.4592012583606837	102	0	0	0.4343098796160514	0.4967222608699302	0.4592193234761676	UNRESOLVED	D1=q;Da=q';Dc={q@207;}
P1:E	P1	E	0	2	2	-1.6094379124341014	0	102	0	-1.6094379124341014	-1.0986122886681091	-1.5994217237328066	UNRESOLVED	E1=i;E2=n;Ea=I;Eb=@172;
P1:J	P1	J	0	3	3	-1.9459101490553143	0	102	0	-1.9459101490553143	-1.6094379124340996	-1.9360139068017483	UNRESOLVED	J1=e;J2=b;Ja=c;Jb=h
P1:K	P1	K	100	403	503	-1.390018760210873	0	102	0	-1.4235497935882182	-1.3623788097233327	-1.3900342369844927	CLOSE_EDGE_ASSOCIATED	K1=ch;K2=ee;K3={ee};Ka={oh}
P1:L	P1	L	137	114	251	0.18304909411233172	102	0	0	0.13187804421813532	0.2502606874036344	0.1830640755773993	UNRESOLVED	L1=sh;Lb={ch'};Lg={i'h};Lh={cr}
P1:M	P1	M	0	2	2	-1.6094379124341014	0	102	0	-1.6094379124341014	-1.0986122886681091	-1.5994217237328066	UNRESOLVED	M1=eee;M2=eeb;M3={eee};M4=e{ee}
P1:P	P1	P	265	18	283	2.663844108597715	102	0	0	2.6056881884406407	2.751535313041949	2.6637644622279417	OPEN_EDGE_ASSOCIATED	P1=p;P2=f;Pc=@171;;Pd=@167;
P1:Q	P1	Q	318	125	443	0.9313167164403793	102	0	0	0.8943653712451893	0.9644829887014104	0.9313029420355906	OPEN_EDGE_ASSOCIATED	Q1=k;Q2=t;Qa=@176;;Qe=@146;
P1:T	P1	T	2	14	16	-1.7578579175523732	0	102	0	-2.2686835413183646	-1.5260563034950492	-1.757895182549149	UNRESOLVED	T1=cph;T2=cfh;T3={iph};T4={ifh}
P1:U	P1	U	7	77	84	-2.3353749158170367	0	102	0	-2.4784757594577105	-2.2686835413183646	-2.335304928305566	CLOSE_EDGE_ASSOCIATED	U1=ckh;U2=cth;U3={ikh};U4={ith}
P2:A	P2	A	30	17	47	0.5555258026838974	102	0	0	0.4519851237430572	0.6143663027068316	0.5554367408721933	OPEN_EDGE_ASSOCIATED	A1=o;A2=y;A3=a;A4=u
P2:AA	P2	AA	44	10	54	1.444113932008717	102	0	0	1.3499267169490157	1.6554230256759235	1.4441413283922642	OPEN_EDGE_ASSOCIATED	A1=o;A2=y;A3=a;A4=u
