root_tuple	atom_count	structural_class	hybrid95_status	present_all_readings	ZL3b_count	ZL3b_prose_count	ZL3b_pages	ZL3b_sections	ZL3b_dominant_role_pattern	ZL3b_role_patterns	ZL3b_kind_counts	ZL3b_top_surfaces	ZL3b_line_start_share	ZL3b_line_end_share	IT2a_count	IT2a_prose_count	IT2a_pages	IT2a_sections	IT2a_dominant_role_pattern	IT2a_role_patterns	IT2a_kind_counts	IT2a_top_surfaces	IT2a_line_start_share	IT2a_line_end_share	RF1b_count	RF1b_prose_count	RF1b_pages	RF1b_sections	RF1b_dominant_role_pattern	RF1b_role_patterns	RF1b_kind_counts	RF1b_top_surfaces	RF1b_line_start_share	RF1b_line_end_share
EMPTY	1	NONCORE_PRESENT	UNCOVERED_AT_95	1	12	11	12	5	Q_BARE	Q_BARE:7;BARE:4	P:11;L:1	qy:5;n:3;q:3;dn:1	0.09090909090909091	0.36363636363636365	8	6	8	4	BARE	BARE:3;Q_BARE:3	P:6;C:1;L:1	n:4;qy:3;q:1	0.0	0.5	23	22	19	6	Q_BARE	Q_BARE:17;BARE:5	P:22;L:1	q:10;qy:7;n:5;sq:1	0.13636363636363635	0.18181818181818182
H	1	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	5379	5074	226	8	BOUND_D	BOUND_D:1619;BOUND_E:1415;FREE_L:779;FREE_R:594;BARE:485;REL_I:124;FREE_A:56;Q_FREE_R:2	P:5144;C:174;L:40;R:21	chedy:508;shedy:435;chol:398;chey:355;shey:279;chor:212;chy:193;shol:186	0.1277098935750887	0.05951911706740244	5259	4991	224	8	BOUND_D	BOUND_D:1605;BOUND_E:1407;FREE_L:784;FREE_R:598;BARE:425;REL_I:119;FREE_A:49;Q_BOUND_D:2;Q_FREE_R:2	P:5056;C:155;L:28;R:20	chedy:501;shedy:427;chol:397;chey:344;shey:283;chor:220;shol:187;cheey:174	0.13123622520536968	0.05910639150470848	5370	5073	226	8	BOUND_E	BOUND_E:1842;BOUND_D:1112;FREE_L:746;BARE:629;FREE_R:573;REL_I:116;FREE_A:53;Q_FREE_R:2	P:5136;C:173;L:42;R:19	chol:376;chey:345;chedy:342;che:261;shedy:253;shey:240;chor:216;chy:193	0.12497535974768381	0.0599250936329588
H+EMPTY	2	NONCORE_PRESENT	UNCOVERED_AT_95	0																					1	1	1	1	FREE_L+Q_BARE	FREE_L+Q_BARE:1	P:1	ykcholq:1	0.0	0.0
H+H	2	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	67	63	53	7	BOUND_E+BARE	BOUND_E+BARE:14;BOUND_E+BOUND_E:9;BOUND_E+BOUND_D:6;BOUND_D+BARE:4;FREE_L+BOUND_E:4;FREE_R+BARE:3;BOUND_D+BOUND_E:3;FREE_L+BOUND_D:3;FREE_A+BARE:2;FREE_R+BOUND_E:2;BOUND_E+FREE_L:2;FREE_R+FREE_R:2;FREE_L+BARE:2;FREE_R+REL_I:1;FREE_R+BOUND_D:1;FREE_L+FREE_R:1;FREE_L+FREE_A:1;BOUND_E+FREE_A:1;BOUND_E+FREE_R:1;BOUND_D+BOUND_D:1	P:64;C:3	chepchy:4;shepchy:3;chefchy:3;chepchey:3;chorchy:2;cholchedy:2;chechey:2;cholchey:2	0.12698412698412698	0.1111111111111111	55	51	46	7	BOUND_E+BARE	BOUND_E+BARE:14;BOUND_E+BOUND_E:7;BOUND_E+BOUND_D:4;FREE_R+FREE_R:3;BOUND_E+FREE_L:3;FREE_R+BARE:2;BOUND_D+BOUND_E:2;FREE_L+BOUND_D:2;FREE_L+BARE:2;FREE_L+BOUND_E:2;BOUND_D+BARE:2;FREE_A+BARE:1;FREE_L+REL_I:1;FREE_R+BOUND_E:1;FREE_L+FREE_L:1;FREE_L+FREE_R:1;FREE_L+FREE_A:1;BOUND_E+FREE_A:1;BOUND_E+FREE_R:1	P:52;C:3	chepchy:4;shepchy:3;chefchy:3;cholchedy:2;chechey:2;chepchey:2;cholchey:2;shechy:2	0.11764705882352941	0.11764705882352941	80	72	60	7	BOUND_E+BARE	BOUND_E+BARE:16;BOUND_E+BOUND_E:8;FREE_L+BOUND_E:5;FREE_R+BARE:5;BOUND_E+BOUND_D:5;FREE_R+BOUND_E:4;BOUND_E+FREE_L:3;FREE_L+BARE:3;BOUND_D+BOUND_E:3;BOUND_D+BARE:3;FREE_L+BOUND_D:3;FREE_R+REL_I:2;FREE_L+REL_I:2;FREE_L+FREE_L:2;FREE_R+FREE_R:2;FREE_A+BARE:1;FREE_R+BOUND_D:1;FREE_L+FREE_R:1;FREE_L+FREE_A:1;BOUND_E+FREE_A:1;BOUND_E+FREE_R:1	P:74;C:5;L:1	chepchy:4;shepchy:3;chefchy:3;chepchey:3;chorchy:2;cholchaiin:2;chechey:2;chedchey:2	0.1527777777777778	0.1111111111111111
H+H+H	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0																					1	1	1	1	FREE_A+BOUND_D+BARE	FREE_A+BOUND_D+BARE:1	P:1	shapchedyfchy:1	0.0	0.0
H+H+cth	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0	1	1	1	1	FREE_L+BOUND_E+BARE	FREE_L+BOUND_E+BARE:1	P:1	ssholshecthy:1	1.0	0.0											1	1	1	1	FREE_L+BOUND_E+BARE	FREE_L+BOUND_E+BARE:1	P:1	ssholshecthy:1	1.0	0.0
H+H+cthod	3	NONCORE_PRESENT	UNCOVERED_AT_95	0	1	1	1	1	FREE_L+BOUND_E+BARE	FREE_L+BOUND_E+BARE:1	P:1	cholchecthody:1	0.0	1.0																				
H+H+e	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0											1	1	1	1	FREE_A+BOUND_D+BOUND_E	FREE_A+BOUND_D+BOUND_E:1	P:1	shapchedyfeey:1	0.0	0.0										
H+H+k	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0																					1	1	1	1	FREE_L+BOUND_E+BARE	FREE_L+BOUND_E+BARE:1	P:1	cholcheky:1	0.0	0.0
H+H+o	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	1	1	1	1	BOUND_E+FREE_R+BARE	BOUND_E+FREE_R+BARE:1	P:1	shefshoro:1	0.0	0.0	1	1	1	1	BOUND_E+FREE_R+BARE	BOUND_E+FREE_R+BARE:1	P:1	shefshoro:1	0.0	0.0	1	1	1	1	BOUND_E+FREE_R+BARE	BOUND_E+FREE_R+BARE:1	P:1	shefshoro:1	0.0	0.0
