locus	page	section	currier	hand	kind	readings_present	reading_status	exact_surface_all	exact_root_sequence_all	exact_role_sequence_all	word_counts	stable_core_atoms	union_core_atoms	stable_confirmed_edges	union_confirmed_edges	minimum_core34_word_coverage	minimum_hybrid95_word_coverage
f100r.1	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	H;o	H;o			0.0	0.0
f100r.10	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	a;cth;k;o	a;cth;k;o			1.0	0.0
f100r.11	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_ROOT_SEQUENCE	0	1	0	ZL3b:1;IT2a:1;RF1b:1	o	o			1.0	1.0
f100r.12	f100r	P	A	1	P	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:10;IT2a:10;RF1b:10	H;Hod;ckh;cph;o;od;ol;ot;s	H;Ho;Hod;a;ckh;cph;e;o;od;ol;os;ot;s			0.8	0.7
f100r.13	f100r	P	A	1	P	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:8;IT2a:9;RF1b:9	H;aii;cth;e;od;ok;or;ot	H;aii;cth;d;e;o;od;ok;or;ot;r;s	W2>W3:BOUND_E>Q_BOUND_E	W2>W3:BOUND_E>Q_BOUND_E	1.0	1.0
f100r.14	f100r	P	A	1	P	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:10;IT2a:10;RF1b:11	H;Hk;d;e;o;od;ok;ol;ot;r	H;Hk;Ho;d;e;o;od;ok;ol;ot;r	W2>W3:BOUND_E>Q_BOUND_E	W2>W3:BOUND_E>Q_BOUND_E	1.0	1.0
f100r.15	f100r	P	A	1	P	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:7;IT2a:7;RF1b:8	H;e;od;ok;ol;or	H;ar;d;e;od;ok;ol;or;r			0.8571428571428571	0.8571428571428571
f100r.16	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	ok;os	ok;os			1.0	1.0
f100r.17	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	Ho;ckh	Ho;ckh			1.0	1.0
f100r.18	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	ol;or	ol;or			1.0	1.0
f100r.19	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	H;o;ol	H;o;ol			1.0	1.0
f100r.2	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	H;o	H;o			0.0	0.0
f100r.20	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	ol;ot	ol;ot			1.0	1.0
f100r.21	f100r	P	A	1	L	ZL3b;IT2a;RF1b	ROLE_SEQUENCE_ONLY	0	0	1	ZL3b:1;IT2a:1;RF1b:1	ol;s	ok;ol;ot;s			1.0	1.0
f100r.22	f100r	P	A	1	P	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:9;IT2a:9;RF1b:8	H;Hod;al;cph;o;ol	H;Ho;Hod;a;aii;al;cph;d;o;ol;or;s			0.625	0.5555555555555556
f100r.23	f100r	P	A	1	P	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:11;IT2a:12;RF1b:12	H;Ho;ckh;cph;e;o;oii	H;Ho;ckh;cph;e;o;oii			0.9166666666666666	0.9166666666666666
f100r.24	f100r	P	A	1	P	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:10;IT2a:10;RF1b:9	H;ai;aii;e;o;od;ol;or	H;ai;aii;e;k;o;od;ol;or;r			0.8888888888888888	0.7777777777777778
f100r.25	f100r	P	A	1	P	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:10;IT2a:10;RF1b:10	H;aii;ckh;cth;k;o;od;ok;ol;or	H;aii;ckh;cth;k;o;od;ok;ol;or			1.0	1.0
f100r.26	f100r	P	A	1	P	ZL3b;IT2a;RF1b	ROLE_SEQUENCE_ONLY	0	0	1	ZL3b:10;IT2a:10;RF1b:10	H;aii;al;k;od;ok;ol;s	H;aii;al;k;od;ok;ol;ot;s			0.9	1.0
f100r.27	f100r	P	A	1	P	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:5;IT2a:5;RF1b:5	H;Hckh;Ho;od;ol;ot	H;Hckh;Ho;od;ol;ot			1.0	0.8
f100r.3	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	ot	ot			1.0	1.0
f100r.4	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	Ho	Ho			1.0	1.0
f100r.5	f100r	P	A	1	L	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:3;IT2a:3;RF1b:2	H;aii;ar;d	H;aii;ar;d			1.0	1.0
f100r.6	f100r	P	A	1	L	ZL3b;IT2a;RF1b	ROLE_SEQUENCE_ONLY	0	0	1	ZL3b:1;IT2a:1;RF1b:1	o	o;or;os			1.0	1.0
f100r.7	f100r	P	A	1	L	ZL3b;IT2a;RF1b	READING_DISAGREEMENT	0	0	0	ZL3b:1;IT2a:1;RF1b:2	s	H;e;l;s			1.0	1.0
f100r.8	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	t	t			0.0	0.0
f100r.9	f100r	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	os	os			1.0	1.0
f100v.1	f100v	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	Hd;ol	Hd;ol			1.0	1.0
f100v.10	f100v	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_SURFACE	1	1	1	ZL3b:1;IT2a:1;RF1b:1	H;ok;or	H;ok;or			1.0	1.0
f100v.11	f100v	P	A	1	L	ZL3b;IT2a;RF1b	EXACT_ROOT_SEQUENCE	0	1	1	ZL3b:1;IT2a:1;RF1b:1	H	H			1.0	1.0
