family	positions	disagreements	disagreement_folios	triplet_types	triplet_types_three_folios	ambiguous_events	ambiguous_folios	loo_supported_ambiguous_events
A	35316	1068	100	33	22	2232	100	2203
B	15588	1671	89	30	7	3351	89	3288
C	5622	184	67	15	8	368	67	349
D	3632	9	6	2	2	18	6	11
E	145	0	0	0	0	0	0	0
F	1480	6	6	3	1	12	6	0
G	2683	5	5	4	0	10	5	0
H	97	0	0	0	0	0	0	0
J	6092	11	8	5	1	22	8	4
K	9430	70	38	10	7	140	38	126
L	2804	240	51	3	2	480	51	476
M	210	0	0	0	0	0	0	0
N	5	0	0	0	0	0	0	0
P	1067	32	23	8	4	65	23	55
Q	9928	199	56	8	7	398	56	397
T	149	11	11	9	0	22	11	0
U	1149	26	20	14	3	52	20	14
V	8	1	1	1	0	2	1	0
W	29	0	0	0	0	0	0	0
X	15	2	2	1	0	4	2	0
Z	2	0	0	0	0	0	0	0
