left_tuple	right_tuple	present_all_readings	stable_confirmed_role_edges	ZL3b_count	ZL3b_pages	ZL3b_sections	ZL3b_role_edges	IT2a_count	IT2a_pages	IT2a_sections	IT2a_role_edges	RF1b_count	RF1b_pages	RF1b_sections	RF1b_role_edges
EMPTY	H	0										2	2	1	BARE>BARE:1;Q_BARE>BARE:1
EMPTY	Hos	0						1	1	1	Q_BARE>BARE:1	1	1	1	Q_BARE>BARE:1
EMPTY	aii	1		1	1	1	Q_BARE>BARE:1	1	1	1	Q_BARE>BARE:1	2	2	2	Q_BARE>BARE:2
EMPTY	ar	0		1	1	1	Q_BARE>BARE:1					1	1	1	Q_BARE>BARE:1
EMPTY	cfh	0		1	1	1	Q_BARE>BARE:1					1	1	1	Q_BARE>BARE:1
EMPTY	ck	0										1	1	1	BARE>BARE:1
EMPTY	cth	0		1	1	1	BARE>BARE:1								
EMPTY	e	0										1	1	1	Q_BARE>BARE:1
EMPTY	ir	0										1	1	1	Q_BARE>FREE_L:1
EMPTY	l+d	0										1	1	1	Q_BARE>BARE:1
EMPTY	l+t	0		1	1	1	Q_BARE>BARE:1					1	1	1	Q_BARE>BARE:1
EMPTY	o	0										1	1	1	Q_BARE>BOUND_E:1
EMPTY	okl	0		1	1	1	Q_BARE>Q_BARE:1					1	1	1	Q_BARE>Q_BARE:1
EMPTY	ol	0										1	1	1	Q_BARE>BARE:1
EMPTY	ot	0										1	1	1	Q_BARE>BOUND_D:1
EMPTY	r	0										1	1	1	Q_BARE>BARE:1
EMPTY	r+Hr	0						1	1	1	Q_BARE>BARE:1	1	1	1	Q_BARE>BARE:1
EMPTY	rr	0		1	1	1	Q_BARE>BARE:1								
H	EMPTY	0						1	1	1	BOUND_E>Q_BARE:1	4	4	2	BOUND_E>Q_BARE:2;FREE_A>BARE:1;BOUND_D>Q_BARE:1
