opaque_id	page	physical_folio	leaf_margin_state	source_phase	currier	hand	quire	folio_rank_quartile	page_side	phase_quartile_side_cell	phase_quire_cell
LM0D77BF50	f51r	f51	SMOOTH	LM001_HELD	A	1	q07	4	r	LM001_HELD|A|1|4|r	LM001_HELD|A|1|q07
LM16839C2C	f94v	f94	SMOOTH	LM001_HELD	B	3	q17	4	v	LM001_HELD|B|3|4|v	LM001_HELD|B|3|q17
LM1A73FE1E	f95v2	f95	SMOOTH	LM001_HELD	B	3	q17	4	2	LM001_HELD|B|3|4|2	LM001_HELD|B|3|q17
LM213247BB	f38r	f38	TOOTHED	LM001_HELD	A	1	q05	3	r	LM001_HELD|A|1|3|r	LM001_HELD|A|1|q05
LM2B184143	f33r	f33	SMOOTH	LM001_HELD	B	2	q05	1	r	LM001_HELD|B|2|1|r	LM001_HELD|B|2|q05
LM3800E5EB	f41v	f41	TOOTHED	LM001_HELD	B	5	q06	2	v	LM001_HELD|B|5|2|v	LM001_HELD|B|5|q06
LM4BDB2124	f6r	f6	SMOOTH	LM001_HELD	A	1	q01	1	r	LM001_HELD|A|1|1|r	LM001_HELD|A|1|q01
LM56823A90	f55v	f55	SMOOTH	LM001_HELD	B	2	q07	3	v	LM001_HELD|B|2|3|v	LM001_HELD|B|2|q07
LM7201FAD9	f3r	f3	SMOOTH	LM001_HELD	A	1	q01	1	r	LM001_HELD|A|1|1|r	LM001_HELD|A|1|q01
LM7D3410B1	f20v	f20	SMOOTH	LM001_HELD	A	1	q03	2	v	LM001_HELD|A|1|2|v	LM001_HELD|A|1|q03
LM8DD0010A	f42r	f42	SMOOTH	LM001_HELD	A	1	q06	3	r	LM001_HELD|A|1|3|r	LM001_HELD|A|1|q06
LMAE19D35F	f40v	f40	TOOTHED	LM001_HELD	B	2	q05	2	v	LM001_HELD|B|2|2|v	LM001_HELD|B|2|q05
LME24EBA42	f48v	f48	TOOTHED	LM001_HELD	B	5	q06	3	v	LM001_HELD|B|5|3|v	LM001_HELD|B|5|q06
LME32F24F5	f47v	f47	SMOOTH	LM001_HELD	A	1	q06	4	v	LM001_HELD|A|1|4|v	LM001_HELD|A|1|q06
LMFCAA8CDD	f34r	f34	TOOTHED	LM001_HELD	B	2	q05	1	r	LM001_HELD|B|2|1|r	LM001_HELD|B|2|q05
LX04270557	f23v	f23	TOOTHED	LM001X	A	1	q03	2	v	LM001X|A|1|2|v	LM001X|A|1|q03
LX13E439B5	f52r	f52	SMOOTH	LM001X	A	1	q07	4	r	LM001X|A|1|4|r	LM001X|A|1|q07
LX16DE17EC	f13r	f13	TOOTHED	LM001X	A	1	q02	1	r	LM001X|A|1|1|r	LM001X|A|1|q02
LX1DEE719D	f1v	f1	SMOOTH	LM001X	A	1	q01	1	v	LM001X|A|1|1|v	LM001X|A|1|q01
LX2459DE79	f28r	f28	SMOOTH	LM001X	A	1	q04	3	r	LM001X|A|1|3|r	LM001X|A|1|q04
LX25B2BBA8	f19v	f19	SMOOTH	LM001X	A	1	q03	2	v	LM001X|A|1|2|v	LM001X|A|1|q03
LX2E609C0A	f5v	f5	TOOTHED	LM001X	A	1	q01	1	v	LM001X|A|1|1|v	LM001X|A|1|q01
LX392B8776	f9r	f9	TOOTHED	LM001X	A	1	q02	1	r	LM001X|A|1|1|r	LM001X|A|1|q02
LX449DB51B	f54r	f54	SMOOTH	LM001X	A	1	q07	4	r	LM001X|A|1|4|r	LM001X|A|1|q07
LX47C213BA	f14v	f14	SMOOTH	LM001X	A	1	q02	2	v	LM001X|A|1|2|v	LM001X|A|1|q02
LX605028AC	f32r	f32	SMOOTH	LM001X	A	1	q04	3	r	LM001X|A|1|3|r	LM001X|A|1|q04
LX69592034	f87r	f87	SMOOTH	LM001X	A	1	q15	4	r	LM001X|A|1|4|r	LM001X|A|1|q15
LX71B507A7	f21r	f21	SMOOTH	LM001X	A	1	q03	2	r	LM001X|A|1|2|r	LM001X|A|1|q03
LX8C602775	f96r	f96	SMOOTH	LM001X	A	1	q17	4	r	LM001X|A|1|4|r	LM001X|A|1|q17
LX927CDC89	f8v	f8	SMOOTH	LM001X	A	1	q01	1	v	LM001X|A|1|1|v	LM001X|A|1|q01
LXC164AE70	f49v	f49	SMOOTH	LM001X	A	1	q07	4	v	LM001X|A|1|4|v	LM001X|A|1|q07
LXCB52589D	f30r	f30	SMOOTH	LM001X	A	1	q04	3	r	LM001X|A|1|3|r	LM001X|A|1|q04
LXEA1B71E7	f93v	f93	SMOOTH	LM001X	A	1	q17	4	v	LM001X|A|1|4|v	LM001X|A|1|q17
LXF93AFBB6	f45v	f45	TOOTHED	LM001X	A	1	q06	3	v	LM001X|A|1|3|v	LM001X|A|1|q06
LY3362A195	f22r	f22	TOOTHED	LM001Y	A	1	q03	2	r	LM001Y|A|1|2|r	LM001Y|A|1|q03
LY4DCF82C2	f53v	f53	TOOTHED	LM001Y	A	1	q07	4	v	LM001Y|A|1|4|v	LM001Y|A|1|q07
LY64E57EC5	f18v	f18	SMOOTH	LM001Y	A	1	q03	2	v	LM001Y|A|1|2|v	LM001Y|A|1|q03
LY82D0DF56	f27r	f27	SMOOTH	LM001Y	A	1	q04	3	r	LM001Y|A|1|3|r	LM001Y|A|1|q04
LYD11C7D19	f17r	f17	SMOOTH	LM001Y	A	1	q03	2	r	LM001Y|A|1|2|r	LM001Y|A|1|q03
LYD541DBB2	f10r	f10	TOOTHED	LM001Y	A	1	q02	1	r	LM001Y|A|1|1|r	LM001Y|A|1|q02
LYD6D791C8	f24r	f24	SMOOTH	LM001Y	A	1	q03	2	r	LM001Y|A|1|2|r	LM001Y|A|1|q03
LYF21DAF2A	f7v	f7	SMOOTH	LM001Y	A	1	q01	1	v	LM001Y|A|1|1|v	LM001Y|A|1|q01
