anchor_rank	anchor_id	page	physical_locus	slot_order	visual_register	relation_grade	structural_role_hint	structural_role_status	ZL3b_raw	IT2a_raw	RF1b_raw	present_reading_count	all_present_readings_identical	annotation_scope	annotation_text	official_witness_url	requested_new_observation	admission_test	claim_ceiling
1	COL001_UNDERPAINT	f2r	f2r.15	1	UNDERPAINT_NOTE	DIRECT_ENCLOSURE_UNDER_PAINT	UNKNOWN	NO_READABLE_VALUE	ios.an.on	ABSENT	ios.an.on	2	1	EXACT_LOCAL_COMMENT	Labels associated with plant. | Within leaf.	https://collections.library.yale.edu/catalog/2002046?child_oid=1006078	A second provenance-clean Voynich-script note physically under paint with an independently readable colour, or the same complete phrase under another green-painted part on a new folio.	New observation must add a readable contrast or a new-folio same-phrase replication; visual similarity alone is insufficient.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
2	F57_TWO_REGISTER_WHEEL	f57v	f57v.6	1	FIGURE_NEAR_LABEL	PROXIMITY_ONLY	HOT_POSITION	STRUCTURAL_ANALOGY_ONLY_NOT_A_WORD_GLOSS	otodara[g:m]	otodarod	otodarag	3	0	UNIT_DESCRIPTION	"Labels next to human figures inside inner circle. | At 01:30. The @as are open at bottom. Assuming accident. Rene's version in ""outg.txt"" was numbered <e57v.L5>."	https://collections.library.yale.edu/catalog/2002046?child_oid=1006187	A complete readable homologue preserving the four-person and two-label-register topology, orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned mapping.	Source must fix owners, start, direction, register correspondence, and readable contrasting role values before comparison with the Voynich strings.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
2	F57_TWO_REGISTER_WHEEL	f57v	f57v.7	2	FIGURE_NEAR_LABEL	PROXIMITY_ONLY	MOIST_POSITION	STRUCTURAL_ANALOGY_ONLY_NOT_A_WORD_GLOSS	oparairdly	oparairdly	oparairdly	3	1	UNIT_DESCRIPTION	Labels next to human figures inside inner circle. | At 04:30.	https://collections.library.yale.edu/catalog/2002046?child_oid=1006187	A complete readable homologue preserving the four-person and two-label-register topology, orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned mapping.	Source must fix owners, start, direction, register correspondence, and readable contrasting role values before comparison with the Voynich strings.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
2	F57_TWO_REGISTER_WHEEL	f57v	f57v.8	3	FIGURE_NEAR_LABEL	PROXIMITY_ONLY	COLD_POSITION	STRUCTURAL_ANALOGY_ONLY_NOT_A_WORD_GLOSS	olkeedal	olkchdal	olkchdal	3	0	UNIT_DESCRIPTION	Labels next to human figures inside inner circle. | These labels have straight baselines and read clockwise. At 07:30.	https://collections.library.yale.edu/catalog/2002046?child_oid=1006187	A complete readable homologue preserving the four-person and two-label-register topology, orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned mapping.	Source must fix owners, start, direction, register correspondence, and readable contrasting role values before comparison with the Voynich strings.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
2	F57_TWO_REGISTER_WHEEL	f57v	f57v.9	4	FIGURE_NEAR_LABEL	PROXIMITY_ONLY	DRY_POSITION	STRUCTURAL_ANALOGY_ONLY_NOT_A_WORD_GLOSS	otardaly	otardaly	otardaly	3	1	UNIT_DESCRIPTION	Labels next to human figures inside inner circle. | At 10:00. The @a is open at bottom. Assuming accident.	https://collections.library.yale.edu/catalog/2002046?child_oid=1006187	A complete readable homologue preserving the four-person and two-label-register topology, orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned mapping.	Source must fix owners, start, direction, register correspondence, and readable contrasting role values before comparison with the Voynich strings.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
2	F57_TWO_REGISTER_WHEEL	f57v	f57v.10	5	RADIAL_TITLE	BETWEEN_FIGURES_PROXIMITY_ONLY	UNKNOWN	NO_READABLE_VALUE	ark[a:o]ldy	ackaldy	askaldy	3	0	NONE		https://collections.library.yale.edu/catalog/2002046?child_oid=1006187	A complete readable homologue preserving the four-person and two-label-register topology, orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned mapping.	Source must fix owners, start, direction, register correspondence, and readable contrasting role values before comparison with the Voynich strings.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
2	F57_TWO_REGISTER_WHEEL	f57v	f57v.11	6	RADIAL_TITLE	BETWEEN_FIGURES_PROXIMITY_ONLY	UNKNOWN	NO_READABLE_VALUE	ara?arar	oralaror	aralarar	3	0	EXACT_LOCAL_COMMENT	"Radial titles outwards from central ""cloud"". | These short lines read radially outward from the ""square cloud"" at the center. Their directions lie between consecutive human figures. Rene's ""outg.txt"" numbers them <e57v.L1> to <e57v.L4>. Northeast. The @as are open at bottom. Assuming accident."	https://collections.library.yale.edu/catalog/2002046?child_oid=1006187	A complete readable homologue preserving the four-person and two-label-register topology, orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned mapping.	Source must fix owners, start, direction, register correspondence, and readable contrasting role values before comparison with the Voynich strings.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
2	F57_TWO_REGISTER_WHEEL	f57v	f57v.12	7	RADIAL_TITLE	BETWEEN_FIGURES_PROXIMITY_ONLY	UNKNOWN	NO_READABLE_VALUE	okeely	okchoy	okeely	3	0	NONE		https://collections.library.yale.edu/catalog/2002046?child_oid=1006187	A complete readable homologue preserving the four-person and two-label-register topology, orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned mapping.	Source must fix owners, start, direction, register correspondence, and readable contrasting role values before comparison with the Voynich strings.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
2	F57_TWO_REGISTER_WHEEL	f57v	f57v.13	8	RADIAL_TITLE	BETWEEN_FIGURES_PROXIMITY_ONLY	UNKNOWN	NO_READABLE_VALUE	ocfhor,okear	ocfhor.okear	ocfhor.okear	3	0	NONE		https://collections.library.yale.edu/catalog/2002046?child_oid=1006187	A complete readable homologue preserving the four-person and two-label-register topology, orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned mapping.	Source must fix owners, start, direction, register correspondence, and readable contrasting role values before comparison with the Voynich strings.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
3	F68_SUN_RING	f68r2	f68r2.31	1	CIRCULAR_TEXT_AROUND_BOTTOM_SUN_MEDALLION	DIRECT_CIRCULAR_REGISTER	SUN_MEDALLION_REGISTER	OBJECT_ROLE_ONLY_ENDING_SCRIPT_UNRESOLVED	<!09:30>okey.okoaiin.okol.o,ky.oeeeo.r.okey.okeeol.cheo.o.@231;@232;@233;@234;	okeo.okoaiin.okol.oky.oeeeo.r.ekey.okchol.cheo.o.koiin	okey.okoaiin.okol.oky.oeeeo.r.okey.okeeol.cheo.@221;.@231;@232;@233;@234;	3	0	OBJECT_CONTEXT_ONLY	Circular text around bottom medallion (face in sun). | No obvious starting place. Transcribed clockwise from apparent change in letter slant at 09:30.	https://collections.library.yale.edu/catalog/2002046?child_oid=1006196	A qualified full diplomatic and palaeographic reading of the complete ring, including script identity and uncertainty for the ending, independently of a proposed Sun gloss.	Reader must classify the complete ending as plain script, Voynich script, or unresolved and document each uncertain glyph without using a desired reading.	SOURCE_NATIVE_REVIEW_ONLY_NO_LEXICAL_OR_TRANSLATION_CLAIM
