candidate_id	locus	page	physical_folio	section	currier	character_offset_1based	isolated_reading_count	ZL3b_isolated	IT2a_isolated	RF1b_isolated	outcome_vector	manual_zl_line_has_interruption	eligible_after_manual_interruption_exclusion	all_readings_confirmed_prose	eligible_for_context_power_preflight	compact_character_length
f105r.30@21	f105r.30	f105r	f105	S	B	21	2	1	0	1	101	0	1	1	1	51
f107r.50@29	f107r.50	f107r	f107	S	B	29	1	1	0	0	100	0	1	1	1	54
f107v.49@26	f107v.49	f107v	f107	S	B	26	1	1	0	0	100	0	1	1	1	36
f10r.7@12	f10r.7	f10r	f10	H	A	12	1	1	0	0	100	1	0	1	0	40
f112v.1@23	f112v.1	f112v	f112	S	B	23	2	1	1	0	110	0	1	1	1	43
f114r.34@13	f114r.34	f114r	f114	S	B	13	1	1	0	0	100	0	1	1	1	26
f116r.37@14	f116r.37	f116r	f116	S	B	14	1	1	0	0	100	0	1	1	1	58
f11r.6@6	f11r.6	f11r	f11	H	A	6	2	1	1	0	110	0	1	1	1	41
f13v.8@11	f13v.8	f13v	f13	H	A	11	2	1	1	0	110	1	0	1	0	36
f13v.8@31	f13v.8	f13v	f13	H	A	31	1	1	0	0	100	1	0	1	0	36
f16r.5@13	f16r.5	f16r	f16	H	A	13	1	1	0	0	100	0	1	1	1	32
f17r.12@6	f17r.12	f17r	f17	H	A	6	1	1	0	0	100	0	1	1	1	12
f18r.14@8	f18r.14	f18r	f18	H	A	8	1	1	0	0	100	0	1	1	1	15
f22r.5@34	f22r.5	f22r	f22	H	A	34	2	1	1	0	110	1	0	1	0	42
f22v.5@4	f22v.5	f22v	f22	H	A	4	2	1	0	1	101	0	1	1	1	15
f24r.1@6	f24r.1	f24r	f24	H	A	6	1	1	0	0	100	0	1	1	1	31
f35v.19@8	f35v.19	f35v	f35	H	A	8	1	1	0	0	100	0	1	1	1	21
f36r.6@12	f36r.6	f36r	f36	H	A	12	1	1	0	0	100	1	0	1	0	28
f36v.4@8	f36v.4	f36v	f36	H	A	8	1	1	0	0	100	1	0	1	0	24
f44r.2@11	f44r.2	f44r	f44	H	A	11	1	1	0	0	100	0	1	1	1	35
f44v.4@32	f44v.4	f44v	f44	H	A	32	2	1	0	1	101	0	1	1	1	45
f44v.6@17	f44v.6	f44v	f44	H	A	17	2	1	1	0	110	0	1	1	1	44
f49r.9@2	f49r.9	f49r	f49	H	A	2	1	0	1	0	010	0	1	1	1	24
f56r.10@16	f56r.10	f56r	f56	H	A	16	1	1	0	0	100	0	1	1	1	28
f56v.10@24	f56v.10	f56v	f56	H	A	24	1	1	0	0	100	0	1	1	1	26
f70r2.13@9	f70r2.13	f70r2	f70	C		9	1	1	0	0	100	0	1	0	0	26
f79r.30@12	f79r.30	f79r	f79	B	B	12	1	0	0	1	001	0	1	1	1	21
f86v5.17@12	f86v5.17	f86v5	f86	T	B	12	2	1	0	1	101	0	1	1	1	44
f8r.11@21	f8r.11	f8r	f8	H	A	21	1	1	0	0	100	1	0	1	0	43
f96v.2@37	f96v.2	f96v	f96	H	A	37	2	1	0	1	101	1	0	1	0	42
