root	core_id	hybrid_class	present_all_readings	stable_dominant_role	ZL3b_all_count	ZL3b_prose_count	ZL3b_pages	ZL3b_sections	ZL3b_standalone_share	ZL3b_line_start_share	ZL3b_line_end_share	ZL3b_selector	ZL3b_dependent	ZL3b_dominant_role	ZL3b_role_counts	ZL3b_kind_counts	ZL3b_left_neighbors	ZL3b_right_neighbors	ZL3b_tuple_partners	IT2a_all_count	IT2a_prose_count	IT2a_pages	IT2a_sections	IT2a_standalone_share	IT2a_line_start_share	IT2a_line_end_share	IT2a_selector	IT2a_dependent	IT2a_dominant_role	IT2a_role_counts	IT2a_kind_counts	IT2a_left_neighbors	IT2a_right_neighbors	IT2a_tuple_partners	RF1b_all_count	RF1b_prose_count	RF1b_pages	RF1b_sections	RF1b_standalone_share	RF1b_line_start_share	RF1b_line_end_share	RF1b_selector	RF1b_dependent	RF1b_dominant_role	RF1b_role_counts	RF1b_kind_counts	RF1b_left_neighbors	RF1b_right_neighbors	RF1b_tuple_partners
EMPTY		NONCORE	1		12	11	12	5	1.0	0.09090909090909091	0.36363636363636365	0	3	Q_BARE	Q_BARE:7;BARE:4	P:11;L:1	H:3;ok:2;Hd:1;Hckh:1;al:1;d:1;e:1;os:1	cth:1;ar:1;cfh:1;rr:1;aii:1;l:1;t:1;okl:1		8	6	8	4	1.0	0.0	0.5	0	2	BARE	BARE:3;Q_BARE:3	P:6;C:1;L:1	H:3;Hd:1;Hckh:1;al:1;d:1;r:1;ol:1;o:1	r:1;Hr:1;aii:1;Hos:1		24	23	20	6	0.9583333333333334	0.13043478260869565	0.17391304347826086	0	6	Q_BARE	Q_BARE:18;BARE:5	P:23;L:1	H:7;Hd:3;ok:3;d:2;ot:2;e:2;Ho:1;Hckh:1	H:2;r:2;d:2;aii:2;l:2;ck:1;ar:1;cfh:1	H:1
H	C01	SUPPORTED_COMPONENT	1	BOUND_E	11083	10220	226	8	0.4853379048993955	0.14403131115459883	0.07338551859099804	1147	0	BOUND_E	BOUND_E:4377;BOUND_D:2491;BARE:1171;FREE_L:1130;FREE_R:803;REL_I:155;FREE_A:91;Q_FREE_R:2	P:10370;C:468;L:158;R:87	H:2862;ok:1522;ol:1184;ot:790;o:586;or:554;aii:476;od:409	H:2862;ok:1934;ol:1098;ot:1026;o:725;l:488;k:486;od:464	ol:997;o:945;k:632;ok:625;ot:534;l:454;od:440;or:359	10938	10148	224	8	0.48080087767416346	0.1449546708711076	0.0717382735514387	1134	0	BOUND_E	BOUND_E:4367;BOUND_D:2470;FREE_L:1127;BARE:1127;FREE_R:814;REL_I:158;FREE_A:81;Q_BOUND_D:2;Q_FREE_R:2	P:10297;C:432;L:129;R:80	H:2817;ok:1534;ol:1221;ot:785;or:600;o:574;aii:456;k:411	H:2817;ok:1916;ol:1119;ot:1021;o:680;k:489;l:476;or:467	ol:1000;o:957;ok:637;k:618;ot:548;l:464;od:427;or:360	11025	10157	226	8	0.48707482993197276	0.14334941419710545	0.0749236979423058	1033	0	BOUND_E	BOUND_E:4885;BOUND_D:1731;BARE:1411;FREE_L:1116;FREE_R:783;REL_I:148;FREE_A:81;Q_FREE_R:2	P:10305;C:470;L:163;R:87	H:2760;ok:1429;ol:1150;ot:802;o:608;or:518;aii:517;k:403	H:2760;ok:1809;ol:1044;ot:1028;o:746;l:514;aii:494;k:489	o:979;ol:947;k:656;ok:620;ot:573;l:464;H:404;od:364
Haiir		NONCORE	1	BARE	1	1	1	1	0.0	1.0	0.0	0	0	BARE	BARE:1	P:1		or:1	l:1	2	2	2	1	0.5	1.0	0.0	0	0	BARE	BARE:2	P:2		ckh:1;orair:1	l:1	1	1	1	1	0.0	1.0	0.0	0	0	BARE	BARE:1	P:1		or:1	l:1
Hair		NONCORE	1	BARE	7	7	6	2	0.8571428571428571	0.2857142857142857	0.0	0	0	BARE	BARE:6;FREE_L:1	P:7	H:2;os:1;Hot:1;or:1;okal:1;o:1	ott:1;H:1;cth:1;od:1;ol:1;a:1;o:1;al:1	o:1	6	6	5	2	1.0	0.3333333333333333	0.0	0	0	BARE	BARE:4;FREE_A:1;FREE_L:1	P:6	os:1;Hot:1;H:1;or:1;okal:1	ott:1;H:1;cth:1;od:1;ol:1;ot:1;oct:1		7	7	6	2	0.8571428571428571	0.2857142857142857	0.0	0	0	BARE	BARE:6;FREE_L:1	P:7	H:2;os:1;Hot:1;or:1;okal:1;o:1	ott:1;H:1;cth:1;od:1;ol:1;a:1;o:1;al:1	o:1
Hal		NONCORE	1	FREE_L	4	1	4	2	1.0	0.0	1.0	0	0	FREE_L	FREE_L:1	C:3;P:1	H:3;ol:2;aii:1;ok:1	ot:1;od:1;H:1;k:1;ol:1;e:1;odar:1		3	1	3	2	1.0	0.0	1.0	0	0	FREE_L	FREE_L:1	C:2;P:1	H:3;aii:1;ol:1	ot:1;od:1;H:1;k:1;ol:1		3	1	3	2	1.0	0.0	1.0	0	0	FREE_L	FREE_L:1	C:2;P:1	ol:2;H:2;aii:1	ot:1;od:1;H:1;k:1;ol:1	
Hallar		NONCORE	1	FREE_R	1	1	1	1	1.0	1.0	0.0	0	0	FREE_R	FREE_R:1	P:1		al:1		1	1	1	1	1.0	1.0	0.0	0	0	FREE_R	FREE_R:1	P:1		al:1		1	1	1	1	1.0	1.0	0.0	0	0	FREE_R	FREE_R:1	P:1		al:1	
Halr		NONCORE	1	BARE	1	1	1	1	1.0	0.0	1.0	0	0	BARE	BARE:1	P:1	ot:1			1	1	1	1	1.0	0.0	1.0	0	0	BARE	BARE:1	P:1	ot:1			2	2	2	1	1.0	0.0	0.5	0	0	BARE	BARE:1;REL_I:1	P:2	ot:1;ok:1	ot:1	
Har		NONCORE	1	FREE_A	16	13	12	3	0.75	0.23076923076923078	0.46153846153846156	0	0	FREE_A	FREE_A:5;REL_I:4;FREE_L:3;FREE_R:1	P:13;L:2;C:1	ok:4;H:4;ol:2;or:1;air:1;ot:1;o:1;k:1	ok:3;okair:1;ckh:1;H:1;ot:1	o:1;l:1;ok:1;or:1	18	15	14	4	0.7222222222222222	0.26666666666666666	0.3333333333333333	0	0	FREE_A	FREE_A:6;REL_I:5;FREE_L:3;FREE_R:1	P:15;L:2;C:1	ok:4;H:4;ol:3;or:1;air:1;ot:1;o:1;k:1	ok:4;o:2;H:2;okair:1;ckh:1;h:1;ot:1	s:1;o:1;l:1;ok:1;or:1	17	13	13	3	0.8235294117647058	0.15384615384615385	0.38461538461538464	0	0	FREE_A	FREE_A:5;REL_I:5;FREE_L:2;FREE_R:1	P:13;C:2;L:2	ok:4;H:4;l:3;ol:2;or:1;air:1;o:1;al:1	ok:3;H:2;ot:2;okair:1;ckh:1	o:1;l:1;ok:1
Haral		NONCORE	0																																1	1	1	1	1.0	1.0	0.0	0	0	FREE_R	FREE_R:1	P:1		ok:1	
Harii		NONCORE	1	BARE	1	1	1	1	1.0	0.0	0.0	0	0	BARE	BARE:1	P:1	l:1;s:1	aii:1		1	1	1	1	1.0	0.0	0.0	0	0	BARE	BARE:1	P:1	l:1;s:1	aii:1		1	1	1	1	1.0	0.0	0.0	0	0	BARE	BARE:1	P:1	l:1;s:1	aii:1	
Harl		NONCORE	0																																1	1	1	1	0.0	0.0	0.0	0	0	BARE	BARE:1	P:1	H:1	ot:1;o:1	k:1;o:1
Hc		NONCORE	0																	2	1	2	2	1.0	0.0	0.0	0	0	REL_I	REL_I:1	P:1;L:1	k:1;aii:1	ok:1;Hd:1																
Hcfh		NONCORE	1	BARE	10	10	10	3	0.8	0.1	0.2	0	0	BARE	BARE:5;FREE_L:2;BOUND_D:1;BOUND_E:1;FREE_R:1	P:10	or:2;od:2;ok:2;Hd:1;ot:1;l:1;o:1;H:1	o:3;H:3;oii:1;cphk:1;l:1;k:1;ok:1;ol:1	ok:1;o:1	11	11	11	3	0.7272727272727273	0.09090909090909091	0.2727272727272727	0	0	BARE	BARE:5;FREE_R:2;FREE_L:2;BOUND_E:2	P:11	od:3;ot:2;aii:1;or:1;Hd:1;ok:1;l:1;o:1	o:2;H:2;aii:1;oii:1;cphk:1;e:1;ok:1;ot:1	ok:1;or:1;o:1	12	12	12	3	0.6666666666666666	0.08333333333333333	0.16666666666666666	0	0	BARE	BARE:5;FREE_R:2;FREE_L:2;BOUND_E:2;BOUND_D:1	P:12	or:2;ot:2;o:2;ok:2;aii:1;Hd:1;l:1;od:1	H:4;o:3;oii:1;cphk:1;a:1;d:1;l:1;k:1	d:1;ok:1;or:1;o:1
Hcfhd		NONCORE	1	BARE	2	2	2	2	0.5	0.5	0.0	0	0	BARE	BARE:2	P:2	ot:1;Hok:1;or:1	o:1;Hd:1;ok:1	H:1	2	2	2	2	1.0	0.0	0.0	0	0	BARE	BARE:2	P:2	ot:1;Hok:1;H:1	o:1;Hd:1;ok:1		2	2	2	2	0.5	0.5	0.0	0	0	BARE	BARE:2	P:2	ot:1;Hok:1;or:1	o:1;Hd:1;ok:1	H:1
Hcfhh		NONCORE	0																	3	3	3	1	1.0	0.0	0.6666666666666666	0	0	BARE	BARE:3	P:3	H:2;ot:1;ok:1;cphok:1	aii:1																
Hcfho		NONCORE	0		1	1	1	1	1.0	0.0	0.0	0	0	BARE	BARE:1	P:1	aii:1	r:1																															
