family_surface	total_count	physical_folios	pages	first_count	last_count	core_count	single_count	effective_folios	maximum_folio_share	effective_sections	currier_a_count	currier_b_count	currier_unknown_count	first_last_support	first_last_log_odds_ratio	first_last_positive_folds	first_last_negative_folds	first_last_minimum_fold	first_last_maximum_fold	first_last_label	edge_core_support	edge_core_log_odds_ratio	edge_core_positive_folds	edge_core_negative_folds	edge_core_minimum_fold	edge_core_maximum_fold	edge_core_label
A	142	66	91	29	16	97	0	55.24510181859815	0.04929577464788732	3.7672999320822345	58	84	0	45	0.5859281590001016	94	0	0.47763273089714037	0.6489671611592195	UNRESOLVED	142	0.36793925764875024	94	0	0.3045033303935142	0.4127237614577687	UNRESOLVED
AA	4	3	4	0	2	2	0	2.82842712474619	0.5	1.7547653506033232	0	4	0	2	-1.6101854362962316	0	94	-1.610206404306696	-1.0989949905480199	INSUFFICIENT	4	1.1277751386915875	94	0	0.6107462908447476	1.6300004488909887	INSUFFICIENT
AAACAC	1	1	1	0	1	0	0	1.0	1.0	1.0	1	0	0	1	-1.0989859807501865	0	93	-1.0989972001432238	0.0	INSUFFICIENT	1	2.226321556839621	94	0	1.1304756862868262	2.2329592811735894	INSUFFICIENT
AAB	3	3	3	1	1	1	0	2.9999999999999996	0.3333333333333333	1.8898815748423097	1	2	0	2	0.0	1	1	-1.0989893625790632	1.0989957242556296	INSUFFICIENT	3	1.638661269506668	94	0	1.11898307057024	2.7307741360444338	INSUFFICIENT
AABABC	1	1	1	0	1	0	0	1.0	1.0	1.0	0	1	0	1	-1.0989859807501865	0	93	-1.0989972001432238	0.0	INSUFFICIENT	1	2.226321556839621	94	0	1.1188539741070866	2.2329592811735894	INSUFFICIENT
AABAG	1	1	1	1	0	0	0	1.0	1.0	1.0	1	0	0	1	1.0989859807501865	93	0	0.0	1.0989972001432238	INSUFFICIENT	1	2.226321556839621	94	0	1.1309737750551458	2.2329592811735894	INSUFFICIENT
AABBAC	1	1	1	0	0	1	0	1.0	1.0	1.0	0	1	0	0	0.0	0	0	0.0	0.0	INSUFFICIENT	1	0.02884963007578567	94	0	0.01616926990604206	1.1207587395925744	INSUFFICIENT
AABBACA	1	1	1	0	1	0	0	1.0	1.0	1.0	1	0	0	1	-1.0989859807501865	0	93	-1.0989972001432238	0.0	INSUFFICIENT	1	2.226321556839621	94	0	1.126870947868868	2.2329592811735894	INSUFFICIENT
AABC	1	1	1	0	1	0	0	1.0	1.0	1.0	0	1	0	1	-1.0989859807501865	0	93	-1.0989972001432238	0.0	INSUFFICIENT	1	2.226321556839621	94	0	1.1224621033226967	2.2329592811735894	INSUFFICIENT
AABCAB	1	1	1	0	1	0	0	1.0	1.0	1.0	1	0	0	1	-1.0989859807501865	0	93	-1.0989972001432238	0.0	INSUFFICIENT	1	2.226321556839621	94	0	1.127366676100967	2.2329592811735894	INSUFFICIENT
AABLKA	1	1	1	0	0	1	0	1.0	1.0	1.0	0	1	0	0	0.0	0	0	0.0	0.0	INSUFFICIENT	1	0.02884963007578567	94	0	0.01616926990604206	1.1275352583393865	INSUFFICIENT
AABQAB	1	1	1	1	0	0	0	1.0	1.0	1.0	1	0	0	1	1.0989859807501865	93	0	0.0	1.0989972001432238	INSUFFICIENT	1	2.226321556839621	94	0	1.1285786974808987	2.2329592811735894	INSUFFICIENT
