family	positions	pattern_ALL3	pattern_ZL_IT	pattern_ZL_RF	pattern_IT_RF	pattern_ALL_DIFF	all3_fraction
A	35316	34248	660	188	124	96	0.9697587495752633
B	15588	13917	1615	35	12	9	0.892802155504234
C	5622	5438	63	66	55	0	0.9672714336535041
D	3632	3623	3	6	0	0	0.9975220264317181
E	145	145	0	0	0	0	1.0
F	1480	1474	0	3	3	0	0.995945945945946
G	2683	2678	2	1	2	0	0.9981364144614238
H	97	97	0	0	0	0	1.0
J	6092	6081	0	8	3	0	0.9981943532501641
K	9430	9360	18	34	18	0	0.9925768822905621
L	2804	2564	231	7	2	0	0.9144079885877318
M	210	210	0	0	0	0	1.0
N	5	5	0	0	0	0	1.0
P	1067	1035	15	6	10	1	0.9700093720712277
Q	9928	9729	123	44	32	0	0.979955680902498
T	149	138	3	3	5	0	0.9261744966442953
U	1149	1123	6	9	11	0	0.9773716275021758
V	8	7	1	0	0	0	0.875
W	29	29	0	0	0	0	1.0
X	15	13	0	0	2	0	0.8666666666666667
Z	2	2	0	0	0	0	1.0
