path	symbols	edges	occurrences	distinct_groups	distinct_loci	physical_folios	currier_A_groups	currier_B_groups	whole_occurrences	opening_occurrences	closing_occurrences	internal_occurrences	maximal_occurrences	maximal_distinct_groups	maximal_physical_folios	section_group_counts_json	support_label
AQ	2	1	6567	6522	2340	94	1723	4799	10	3081	31	3445	2634	2614	94	"{""B"":1511,""C"":70,""H"":1814,""P"":270,""S"":2431,""T"":426}"	WIDESPREAD_BOTH_REGISTERS
DA	2	1	3535	3533	1751	93	688	2845	31	3484	2	18	649	649	80	"{""B"":1207,""C"":42,""H"":660,""P"":133,""S"":1272,""T"":219}"	WIDESPREAD_BOTH_REGISTERS
KJ	2	1	2570	2556	1512	92	449	2107	1	1371	2	1196	1935	1930	89	"{""B"":636,""C"":35,""H"":499,""P"":113,""S"":1133,""T"":140}"	WIDESPREAD_BOTH_REGISTERS
LJ	2	1	1282	1280	913	82	186	1094	12	877	6	387	1282	1280	82	"{""B"":512,""C"":17,""H"":198,""P"":55,""S"":392,""T"":106}"	WIDESPREAD_BOTH_REGISTERS
PK	2	1	547	544	346	79	122	422	0	192	1	354	295	294	78	"{""B"":74,""C"":12,""H"":154,""P"":11,""S"":255,""T"":38}"	WIDESPREAD_BOTH_REGISTERS
QK	2	1	2834	2820	1613	94	822	1998	1	464	2	2367	674	672	87	"{""B"":513,""C"":41,""H"":889,""P"":78,""S"":1168,""T"":131}"	WIDESPREAD_BOTH_REGISTERS
AQK	3	2	2006	2002	1299	93	584	1418	2	896	0	1108	917	915	92	"{""B"":384,""C"":31,""H"":613,""P"":57,""S"":822,""T"":95}"	WIDESPREAD_BOTH_REGISTERS
DAQ	3	2	2886	2885	1558	92	530	2355	14	2862	0	10	1927	1926	92	"{""B"":1000,""C"":33,""H"":521,""P"":99,""S"":1063,""T"":169}"	WIDESPREAD_BOTH_REGISTERS
PKJ	3	2	252	252	187	46	26	226	0	82	0	170	252	252	46	"{""B"":50,""C"":6,""H"":37,""P"":6,""S"":136,""T"":17}"	WIDESPREAD_BOTH_REGISTERS
QKJ	3	2	383	383	326	75	87	296	1	108	1	273	154	154	52	"{""B"":44,""C"":15,""H"":102,""P"":6,""S"":198,""T"":18}"	WIDESPREAD_BOTH_REGISTERS
AQKJ	4	3	229	229	205	57	57	172	1	112	0	116	130	130	49	"{""B"":23,""C"":9,""H"":64,""P"":3,""S"":121,""T"":9}"	WIDESPREAD_BOTH_REGISTERS
DAQK	4	3	959	959	730	83	206	753	0	958	0	1	860	860	81	"{""B"":263,""C"":12,""H"":218,""P"":19,""S"":403,""T"":44}"	WIDESPREAD_BOTH_REGISTERS
DAQKJ	5	4	99	99	89	35	19	80	0	99	0	0	99	99	35	"{""B"":13,""C"":5,""H"":21,""S"":57,""T"":3}"	WIDESPREAD_BOTH_REGISTERS
