source_group_id	edition	locus	source_group_index	source_group_count	left_separator	right_separator	sta_group_raw	primary_sta_codes	primary_sta_families	primary_sta_symbol_count	alternative_site_count	nearest_basic_eva_primary
ZL3b|f1r.1|G001	ZL3b	f1r.1	1	10	LINE_START	DEFINITE_SPACE	P2A3K1A2C2	P2 A3 K1 A2 C2	PAKAC	5	0	fachys
ZL3b|f1r.1|G002	ZL3b	f1r.1	2	10	DEFINITE_SPACE	DEFINITE_SPACE	A2Q1A3B2	A2 Q1 A3 B2	AQAB	4	0	ykal
ZL3b|f1r.1|G003	ZL3b	f1r.1	3	10	DEFINITE_SPACE	DEFINITE_SPACE	A3C1	A3 C1	AC	2	0	ar
ZL3b|f1r.1|G004	ZL3b	f1r.1	4	10	DEFINITE_SPACE	DEFINITE_SPACE	A3Q2A3G1	A3 Q2 A3 G1	AQAG	4	0	ataiin
ZL3b|f1r.1|G005	ZL3b	f1r.1	5	10	DEFINITE_SPACE	DEFINITE_SPACE	L1A1B2	L1 A1 B2	LAB	3	0	shol
ZL3b|f1r.1|G006	ZL3b	f1r.1	6	10	DEFINITE_SPACE	DEFINITE_SPACE	L1A1C1A2	L1 A1 C1 A2	LACA	4	0	shory
ZL3b|f1r.1|G007	ZL3b	f1r.1	7	10	DEFINITE_SPACE	DEFINITE_SPACE	[U2:A1Q2A1]C1J1C2	U2 C1 J1 C2	UCJC	4	1	cthres
ZL3b|f1r.1|G008	ZL3b	f1r.1	8	10	DEFINITE_SPACE	DEFINITE_SPACE	A2	A2	A	1	0	y
ZL3b|f1r.1|G009	ZL3b	f1r.1	9	10	DEFINITE_SPACE	DEFINITE_SPACE	Q1A1C1	Q1 A1 C1	QAC	3	0	kor
ZL3b|f1r.1|G010	ZL3b	f1r.1	10	10	DEFINITE_SPACE	LINE_END	L1A1B2B1A2	L1 A1 B2 B1 A2	LABBA	5	0	sholdy
ZL3b|f1r.2|G001	ZL3b	f1r.2	1	11	LINE_START	DEFINITE_SPACE	C2A1C1A2	C2 A1 C1 A2	CACA	4	0	sory
ZL3b|f1r.2|G002	ZL3b	f1r.2	2	11	DEFINITE_SPACE	DEFINITE_SPACE	U1A3C1	U1 A3 C1	UAC	3	0	ckhar
ZL3b|f1r.2|G003	ZL3b	f1r.2	3	11	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	A1C1	A1 C1	AC	2	0	or
ZL3b|f1r.2|G004	ZL3b	f1r.2	4	11	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	A2	A2	A	1	0	y
ZL3b|f1r.2|G005	ZL3b	f1r.2	5	11	DEFINITE_SPACE	DEFINITE_SPACE	Q1A3F3	Q1 A3 F3	QAF	3	0	kair
ZL3b|f1r.2|G006	ZL3b	f1r.2	6	11	DEFINITE_SPACE	DEFINITE_SPACE	K1Q2A3G1	K1 Q2 A3 G1	KQAG	4	0	chtaiin
ZL3b|f1r.2|G007	ZL3b	f1r.2	7	11	DEFINITE_SPACE	DEFINITE_SPACE	L1A3C1	L1 A3 C1	LAC	3	0	shar
ZL3b|f1r.2|G008	ZL3b	f1r.2	8	11	DEFINITE_SPACE	DEFINITE_SPACE	A3C2J1	A3 C2 J1	ACJ	3	0	ase
ZL3b|f1r.2|G009	ZL3b	f1r.2	9	11	DEFINITE_SPACE	DEFINITE_SPACE	U2A3C1	U2 A3 C1	UAC	3	0	cthar
ZL3b|f1r.2|G010	ZL3b	f1r.2	10	11	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	U2A3C1	U2 A3 C1	UAC	3	0	cthar
ZL3b|f1r.2|G011	ZL3b	f1r.2	11	11	UNCERTAIN_SMALL_SPACE	LINE_END	B1A3E2	B1 A3 E2	BAE	3	0	dan
ZL3b|f1r.3|G001	ZL3b	f1r.3	1	9	LINE_START	DEFINITE_SPACE	C2A2A3G3	C2 A2 A3 G3	CAAG	4	0	syaiir
ZL3b|f1r.3|G002	ZL3b	f1r.3	2	9	DEFINITE_SPACE	DEFINITE_SPACE	L1J1Q1A2	L1 J1 Q1 A2	LJQA	4	0	sheky
ZL3b|f1r.3|G003	ZL3b	f1r.3	3	9	DEFINITE_SPACE	DEFINITE_SPACE	A1C1	A1 C1	AC	2	0	or
ZL3b|f1r.3|G004	ZL3b	f1r.3	4	9	DEFINITE_SPACE	DEFINITE_SPACE	A2Q1A3G1	A2 Q1 A3 G1	AQAG	4	0	ykaiin
ZL3b|f1r.3|G005	ZL3b	f1r.3	5	9	DEFINITE_SPACE	DEFINITE_SPACE	L1A1B1	L1 A1 B1	LAB	3	0	shod
ZL3b|f1r.3|G006	ZL3b	f1r.3	6	9	DEFINITE_SPACE	DEFINITE_SPACE	U2A1A3C1A2	U2 A1 A3 C1 A2	UAACA	5	0	cthoary
ZL3b|f1r.3|G007	ZL3b	f1r.3	7	9	DEFINITE_SPACE	DEFINITE_SPACE	U2J1C2	U2 J1 C2	UJC	3	0	cthes
ZL3b|f1r.3|G008	ZL3b	f1r.3	8	9	DEFINITE_SPACE	DEFINITE_SPACE	B1A3C1A3G1	B1 A3 C1 A3 G1	BACAG	5	0	daraiin
ZL3b|f1r.3|G009	ZL3b	f1r.3	9	9	DEFINITE_SPACE	LINE_END	C2A2	C2 A2	CA	2	0	sy
ZL3b|f1r.4|G001	ZL3b	f1r.4	1	9	LINE_START	DEFINITE_SPACE	C2A1G1	C2 A1 G1	CAG	3	0	soiin
ZL3b|f1r.4|G002	ZL3b	f1r.4	2	9	DEFINITE_SPACE	DEFINITE_SPACE	A1Q2K2A2	A1 Q2 K2 A2	AQKA	4	0	oteey
ZL3b|f1r.4|G003	ZL3b	f1r.4	3	9	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	A1Q2J1A1[C2:C1]	A1 Q2 J1 A1 C2	AQJAC	5	1	oteos
ZL3b|f1r.4|G004	ZL3b	f1r.4	4	9	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	C1A1B2A1Q2A2	C1 A1 B2 A1 Q2 A2	CABAQA	6	0	roloty
ZL3b|f1r.4|G005	ZL3b	f1r.4	5	9	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	U2E1A3C1	U2 E1 A3 C1	UEAC	4	0	cthiar
ZL3b|f1r.4|G006	ZL3b	f1r.4	6	9	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	B1A3G1	B1 A3 G1	BAG	3	0	daiin
ZL3b|f1r.4|G007	ZL3b	f1r.4	7	9	DEFINITE_SPACE	DEFINITE_SPACE	A1Q1A3G1	A1 Q1 A3 G1	AQAG	4	0	okaiin
ZL3b|f1r.4|G008	ZL3b	f1r.4	8	9	DEFINITE_SPACE	DEFINITE_SPACE	A1C1	A1 C1	AC	2	0	or
ZL3b|f1r.4|G009	ZL3b	f1r.4	9	9	DEFINITE_SPACE	LINE_END	A1Q1A3E2	A1 Q1 A3 E2	AQAE	4	0	okan
ZL3b|f1r.5|G001	ZL3b	f1r.5	1	6	LINE_START	UNCERTAIN_SMALL_SPACE	C2A3F3	C2 A3 F3	CAF	3	0	sair
ZL3b|f1r.5|G002	ZL3b	f1r.5	2	6	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	A2	A2	A	1	0	y
ZL3b|f1r.5|G003	ZL3b	f1r.5	3	6	DEFINITE_SPACE	DEFINITE_SPACE	K1J1A3C1	K1 J1 A3 C1	KJAC	4	0	chear
