source_group_id	edition	locus	page	section	currier	hand	code	kind	grammar_scope	source_row_index	source_group_index	source_group_count	paragraph_start	paragraph_end	left_separator	right_separator	ivtff_group_raw	clean_ascii_fragments	clean_ascii_fragment_count	legacy_surface_positions_1based	legacy_interlinear_row_present	legacy_mapping_status
ZL3b|f1r.1|G001	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	1	10	1	0	LINE_START	DEFINITE_SPACE	fachys	fachys	1	1	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G002	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	2	10	1	0	DEFINITE_SPACE	DEFINITE_SPACE	ykal	ykal	1	2	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G003	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	3	10	1	0	DEFINITE_SPACE	DEFINITE_SPACE	ar	ar	1	3	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G004	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	4	10	1	0	DEFINITE_SPACE	DEFINITE_SPACE	ataiin	ataiin	1	4	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G005	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	5	10	1	0	DEFINITE_SPACE	DEFINITE_SPACE	shol	shol	1	5	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G006	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	6	10	1	0	DEFINITE_SPACE	DEFINITE_SPACE	shory	shory	1	6	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G007	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	7	10	1	0	DEFINITE_SPACE	DEFINITE_SPACE	[cth:oto]res	cthres	1	7	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G008	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	8	10	1	0	DEFINITE_SPACE	DEFINITE_SPACE	y	y	1	8	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G009	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	9	10	1	0	DEFINITE_SPACE	DEFINITE_SPACE	kor	kor	1	9	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.1|G010	ZL3b	f1r.1	f1r	T	A	1	@P0	P	CONFIRMED_PROSE	1	10	10	1	0	DEFINITE_SPACE	LINE_END	sholdy<!@254;>	sholdy	1	10	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G001	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	1	11	0	0	LINE_START	DEFINITE_SPACE	sory	sory	1	1	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G002	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	2	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	ckhar	ckhar	1	2	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G003	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	3	11	0	0	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	or	or	1	3	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G004	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	4	11	0	0	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	y	y	1	4	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G005	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	5	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	kair	kair	1	5	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G006	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	6	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	chtaiin	chtaiin	1	6	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G007	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	7	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	shar	shar	1	7	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G008	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	8	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	ase	ase	1	8	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G009	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	9	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	cthar	cthar	1	9	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G010	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	10	11	0	0	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	cthar	cthar	1	10	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.2|G011	ZL3b	f1r.2	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	2	11	11	0	0	UNCERTAIN_SMALL_SPACE	LINE_END	dan	dan	1	11	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.3|G001	ZL3b	f1r.3	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	3	1	9	0	0	LINE_START	DEFINITE_SPACE	syaiir	syaiir	1	1	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.3|G002	ZL3b	f1r.3	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	3	2	9	0	0	DEFINITE_SPACE	DEFINITE_SPACE	sheky	sheky	1	2	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.3|G003	ZL3b	f1r.3	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	3	3	9	0	0	DEFINITE_SPACE	DEFINITE_SPACE	or	or	1	3	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.3|G004	ZL3b	f1r.3	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	3	4	9	0	0	DEFINITE_SPACE	DEFINITE_SPACE	ykaiin	ykaiin	1	4	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.3|G005	ZL3b	f1r.3	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	3	5	9	0	0	DEFINITE_SPACE	DEFINITE_SPACE	shod	shod	1	5	1	ONE_ASCII_FRAGMENT
ZL3b|f1r.3|G006	ZL3b	f1r.3	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	3	6	9	0	0	DEFINITE_SPACE	DEFINITE_SPACE	cthoary	cthoary	1	6	1	ONE_ASCII_FRAGMENT
