physical_folio	panel_id	heldout_edges	selected_representation	selected_k	strongest_admissible_baseline	operator_bits_per_edge	baseline_bits_per_edge	gain_bits_per_edge	composition_residual_bits	cycle_residual_bits	rectangle_residual_bits
f67	RTA001|f67r2|Q1_SECTOR_ROWS	28	construction	8	edge_independent	44.178571	53.744048	9.565476	5.000000	0.000000	0.000000
f67	SCARR001|f67r1|D1	12	construction	8	edge_independent	31.125000	32.805556	1.680556	5.000000	0.000000	0.000000
f67	SCARR002|f67r2|M1	7	construction	8	edge_independent	35.238095	38.952381	3.714286	5.000000	0.000000	0.000000
f67	SCARR003|f67r2|M2	12	construction	8	edge_independent	32.194444	35.486111	3.291667	5.000000	0.000000	0.000000
f67	SCARR004|f67r2|M3	7	construction	8	edge_independent	36.857143	40.571429	3.714286	5.000000	0.000000	0.000000
f67	SCARR006|f67v2|E1	4	construction	8	edge_independent	58.083333	73.583333	15.500000	5.000000	0.000000	0.000000
f67	SCARR007|f67v1|X1	12	construction	8	edge_independent	33.361111	34.777778	1.416667	5.000000	0.000000	0.000000
f68	SCARR008|f68r1|S1	29	construction	4	relation_type_only	24.408046	25.896552	1.488506	80.000000	0.000000	0.000000
f68	SCARR009|f68r2|S1	24	construction	4	relation_type_only	28.326389	28.833333	0.506944	80.000000	0.000000	0.000000
f68	SCARR010|f68r3|S1	11	construction	4	relation_type_only	30.378788	31.590909	1.212121	80.000000	0.000000	0.000000
f68	SCARR011|f68v2|E1	8	construction	4	relation_type_only	41.229167	44.520833	3.291667	80.000000	0.000000	0.000000
f68	SCARR012|f68v2|S1	4	construction	4	relation_type_only	38.416667	37.000000	-1.416667	80.000000	0.000000	0.000000
f69	SCARR013|f69r|E1	22	construction	4	edge_independent	48.787879	53.333333	4.545455	60.000000	0.000000	0.000000
f69	SCARR014|f69r|K1	6	construction	4	edge_independent	17.194444	25.138889	7.944444	60.000000	0.000000	0.000000
f69	SCARR015|f69v|X1	28	construction	4	edge_independent	25.970238	28.892857	2.922619	60.000000	0.000000	0.000000
f70	SCARR016|f70r1|Y1	9	construction	8	edge_independent	34.407407	37.277778	2.870370	103.333333	0.000000	0.000000
f70	SCARR017|f70r1|X1	6	construction	8	edge_independent	25.083333	28.944444	3.861111	103.333333	0.000000	0.000000
f70	SCARR018|f70v2|S2	19	construction	8	edge_independent	26.771930	30.070175	3.298246	103.333333	0.000000	0.000000
f70	SCARR019|f70v2|S1	10	construction	8	edge_independent	28.183333	34.066667	5.883333	103.333333	0.000000	0.000000
f70	SCARR020|f70v1|S2	10	construction	8	edge_independent	31.200000	36.833333	5.633333	103.333333	0.000000	0.000000
f70	SCARR021|f70v1|S1	5	construction	8	edge_independent	44.133333	57.333333	13.200000	103.333333	0.000000	0.000000
f71	SCARR022|f71r|S1	10	construction	4	edge_independent	34.000000	36.533333	2.533333	51.666667	0.000000	0.000000
f71	SCARR023|f71r|S2	5	construction	4	edge_independent	32.400000	34.066667	1.666667	51.666667	0.000000	0.000000
f71	SCARR024|f71v|S1	10	construction	4	edge_independent	31.050000	34.183333	3.133333	51.666667	0.000000	0.000000
f71	SCARR025|f71v|S2	5	construction	4	edge_independent	35.866667	39.333333	3.466667	51.666667	0.000000	0.000000
f72	SCARR026|f72r1|S1	10	construction	4	edge_independent	46.400000	49.600000	3.200000	35.000000	0.000000	0.000000
f72	SCARR027|f72r1|S2	5	construction	4	edge_independent	27.700000	29.433333	1.733333	35.000000	0.000000	0.000000
f72	SCARR028|f72r2|S0	5	construction	4	edge_independent	36.266667	36.866667	0.600000	35.000000	0.000000	0.000000
f72	SCARR030|f72r2|S2	9	construction	4	edge_independent	26.629630	30.481481	3.851852	35.000000	0.000000	0.000000
f72	SCARR031|f72r3|S1	12	construction	4	edge_independent	40.750000	41.902778	1.152778	35.000000	0.000000	0.000000
f72	SCARR032|f72r3|S2	11	construction	4	edge_independent	42.378788	45.015152	2.636364	35.000000	0.000000	0.000000
f72	SCARR033|f72r3|S3	7	construction	4	edge_independent	27.666667	29.095238	1.428571	35.000000	0.000000	0.000000
f72	SCARR034|f72v3|S1	18	construction	4	edge_independent	30.222222	33.055556	2.833333	35.000000	0.000000	0.000000
f72	SCARR035|f72v3|S2	12	construction	4	edge_independent	32.291667	34.625000	2.333333	35.000000	0.000000	0.000000
f72	SCARR036|f72v2|S1	18	construction	4	edge_independent	30.259259	32.731481	2.472222	35.000000	0.000000	0.000000
f72	SCARR037|f72v2|S2	12	construction	4	edge_independent	34.430556	37.319444	2.888889	35.000000	0.000000	0.000000
f72	SCARR038|f72v1|S1	20	construction	4	edge_independent	25.683333	29.816667	4.133333	35.000000	0.000000	0.000000
f72	SCARR039|f72v1|S2	10	construction	4	edge_independent	24.900000	28.633333	3.733333	35.000000	0.000000	0.000000
f73	SCARR040|f73r|S0	4	construction	4	relation_type_only	28.875000	31.666667	2.791667	85.000000	0.000000	0.000000
f73	SCARR041|f73r|S1	16	construction	4	relation_type_only	28.604167	29.666667	1.062500	85.000000	0.000000	0.000000
f73	SCARR042|f73r|S2	10	construction	4	relation_type_only	24.316667	25.983333	1.666667	85.000000	0.000000	0.000000
f73	SCARR043|f73v|S0	4	construction	4	relation_type_only	35.125000	36.500000	1.375000	85.000000	0.000000	0.000000
f73	SCARR044|f73v|S1	16	construction	4	relation_type_only	22.927083	25.062500	2.135417	85.000000	0.000000	0.000000
f73	SCARR045|f73v|S2	10	construction	4	relation_type_only	26.033333	27.283333	1.250000	85.000000	0.000000	0.000000
f75	RTA001|f75v|N1_TWO_LINE_STACKS	10	construction	6	relation_type_only	22.750000	34.766667	12.016667	88.333333	0.000000	0.000000
fRos	RTA001|fRos|FIVE_BY_THREE	15	construction	4	edge_independent	32.933333	40.033333	7.100000	35.000000	0.000000	0.000000
