query_id	edition	physical_query_key	locus	source_group_index	collapsed_page	panel_page	physical_folio	paragraph_id	line_quartile	masked_template	same_paragraph_training_groups	other_paragraph_training_groups	common_all_three
IT2a|f101r.1|G004	IT2a	f101r.1|G004|shXy	f101r.1	4	f101r	f101r	f101	f101r|P001	0	shXy	1	1	1
IT2a|f101r.2|G018	IT2a	f101r.2|G018|shXy	f101r.2	18	f101r	f101r	f101	f101r|P001	0	shXy	1	1	0
IT2a|f102r1.10|G003	IT2a	f102r1.10|G003|chXl	f102r1.10	3	f102r	f102r1	f102	f102r1|P002	0	chXl	1	1	1
IT2a|f102r1.10|G004	IT2a	f102r1.10|G004|chXl	f102r1.10	4	f102r	f102r1	f102	f102r1|P002	0	chXl	1	1	1
IT2a|f102v1.12|G006	IT2a	f102v1.12|G006|chXor	f102v1.12	6	f102v	f102v1	f102	f102v1|P001	2	chXor	1	1	0
IT2a|f102v1.8|G007	IT2a	f102v1.8|G007|chXor	f102v1.8	7	f102v	f102v1	f102	f102v1|P001	2	chXor	1	1	0
IT2a|f103r.10|G008	IT2a	f103r.10|G008|shXdy	f103r.10	8	f103r	f103r	f103	f103r|P003	0	shXdy	3	4	1
IT2a|f103r.10|G010	IT2a	f103r.10|G010|shXdy	f103r.10	10	f103r	f103r	f103	f103r|P003	0	shXdy	3	4	1
IT2a|f103r.11|G005	IT2a	f103r.11|G005|shXdy	f103r.11	5	f103r	f103r	f103	f103r|P003	0	shXdy	3	4	0
IT2a|f103r.11|G009	IT2a	f103r.11|G009|shXy	f103r.11	9	f103r	f103r	f103	f103r|P003	0	shXy	3	1	0
IT2a|f103r.12|G002	IT2a	f103r.12|G002|shXy	f103r.12	2	f103r	f103r	f103	f103r|P003	0	shXy	3	1	1
IT2a|f103r.13|G008	IT2a	f103r.13|G008|chXdy	f103r.13	8	f103r	f103r	f103	f103r|P004	0	chXdy	1	3	1
IT2a|f103r.14|G003	IT2a	f103r.14|G003|chXdy	f103r.14	3	f103r	f103r	f103	f103r|P004	0	chXdy	1	3	1
IT2a|f103r.19|G004	IT2a	f103r.19|G004|shXy	f103r.19	4	f103r	f103r	f103	f103r|P006	1	shXy	1	4	1
