pair_id	left_operation	right_operation	shared_exact_remainders	two_folio_per_operation_remainders	left_groups_on_shared_remainders	right_groups_on_shared_remainders	union_physical_folios	currier_A_shared_remainders	currier_B_shared_remainders	capacity_eligible
NONE__DA	NONE	DA	122	53	7863	562	94	45	103	1
NONE__DAQ	NONE	DAQ	61	27	4413	1375	93	27	44	1
NONE__DAQK	NONE	DAQK	31	15	4929	858	94	16	22	1
NONE__DAQKJ	NONE	DAQKJ	9	6	2105	99	93	5	6	0
DA__DAQ	DA	DAQ	25	11	232	1376	91	9	19	1
DA__DAQK	DA	DAQK	18	12	284	843	86	8	15	0
DA__DAQKJ	DA	DAQKJ	8	5	184	98	59	4	5	0
DAQ__DAQK	DAQ	DAQK	17	9	1255	821	91	11	10	0
DAQ__DAQKJ	DAQ	DAQKJ	8	6	986	98	88	5	5	0
DAQK__DAQKJ	DAQK	DAQKJ	8	6	816	98	83	5	5	0
