source_record_id	source_page	physical_folio	source_location	source_object_guess	source_comment	root_state	state_rule	primary_current_mapping	mapped_locus	manual_pairing_class	local_relation_tags	detailed_root_state	state_comparison
STOLFI_BEST_1051	f88r	f88	f88r.t.2	plant	light coloured roots, twigs	LIGHT	EXPLICIT_ROOT_CLAUSE	1	f88r.2	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	UNKNOWN	UNKNOWN
STOLFI_BEST_1054	f88r	f88	f88r.t.3	plant	light coloured twigs, dark roots	DARK	EXPLICIT_ROOT_CLAUSE	1	f88r.3	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	DARK	AGREE
STOLFI_BEST_1063	f88r	f88	f88r.t.6	plant	light coloured roots, dark leaf	LIGHT	EXPLICIT_ROOT_CLAUSE	1	f88r.6	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	LIGHT	AGREE
STOLFI_BEST_1078	f88r	f88	f88r.m.5	plant	light coloured hairy root, dark leaf	LIGHT	EXPLICIT_ROOT_CLAUSE	0	f88r.16	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	LIGHT	AGREE
STOLFI_BEST_1095	f88v	f88	f88v.t.2	plant	2 dark roots, dark leaves	DARK	EXPLICIT_ROOT_CLAUSE	1	f88v.2	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	UNKNOWN	UNKNOWN
STOLFI_BEST_1098	f88v	f88	f88v.t.3	plant	dark roots, dark leaves	DARK	EXPLICIT_ROOT_CLAUSE	1	f88v.3	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	DARK	AGREE
STOLFI_BEST_1104	f88v	f88	f88v.t.5	plant	2 dark roots, dark leaves	DARK	EXPLICIT_ROOT_CLAUSE	1	f88v.5	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	DARK	AGREE
STOLFI_BEST_1110	f88v	f88	f88v.m.2	plant	multiple dark roots, dark flower	DARK	EXPLICIT_ROOT_CLAUSE	0	f88v.12	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	UNKNOWN	UNKNOWN
STOLFI_BEST_1116	f88v	f88	f88v.m.4	plant	multiple light roots, large dark leaves	LIGHT	EXPLICIT_ROOT_CLAUSE	1	f88v.14	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	LIGHT	AGREE
STOLFI_BEST_1121	f88v	f88	f88v.b.1	plant	large light coloured root, dark leaves	LIGHT	EXPLICIT_ROOT_CLAUSE	1	f88v.28	PUBLIC_COUNT_ONLY	REL_PROXIMITY	UNKNOWN	UNKNOWN
STOLFI_BEST_1124	f88v	f88	f88v.b.2	plant	large light coloured root, dark leaves	LIGHT	EXPLICIT_ROOT_CLAUSE	0	f88v.29	PUBLIC_COUNT_ONLY	REL_PROXIMITY	LIGHT	AGREE
STOLFI_BEST_1133	f89r1	f89	f89r1.t.2	plant	large light coloured root	LIGHT	EXPLICIT_ROOT_CLAUSE	1	f89r1.2	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	UNKNOWN	UNKNOWN
STOLFI_BEST_1136	f89r1	f89	f89r1.t.3	plant	light coloured root, dark leaves, stem	LIGHT	EXPLICIT_ROOT_CLAUSE	1	f89r1.3	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	LIGHT	AGREE
STOLFI_BEST_1151	f89r1	f89	f89r1.m.2	root	roots only, light colour	LIGHT	DIRECT_ROOT_OBJECT	1	f89r1.13	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	UNKNOWN	UNKNOWN
STOLFI_BEST_1160	f89r1	f89	f89r1.b.2	plant	light coloured roots, dark leaves	LIGHT	EXPLICIT_ROOT_CLAUSE	1	f89r1.25	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	UNKNOWN	UNKNOWN
STOLFI_BEST_1163	f89r1	f89	f89r1.b.3	plant	light coloured roots with heads, dark flower	LIGHT	EXPLICIT_ROOT_CLAUSE	1	f89r1.26	PUBLIC_ASSUMED_OR_AMBIGUOUS	REL_PROXIMITY	LIGHT	AGREE
