opaque_group_id	cell_index	physical_folio	page	locus	consensus_group_id	consensus_group_index	consensus_group_count	symbol_count	selection_rank_sha256
TGCF9C181BFC31A30F3	1	f55	f55r	f55r.4	f55r.4|C005	5	10	2	a178e8bff6a3e6ef7c6c2a13eb84a732c84544bcb5c79d6d2a2e232561b7f2e8
TGCA7D9056D4219804C	1	f76	f76r	f76r.5	f76r.5|C004	4	13	2	af6d82c2a6ff289ef7411bf8141554a29d0efd61534c7cc2ba53271029d60a50
TGC0F5D610655201185	1	f77	f77r	f77r.46	f77r.46|C006	6	8	2	b13a5347a711788adfb920bc89af7d76fec21b3cfe3a417e344f0c7f3bc80135
TGC907E0DCDE7C233D6	1	f85	f85r1	f85r1.2	f85r1.2|C006	6	12	2	b9af9f678229e9334c8655c1e287d944cae1819318e2a878766cdbe04fceaa6b
TGCDD0AA147376A627B	1	f31	f31v	f31v.5	f31v.5|C003	3	4	2	cbfc69cbb2dd35d47709e27d84ea7ed42c1d18b63f88ff176528428e3faa3167
TGCABB4A38E73867AA7	1	f43	f43r	f43r.4	f43r.4|C006	6	14	2	cc256be0e87f260f440196d380bd240c6eb4f86651761b4b49f3a05adc6e053a
TGC75F52758431DB6D1	2	f115	f115v	f115v.8	f115v.8|C008	8	10	4	07e28b5bec6885e79abc3e4299aad94fe891be74bab4a6fa1fe7c3ee329c00f6
TGC6A8941F4A4D3D385	2	f94	f94v	f94v.6	f94v.6|C003	3	10	4	1de635b1795e736e0e7e1e7b76650b2e75dc35a9aa1d8a9983d9de7fe2f25920
TGC5A4DB02BA801C50B	2	f106	f106r	f106r.43	f106r.43|C006	6	11	4	2710bffb1493816a5478f6d7c9db720121d12e0040a0bb8294c13a16db9d5d0c
TGC5FE71C2A449609BA	2	f104	f104r	f104r.17	f104r.17|C009	9	10	4	31dbe73213c79e9191bb66e212cb5b38d745aea5caf3affc02fe0b6f3781d730
TGC58C21545F1F4CF7D	2	f107	f107v	f107v.36	f107v.36|C007	7	10	4	6de56244b007434b519682346cdf21c9568388670926c3731782e6259fbf67d6
TGC9EE3FE2E5A10B8E4	2	f108	f108r	f108r.40	f108r.40|C001	1	11	4	fbacd8de9268ede29c6a6534b245aa0c10bc599f5723c36c9c58d21a2563a168
TGCFF0A7B9F9CD1FDBD	3	f116	f116r	f116r.25	f116r.25|C013	13	13	2	3e7ba5159a22c6effe76e7f98bb9a7af055a425a46ce0ffba99d03829c729745
TGC8DC2750CEF02E405	3	f103	f103r	f103r.10	f103r.10|C002	2	14	2	4eaaa24e48fc839abb9f365381e26fb6db83970ff7d307043c2713b17ea41e30
TGC882C283B79FFE692	3	f105	f105r	f105r.35	f105r.35|C008	8	12	2	9bd05b09926befb808ffe28dd712d2be2c217c194e569004e44f14102c7c74dd
TGCE2C9F1D796FA0FEA	3	f113	f113r	f113r.4	f113r.4|C012	12	12	2	b169e8da82f5c6dea413f5b03dfdc94ec7f61f9f750f4c1bb1b55876513f9d3e
TGCD90A716F1F69AD47	3	f107	f107v	f107v.30	f107v.30|C002	2	11	2	d16ea321de2aed380ff19a60a065c43c86b74ccc5a41e6414a4633a4edf128e9
TGC7FA3C49B7624E6C7	3	f111	f111v	f111v.8	f111v.8|C007	7	13	2	fb13a1bd5c592e461591a5e599d6731b9773611a15bb66fea9458aae038998df
TGC36F01B7F2D35A022	4	f36	f36r	f36r.3	f36r.3|C004	4	5	3	3cba643bf2add122e0c482ac94d667ed06defc03b930cbbc07d46f10b041993d
TGC53A5476B04609C6F	4	f89	f89v2	f89v2.20	f89v2.20|C006	6	15	3	534882ddff49b8cf5b9b37a586ce62f134ca90156d6e3e0793703a7bbfe0f86e
TGCB1E80306A57B084B	4	f49	f49r	f49r.15	f49r.15|C005	5	5	3	6b33a75611507ff8bdf3c13d4342dc5292af141dec4be08a9b4ade8356b9572f
TGCB1C9B9608164520C	4	f90	f90v1	f90v1.3	f90v1.3|C001	1	11	3	6ce865c4f16947c7ae8a379a5643ddb82f2e7549bed13fd73b098d7fcf630be4
TGCCCF543B9FD02EEAC	4	f5	f5v	f5v.3	f5v.3|C006	6	9	3	89a9d4f6dd35d7efbd139dbf503d85f5fa2f10735c1c6f559541337df9fefb3d
TGC254B1BD588B34530	4	f99	f99v	f99v.22	f99v.22|C001	1	12	3	ba1ec67273612c271c267b868868cb1b9780a68df8d63e0f4c03da5550be0ad8
TGC759CE59E2D6B0B15	5	f75	f75v	f75v.12	f75v.12|C011	11	13	5	23e079eff9b80635009c56e96215667ac2d1ae78d77427c38ab8eaf528b290b7
TGC48CBA5AFBD25E490	5	f77	f77v	f77v.39	f77v.39|C008	8	9	5	51b40442abb9f4f0f6bda9c1f7a45715784d2d37c4be26a7eb909732c0b8e1a6
TGC06A3F515A03FAD91	5	f79	f79v	f79v.5	f79v.5|C003	3	8	5	595a715e33438e409b302131ef91643c4d1de3b7ad6c9c91eafff12b04eb0297
TGCE82C1C3FEDB75015	5	f78	f78r	f78r.7	f78r.7|C001	1	9	5	82a26362e9083314dbd50a4852dde576c5e9fe97d4bb3429555b13dcda524a56
TGCE2246872EA5AC9DE	5	f83	f83r	f83r.43	f83r.43|C004	4	5	5	977ba2c2db0cab46cc79542ea43c679c685215d04e326f4b8095b1069a09c7ef
TGCE45DD6EB88546B08	5	f82	f82r	f82r.14	f82r.14|C003	3	9	5	ff365864264dd516cdf9f71fe58f585a73437a093102fa4976292ad9ef3b379f
