opaque_id	canvas_unit_index	source_pages	source_folios	outside_prior_mixed_folios	quire	canvas_id	canvas_label	image_width	image_height	review_image_url
PV0B664D19	11	f102v1	f102	0	q19	1006252	102v (part)	2981	3795	https://collections.library.yale.edu/iiif/2/1006252/full/1600,/0/default.jpg
PV1BA00478	10	f101v;f102r1;f102r2	f101;f102	0	q19	1006251	101v (part) and 102r	8176	3864	https://collections.library.yale.edu/iiif/2/1006251/full/1600,/0/default.jpg
PV5FBEFAA6	8	f100v;f101r	f100;f101	1	q19	1006249	100v and 101r	7486	3715	https://collections.library.yale.edu/iiif/2/1006249/full/1600,/0/default.jpg
PV6348C446	7	f100r	f100	1	q19	1006248	100r	2676	3756	https://collections.library.yale.edu/iiif/2/1006248/full/1600,/0/default.jpg
PV7958C95C	12	f102v2	f102	0	q19	1006253	102v (part)	2838	3697	https://collections.library.yale.edu/iiif/2/1006253/full/1600,/0/default.jpg
PV90337007	3	f89v1	f89	0	q15	1006234	89v (part)	4204	3809	https://collections.library.yale.edu/iiif/2/1006234/full/1600,/0/default.jpg
PVA1D1B3C5	4	f89v2	f89	0	q15	1006235	89v (part) and 90r	7796	3761	https://collections.library.yale.edu/iiif/2/1006235/full/1600,/0/default.jpg
PVAD2C8158	2	f88v;f89r1;f89r2	f88;f89	0	q15	1006233	88v and 89r	9078	3777	https://collections.library.yale.edu/iiif/2/1006233/full/1600,/0/default.jpg
PVB0038D21	1	f88r	f88	1	q15	1037112	88r	2714	3735	https://collections.library.yale.edu/iiif/2/1037112/full/1600,/0/default.jpg
PVBF6CD577	6	f99v	f99	1	q19	1006247	99v	2802	3697	https://collections.library.yale.edu/iiif/2/1006247/full/1600,/0/default.jpg
PVD339FB60	5	f99r	f99	1	q19	1006246	99r	2702	3765	https://collections.library.yale.edu/iiif/2/1006246/full/1600,/0/default.jpg
PVE7B0A3F3	9	f101v	f101	1	q19	1006250	101v (part)	2698	3779	https://collections.library.yale.edu/iiif/2/1006250/full/1600,/0/default.jpg
