unit_id	cell_id	physical_folio	section	position
LRG007-U22558554ae7bc19b5ba1	LRG007-C001	f100	P	CORE
LRG007-U32e482d62fbe71c78d48	LRG007-C001	f100	P	FIRST
LRG007-U384c32496e58b8db392d	LRG007-C001	f100	P	CORE
LRG007-U4016de5f9d46471fdec4	LRG007-C001	f100	P	CORE
LRG007-U60f4af27527272c1b608	LRG007-C001	f100	P	CORE
LRG007-U69afc8bc65e8043a4f5e	LRG007-C001	f100	P	LAST
LRG007-U7196b54090f68cab096f	LRG007-C001	f100	P	CORE
LRG007-Ua01e558cd271d216ad9f	LRG007-C001	f100	P	CORE
LRG007-Ua0940f03f4f491140ccd	LRG007-C001	f100	P	FIRST
LRG007-Ubf4cd5480c17e2bad692	LRG007-C001	f100	P	CORE
LRG007-U17e46d76623dd4421ae8	LRG007-C002	f100	P	CORE
LRG007-U3be29caa24133f47a0cd	LRG007-C002	f100	P	LAST
LRG007-U614f44d6954e82d6ed9f	LRG007-C002	f100	P	FIRST
LRG007-U6e70af21d9ca5beb733a	LRG007-C002	f100	P	CORE
LRG007-U90c9bd875046d4d754cd	LRG007-C002	f100	P	CORE
LRG007-Ua95f682dc3d84aae44e0	LRG007-C002	f100	P	CORE
LRG007-Udfd48a5a902fc57feffb	LRG007-C002	f100	P	CORE
LRG007-Ue01ecb92384549039975	LRG007-C002	f100	P	CORE
LRG007-U09a88b2f484721eb13a8	LRG007-C003	f100	P	FIRST
LRG007-U446ffd0d68e60e2048b9	LRG007-C003	f100	P	FIRST
LRG007-U54802633784f75df8d6f	LRG007-C003	f100	P	CORE
LRG007-U8a9c9d3add8557431149	LRG007-C003	f100	P	LAST
LRG007-U8e6e39e962b342f103fc	LRG007-C003	f100	P	CORE
LRG007-U99411f5d32a16153c821	LRG007-C003	f100	P	CORE
LRG007-U9fc0d6dca768a9d9563e	LRG007-C003	f100	P	CORE
LRG007-U3253abe2a7a2478cabab	LRG007-C004	f100	P	CORE
LRG007-U39780b84216580e0e3c0	LRG007-C004	f100	P	CORE
LRG007-U5b5649dd3ac311e17b7a	LRG007-C004	f100	P	CORE
LRG007-U78bebe4ea21fe47e86e4	LRG007-C004	f100	P	CORE
LRG007-Ub31d6d0383a87071d239	LRG007-C004	f100	P	CORE
LRG007-Ub3b548994a391eb86311	LRG007-C004	f100	P	FIRST
LRG007-Ub8e2d83b977a99150b9b	LRG007-C004	f100	P	LAST
LRG007-U044c49ae49ba5314a203	LRG007-C005	f101	P	LAST
LRG007-U35a2d3f3c6d1ef7c800f	LRG007-C005	f101	P	CORE
LRG007-U48ed80c7cc987e08e360	LRG007-C005	f101	P	CORE
LRG007-U6df5e44eb21280f1110f	LRG007-C005	f101	P	CORE
LRG007-Ub2156fa7e102448e0ad3	LRG007-C005	f101	P	CORE
LRG007-Ub5864e6e536768fb6a15	LRG007-C005	f101	P	CORE
LRG007-Uf169b92ffa1ef60cb926	LRG007-C005	f101	P	FIRST
LRG007-U1e1ec69a191ddd8aab8e	LRG007-C006	f102	P	CORE
LRG007-U75f33f2c72f453c11ef2	LRG007-C006	f102	P	CORE
LRG007-Ua3373d8aa8c0bebb98b4	LRG007-C006	f102	P	CORE
LRG007-Ucb29515da4d23c1b7995	LRG007-C006	f102	P	LAST
LRG007-Ue3a023eba64a9ae54a06	LRG007-C006	f102	P	FIRST
LRG007-U000eae00c1d37d75e24f	LRG007-C007	f102	P	FIRST
LRG007-U04ef460d9f4ab853ed9e	LRG007-C007	f102	P	CORE
LRG007-U28b0141cf8b8105159e1	LRG007-C007	f102	P	CORE
LRG007-U29ea3b73c2f4ad4b0162	LRG007-C007	f102	P	CORE
LRG007-U2bdfb1fcc8709ef0e798	LRG007-C007	f102	P	CORE
LRG007-U39acd708f2ecbd556900	LRG007-C007	f102	P	CORE
LRG007-U4e0c41beb6d667d31736	LRG007-C007	f102	P	LAST
LRG007-U58ea075b80ad0f65feb0	LRG007-C007	f102	P	CORE
LRG007-U6f25a22afb935552265a	LRG007-C007	f102	P	LAST
LRG007-U798561d42f10f51dde36	LRG007-C007	f102	P	CORE
LRG007-U7e929d1c0b062c0e53d6	LRG007-C007	f102	P	CORE
LRG007-U834b17264422a84a5362	LRG007-C007	f102	P	CORE
LRG007-U89468d9712afaeba0c39	LRG007-C007	f102	P	CORE
LRG007-U954cd7c1ecb37e6d720e	LRG007-C007	f102	P	CORE
LRG007-Ua66445d706128bd3703e	LRG007-C007	f102	P	CORE
LRG007-Ub935debfe60cb665c6e4	LRG007-C007	f102	P	FIRST
LRG007-Ud7076e1a9136697c1cd2	LRG007-C007	f102	P	CORE
LRG007-Ue9e62f5a18f655d85473	LRG007-C007	f102	P	CORE
LRG007-Uf28925d404897cf03dc7	LRG007-C007	f102	P	CORE
LRG007-U0669044ef9e9a345c060	LRG007-C008	f102	P	FIRST
LRG007-U0be67ee2f1cd6ddaa94d	LRG007-C008	f102	P	CORE
LRG007-U1f5b83de24d169885c80	LRG007-C008	f102	P	FIRST
LRG007-U36428593798d8e8c2243	LRG007-C008	f102	P	CORE
LRG007-U450b8b31179aacb360d3	LRG007-C008	f102	P	CORE
LRG007-U5054c377c7dcc133490e	LRG007-C008	f102	P	LAST
LRG007-U738e7b89bee81cc08c3f	LRG007-C008	f102	P	CORE
LRG007-U75dd7737d3e23a70ea70	LRG007-C008	f102	P	CORE
LRG007-U7f6e32e06ca198ddadda	LRG007-C008	f102	P	CORE
LRG007-U81bea0bee19a52f064f1	LRG007-C008	f102	P	CORE
LRG007-U85e4edfac8267a24abf4	LRG007-C008	f102	P	LAST
