cell_id	label_rows	prose_rows	total_rows
LRG005-C001	4	4	8
LRG005-C002	1	1	2
LRG005-C003	1	3	4
LRG005-C004	1	1	2
LRG005-C005	2	2	4
LRG005-C006	3	6	9
LRG005-C007	3	6	9
LRG005-C008	2	3	5
LRG005-C009	6	19	25
LRG005-C010	3	21	24
LRG005-C011	2	3	5
LRG005-C012	1	5	6
LRG005-C013	4	6	10
LRG005-C014	2	8	10
LRG005-C015	1	2	3
LRG005-C016	1	5	6
LRG005-C017	1	4	5
LRG005-C018	1	11	12
LRG005-C019	1	3	4
LRG005-C020	2	23	25
LRG005-C021	1	1	2
LRG005-C022	4	14	18
LRG005-C023	1	2	3
LRG005-C024	1	4	5
LRG005-C025	3	8	11
LRG005-C026	1	1	2
LRG005-C027	1	2	3
LRG005-C028	1	3	4
LRG005-C029	2	16	18
LRG005-C030	3	10	13
LRG005-C031	7	6	13
LRG005-C032	1	8	9
LRG005-C033	1	13	14
LRG005-C034	1	5	6
LRG005-C035	1	1	2
LRG005-C036	2	17	19
LRG005-C037	4	16	20
LRG005-C038	1	7	8
LRG005-C039	1	4	5
LRG005-C040	4	3	7
LRG005-C041	4	4	8
LRG005-C042	2	1	3
LRG005-C043	1	4	5
LRG005-C044	1	1	2
LRG005-C045	3	4	7
LRG005-C046	2	1	3
LRG005-C047	1	1	2
LRG005-C048	2	2	4
LRG005-C049	3	2	5
LRG005-C050	1	1	2
LRG005-C051	4	2	6
LRG005-C052	1	1	2
LRG005-C053	2	7	9
LRG005-C054	1	3	4
LRG005-C055	1	1	2
LRG005-C056	1	1	2
LRG005-C057	1	3	4
LRG005-C058	1	1	2
LRG005-C059	1	5	6
LRG005-C060	2	1	3
LRG005-C061	3	12	15
LRG005-C062	4	13	17
LRG005-C063	4	4	8
LRG005-C064	1	1	2
LRG005-C065	5	16	21
LRG005-C066	4	8	12
LRG005-C067	3	12	15
LRG005-C068	2	3	5
