source_group_id	edition	locus	page	grammar_scope	kind	source_group_index	source_group_count	left_separator	right_separator	ivtff_group_raw	clean_ascii_fragments	clean_ascii_fragment_count	legacy_surface_positions_1based	retained_fragment_positions_1based	omitted_fragment_positions_1based	retained_fragments	omitted_fragments	legacy_mapping_status	formal_impact_class
ZL3b|f103r.6|G012	ZL3b	f103r.6	f103r	CONFIRMED_PROSE	P	12	14	DEFINITE_SPACE	DEFINITE_SPACE	???		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f104v.39|G015	ZL3b	f104v.39	f104v	CONFIRMED_PROSE	P	15	17	UNCERTAIN_SMALL_SPACE	UNCERTAIN_SMALL_SPACE	@206;		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f105r.17|G011	ZL3b	f105r.17	f105r	CONFIRMED_PROSE	P	11	11	DEFINITE_SPACE	LINE_END	q@145;ky	q ky	2	11,12	11	12	q	ky	MULTI_ASCII_FRAGMENT	MULTI_FRAGMENT_MIXED_RETAINED_OMITTED
ZL3b|f111v.15|G014	ZL3b	f111v.15	f111v	CONFIRMED_PROSE	P	14	16	DEFINITE_SPACE	DEFINITE_SPACE	[?:l]		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f112v.47|G001	ZL3b	f112v.47	f112v	CONFIRMED_PROSE	P	1	9	LINE_START	DEFINITE_SPACE	[?:e]		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f113r.1|G001	ZL3b	f113r.1	f113r	CONFIRMED_PROSE	P	1	11	LINE_START	DEFINITE_SPACE	pches@186;chy	pches chy	2	1,2	1,2		pches chy		MULTI_ASCII_FRAGMENT	MULTI_FRAGMENT_ALL_RETAINED
ZL3b|f114r.1|G008	ZL3b	f114r.1	f114r	CONFIRMED_PROSE	P	8	9	DEFINITE_SPACE	DEFINITE_SPACE	o@188;aiin	o aiin	2	8,9	8,9		o aiin		MULTI_ASCII_FRAGMENT	MULTI_FRAGMENT_ALL_RETAINED
ZL3b|f15v.7|G004	ZL3b	f15v.7	f15v	CONFIRMED_PROSE	P	4	9	DEFINITE_SPACE	DEFINITE_SPACE	[?:s]		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f19r.2|G010	ZL3b	f19r.2	f19r	CONFIRMED_PROSE	P	10	11	DEFINITE_SPACE	DEFINITE_SPACE	@241;		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f19r.5|G005	ZL3b	f19r.5	f19r	CONFIRMED_PROSE	P	5	5	DEFINITE_SPACE	LINE_END	@243;		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f1r.7|G002	ZL3b	f1r.7	f1r	CONFIRMED_PROSE	P	2	9	DEFINITE_SPACE	DEFINITE_SPACE	{c'y}		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f20r.5|G007	ZL3b	f20r.5	f20r	CONFIRMED_PROSE	P	7	7	DEFINITE_SPACE	LINE_END	@243;		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
ZL3b|f22r.7|G004	ZL3b	f22r.7	f22r	CONFIRMED_PROSE	P	4	9	DEFINITE_SPACE	DEFINITE_SPACE	{c'@162;@136;}		0						ZERO_ASCII_FRAGMENT	SOURCE_GROUP_ABSENT_FROM_LEGACY_ASCII
