family_surface	a_first	a_last	a_endpoints	a_folios	a_log_odds_ratio	a_direction	b_first	b_last	b_endpoints	b_folios	b_log_odds_ratio	b_direction	direction_relation
A	8	6	14	13	0.2702257331777183	FIRST	21	10	31	21	0.7234055320936794	FIRST	SAME_DIRECTION
AB	12	17	29	23	-0.34141295813419015	LAST	14	79	93	29	-1.7421376099373707	LAST	SAME_DIRECTION
AC	13	9	22	16	0.35533683826258394	FIRST	10	18	28	18	-0.5712839661713716	LAST	OPPOSITE_DIRECTION
AQA	9	16	25	18	-0.5589719627731142	LAST	0	18	18	12	-3.6218836027868857	LAST	SAME_DIRECTION
AQAB	14	19	33	24	-0.30121632130302856	LAST	3	50	53	30	-2.698153274752691	LAST	SAME_DIRECTION
AQAC	11	2	13	10	1.5348798901535643	FIRST	11	7	18	16	0.4298808116465108	FIRST	SAME_DIRECTION
AQAG	8	14	22	16	-0.5399909226164242	LAST	18	17	35	20	0.05618222104534947	FIRST	OPPOSITE_DIRECTION
AQKA	23	2	25	20	2.26142048871852	FIRST	22	6	28	18	1.2514901732216066	FIRST	SAME_DIRECTION
BA	2	39	41	30	-2.7967934109365986	LAST	0	38	38	18	-4.3670979244770045	LAST	SAME_DIRECTION
BAB	7	38	45	29	-1.666634168155312	LAST	14	62	76	30	-1.4907875475474914	LAST	SAME_DIRECTION
BAC	20	14	34	26	0.35221979061868175	FIRST	23	21	44	26	0.09017561021138798	FIRST	SAME_DIRECTION
BAF	10	15	25	20	-0.3943957432223244	LAST	39	5	44	22	1.992431446796553	FIRST	OPPOSITE_DIRECTION
BAG	42	79	121	44	-0.6645599068525139	LAST	62	12	74	29	1.6404289268633987	FIRST	OPPOSITE_DIRECTION
C	3	21	24	18	-1.8330331625268868	LAST	7	6	13	11	0.1437091161655108	FIRST	OPPOSITE_DIRECTION
CAB	8	8	16	13	0.0	ZERO	29	19	48	18	0.4201239880620756	FIRST	ZERO_IN_ONE_REGISTER
CAC	8	6	14	12	0.2702257331777183	FIRST	39	12	51	24	1.1671877944821973	FIRST	SAME_DIRECTION
CAG	12	7	19	16	0.5157420545146312	FIRST	42	6	48	22	1.8998362179788104	FIRST	SAME_DIRECTION
DAQA	5	6	11	10	-0.1680335166709434	LAST	2	24	26	15	-2.295817702274906	LAST	SAME_DIRECTION
DAQAB	12	6	18	14	0.6598232903906941	FIRST	15	28	43	19	-0.6170444617495975	LAST	OPPOSITE_DIRECTION
DAQAC	13	1	14	12	2.2089951889566	FIRST	4	7	11	9	-0.5126493324781356	LAST	OPPOSITE_DIRECTION
DAQAG	8	4	12	9	0.639908418970093	FIRST	24	15	39	20	0.4633511946905128	FIRST	SAME_DIRECTION
DAQKA	33	3	36	23	2.2885318134451254	FIRST	25	9	34	18	0.9971816507555725	FIRST	SAME_DIRECTION
KAB	7	10	17	11	-0.3394191935673215	LAST	4	8	12	9	-0.6384211181776502	LAST	SAME_DIRECTION
QAB	10	4	14	10	0.8531831152357591	FIRST	9	8	17	13	0.11183464852734264	FIRST	SAME_DIRECTION
QAC	8	2	10	10	1.2296491636342095	FIRST	17	3	20	14	1.6179719477696377	FIRST	SAME_DIRECTION
