family_remainder	onset_triplet	onset_consensus	rows	folios	none	da	raw_da_fraction	expected_da_fraction	residual_da_fraction	positive_cells	zero_cells	negative_cells	loo_reusable	loo_rows
A	A1/A1/A1	1	2	1	2	0	0/1	1/3	-1/3	0	0	1	0	0
A	A1/A1/Aa	0	1	1	1	0	0/1	1/6	-1/6	0	0	1	0	0
A	A2/A2/A2	1	19	6	13	6	6/19	11/2	1/2	1	5	0	1	19
AB	A1/A1/A1	1	33	5	31	2	2/33	1297/552	-193/552	2	0	3	1	33
AB	A1/A1/Aa	0	1	1	1	0	0/1	1/9	-1/9	0	0	1	0	0
AB	A1/A3/A3	0	1	1	1	0	0/1	1/18	-1/18	0	0	1	0	0
AB	A3/A3/A3	1	35	5	32	3	3/35	457/184	95/184	3	0	2	1	35
AC	A1/A1/A1	1	25	6	22	3	3/25	2927/660	-947/660	1	0	5	1	25
AC	A1/A1/Aa	0	2	2	2	0	0/1	51/220	-51/220	0	0	2	1	2
AC	A3/A1/A3	0	1	1	1	0	0/1	2/11	-2/11	0	0	1	0	0
AC	A3/A3/A3	1	22	6	17	5	5/22	104/33	61/33	5	0	1	1	22
AG	A1/A1/A1	1	4	3	3	1	1/4	41/72	31/72	1	0	2	1	4
AG	A1/A1/A3	0	1	1	1	0	0/1	1/18	-1/18	0	0	1	0	0
AG	A1/A3/Aa	0	1	1	1	0	0/1	1/9	-1/9	0	0	1	0	0
AG	A3/A1/A3	0	1	1	1	0	0/1	1/9	-1/9	0	0	1	0	0
AG	A3/A3/A3	1	137	14	124	13	13/137	313/24	-1/24	5	8	1	1	137
AG	A3/A3/Aa	0	1	1	1	0	0/1	1/9	-1/9	0	0	1	0	0
B	B1/B1/B1	1	3	3	1	2	2/3	29/20	11/20	2	0	1	1	3
B	B1/B1/Ba	0	1	1	1	0	0/1	13/15	-13/15	0	0	1	0	0
B	B2/B2/B2	1	117	14	36	81	9/13	4841/60	19/60	1	11	2	1	117
