family	zl_code	it_code	rf_code	pattern	positions	currier_A	currier_B	currier_blank	group_FIRST	group_INTERNAL	group_LAST	group_SINGLE
B	B1	B1	Ba	ZL_IT	1586	167	1352	67	224	1329	32	1
A	A1	A1	Aa	ZL_IT	237	49	179	9	112	117	6	2
A	A2	A2	Ab	ZL_IT	231	45	178	8	28	4	197	2
L	L1	L1	Lb	ZL_IT	231	36	193	2	150	80	1	0
A	A3	A1	A3	ZL_RF	103	25	62	16	16	87	0	0
A	A3	A1	A1	IT_RF	74	18	45	11	14	54	6	0
A	A3	A3	Aa	ZL_IT	69	20	46	3	9	60	0	0
Q	Q1	Q1	Q2	ZL_IT	67	14	47	6	10	55	2	0
A	A1	A1	A3	ZL_IT	66	23	39	4	14	52	0	0
A	A3	A1	Aa	ALL_DIFF	62	18	38	6	13	47	2	0
Q	Q1	Q1	Qa	ZL_IT	47	3	38	6	16	31	0	0
A	A1	A3	A3	IT_RF	38	2	34	2	14	24	0	0
A	A1	A3	A1	ZL_RF	34	14	18	2	6	27	1	0
C	C1	C2	C2	IT_RF	30	10	16	4	9	5	12	4
C	C1	C2	C1	ZL_RF	29	10	15	4	1	5	22	1
C	C2	C1	C2	ZL_RF	29	14	13	2	14	4	10	1
Q	Q1	Q2	Q1	ZL_RF	28	9	18	1	4	24	0	0
A	A3	A3	A1	ZL_IT	25	6	18	1	6	19	0	0
C	C1	C1	C2	ZL_IT	24	16	7	1	3	4	17	0
C	C2	C1	C1	IT_RF	24	7	15	2	2	6	15	1
A	A2	A3	A2	ZL_RF	23	13	1	9	1	2	20	0
C	C2	C2	C1	ZL_IT	23	5	16	2	7	4	11	1
K	K2	K1	K2	ZL_RF	22	1	16	5	0	22	0	0
B	B4	B3	B4	ZL_RF	20	13	5	2	0	2	18	0
A	A1	A3	Aa	ALL_DIFF	19	3	16	0	5	14	0	0
Q	Q2	Q1	Q1	IT_RF	18	2	15	1	1	17	0	0
Q	Q2	Q1	Q2	ZL_RF	15	4	9	2	3	12	0	0
B	B1	B1	B5	ZL_IT	14	4	10	0	4	9	1	0
Q	Q1	Q2	Q2	IT_RF	14	6	8	0	1	13	0	0
A	A2	A2	Aa	ZL_IT	13	7	5	1	2	2	9	0
B	B3	B3	B4	ZL_IT	13	3	10	0	0	1	12	0
C	C1	C1	Cd	ZL_IT	12	2	9	1	8	1	3	0
A	A2	A1	A2	ZL_RF	10	2	5	3	3	1	6	0
A	A2	A1	Aa	ALL_DIFF	10	4	6	0	4	1	4	1
K	K1	K2	K1	ZL_RF	10	2	8	0	4	6	0	0
K	K1	K1	K2	ZL_IT	9	1	8	0	1	8	0	0
K	K2	K1	K1	IT_RF	9	2	3	4	1	8	0	0
P	P2	P2	P1	ZL_IT	9	2	4	3	2	6	0	1
Q	Q2	Q2	Q1	ZL_IT	9	1	5	3	1	8	0	0
A	A2	A2	A1	ZL_IT	8	5	2	1	2	0	6	0
P	P1	P2	P2	IT_RF	8	5	2	1	4	4	0	0
K	K2	K2	K1	ZL_IT	7	2	5	0	0	7	0	0
L	Lb	L1	Lb	ZL_RF	7	2	5	0	3	4	0	0
A	A2	A1	A1	IT_RF	6	1	3	2	2	0	4	0
A	A3	A2	A3	ZL_RF	6	1	3	2	2	4	0	0
D	Da	D1	Da	ZL_RF	6	6	0	0	6	0	0	0
K	K1	K2	K2	IT_RF	6	2	4	0	0	6	0	0
P	P1	P1	P2	ZL_IT	6	1	5	0	4	2	0	0
A	A1	A2	A1	ZL_RF	5	3	0	2	2	2	1	0
A	A3	A3	A2	ZL_IT	5	2	1	2	0	3	2	0
B	B4	B1	B4	ZL_RF	5	2	3	0	0	0	5	0
J	J1	Ja	J1	ZL_RF	5	2	1	2	0	5	0	0
U	U1	U1	U2	ZL_IT	5	0	5	0	0	5	0	0
A	A1	A1	A2	ZL_IT	4	2	0	2	1	1	2	0
C	C1	C1	Cg	ZL_IT	4	3	1	0	0	1	2	1
P	P2	P1	P2	ZL_RF	4	1	2	1	2	2	0	0
A	Ac	A1	Ac	ZL_RF	3	2	1	0	0	3	0	0
B	B1	B4	Ba	ALL_DIFF	3	0	1	2	1	1	1	0
B	B4	B3	B3	IT_RF	3	2	0	1	0	0	3	0
B	B5	B1	B5	ZL_RF	3	2	1	0	1	2	0	0
D	D1	D1	Da	ZL_IT	3	3	0	0	3	0	0	0
F	F3	F1	F3	ZL_RF	3	1	1	1	0	1	2	0
K	Ka	K1	K1	IT_RF	3	1	2	0	0	3	0	0
U	U1	U2	U1	ZL_RF	3	2	1	0	1	2	0	0
U	U2	U1	U1	IT_RF	3	2	1	0	1	2	0	0
A	A2	A2	A3	ZL_IT	2	0	2	0	0	1	1	0
A	A2	A3	A3	IT_RF	2	0	1	1	0	0	2	0
A	A3	A2	A2	IT_RF	2	0	1	1	0	0	2	0
A	Ac	A1	A1	IT_RF	2	2	0	0	0	2	0	0
A	Ad	A2	Ad	ZL_RF	2	1	1	0	0	0	1	1
A	Ae	A3	Ae	ZL_RF	2	2	0	0	0	2	0	0
B	B6	B3	B3	IT_RF	2	1	0	1	0	2	0	0
B	Ba	B4	Ba	ZL_RF	2	1	1	0	1	1	0	0
C	Cg	C1	Cg	ZL_RF	2	2	0	0	0	0	0	2
C	Cl	C1	Cl	ZL_RF	2	2	0	0	2	0	0	0
F	F3	F1	F1	IT_RF	2	0	2	0	0	0	2	0
G	G1	G1	G3	ZL_IT	2	1	0	1	0	1	1	0
J	J1	Jb	J1	ZL_RF	2	1	0	1	0	2	0	0
J	Ja	J1	J1	IT_RF	2	1	0	1	0	1	1	0
K	K1	Ka	K1	ZL_RF	2	0	2	0	0	2	0	0
L	Lg	L1	L1	IT_RF	2	0	2	0	0	1	0	1
P	P1	P2	P1	ZL_RF	2	1	1	0	0	2	0	0
T	T1	T1	T2	ZL_IT	2	0	2	0	1	1	0	0
T	T3	T1	T1	IT_RF	2	1	1	0	0	2	0	0
