source_order	manifest_id	manifest_sha256	label	manuscript_number	century	archetype	theme	description	circle_match	people_match	element_quality_match	marking_match	metadata_candidate
1	7f7233fc-2869-4672-9626-b9fe2fb05a1e	e8e306d9e5d7db30daa79922a0dd790e61a65ebbc7a4f2d625ca58fd1fbc09e3	Arbor viciorum	Arundel 83, f. 128v	c. 1300-1350 AD	Tree of Virtues | Tree of Vices	Christian Doctrine | Ethics	Arbor viciorum in colours and gold. The diagram from c. 1310 AD shows that the Tree of Vices has its root (radix) in superbia and that this tree grows from the Original Sin of Adam and Eve. As narrated in the Book of Genesis, Eve was deceived by a serpent into eating fruit from the forbidden tree, which she did (as it is represented in the image) and got Adam to have some too. From this act of disobedience to God, humanity inherited sin. Like the seven deadly sins or capital vices listed by the Catholic Church, the tree has seven branches of circular clusters, each representing one of the seven vices and its seven subsidiaries. The image also features birds, owls, and a moth perched in the branches. At the lower right corner, a proud man sits, dressed as a peasant with a scythe in his right hand, and next to him and looking at him is a devil, pointing to an organic motif: and one sees a partially tumbled harvest. At the bottom left depicts a rich miser sitting and holding a bag with gold coins, with a devil perched on his shoulder.	1	0	0	0	0
2	83b137cd-c14c-43ee-8663-8fb8bda26801	033fbf23283dae0e25ebd91545bfed0463261fc32b5a6905442bdb13c707f856	Arbor virtutum	Arundel 83, f. 129	c. 1300 AD	Tree of Virtues | Tree of Vices	Christian Doctrine | Ethics	Arbor virtutum, whose root is humility (humilitas), the trunk is the way of life (via vite), and the fruit is the fruit of the spirit (fructus spiritus). The Tree of Virtues grows from the lily-vase of the Annunciation, representing the purity of the Virgin, into seven branches of circular clusters (identified by the Roman numerals I to VII), each representing one of the seven virtues (prudentia, fortitudo, iustitia, temperantia, fides, spes, caritas) and its seven subsidiaries (for instance, in charity’s case, these are concordia, misericordia, indulgencia, compassio, pax, pietas and gratia). At the base of the Tree are Archangel Gabriel and Blessed Virgin Mary and, on the top, two angels and Jesus Christ (represented by His head, surrounded by a blue celestial halo, also suggesting to be a crown of thorns, reminiscent of Heaven and resurrection). At the bottom of the image, there are the four cardinal virtues recognized in the Bible, allegorical female personifications of Prudence, Justice, Fortitude, and Temperance. Prudence (prudentia), the ability to discern the appropriate course of action to be taken in a given situation at the appropriate time, is represented with one bird perched on the right arm of the female figure who is carefully looking at a strange animal perched on her left arm; Justice (iustitia), considered as fairness and righteousness, whose attributes are a sword and a balance; Fortitude (fortitudo), armed with a sword and a shield, representing the ability to face fear and uncertainty; and Temperance (temperantia) bears a torch in one hand and a chalice in the other, known as restraint and moderation tempering the appetition.	1	0	0	0	0
3	0953127b-451f-425c-be99-f138efdc7ab9	f0e9a01618cb1e21f2e3e41797188e99e986342ea2ef41339d5d7dccd876fd67	Scutum Fidei	Cotton Faustina manuscript B VII, f. 42v.	c. 1200 AD	Scutum Fidei	Christian Doctrine	Folio 42v, from a manuscript from c. 1210 AD, features the chronologically earliest known version of the 'Scutum Fidei' or Shield of the Trinity, a symbol which logically expresses the 'paradox' of the Christian doctrine of the Trinity and in which there are a representation of the Crucifixion and the words 'Pater', 'Spiritus Sanctus' and 'Filius' in the three outer nodes and 'Deus' in the centre node. Following the six links in the triangular diagram, twelve propositions can be read of the Latin: 'The Father is God, the Son is God, the Holy Spirit is God; God is the Father, God is the Son, God is the Holy Spirit; the Father is not the Son, the Son is not the Father, the Father is not the Holy Spirit, the Holy Spirit is not the Father, the Son is not the Holy Spirit, the Holy Spirit is not the Son'. 'The Father and the Son and the Holy Spirit' are one name for God because three persons exist in God. The doctrine of the Trinity holds that God exists as three equally divine 'persons' and is one: the three persons are distinct, yet are one consubstantial.	0	0	0	1	0
4	0a35ff72-6718-41cf-b77d-4b9948cb3343	946a28e5065854c5ad4e88f04bc5d7e696a5eca9492943ee1a44deaf2ce5cc63	Arbor consanguinitatis		1516 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Law	Consanguinity is a bond and arbor consanguinitatis is a relational scheme showing that a person descends from others and that the kinship link is a triple line, i.e. descending, ascending and collateral. These bonds are organized in lines and measured in degrees. Degrees are the appropriate means for determining proximity in kinship relations. In the collateral line, although not descending from each other, they are descended from a common ancestral trunk. The truncus (trunk) is the cellula vacua: from a divisio cellularum every distinct part of the tree appears.	0	0	0	0	0
5	0bf9506d-1ba1-41de-bb78-dbfaec3f1044	4a048dda2551c1a0bfb927337febbe8b8c20105f1678c59ae1dd22399a353bdd	The music of the spheres and alchemy	RES-457, f. 94v	1518 AD	Harmony of the Spheres	Music | Astrology	The illustration shows a combination of the Pythagorean musical theory with the alchemical symbolism. On Gaffurio’s image, one sees the distances between the celestial bodies from one another related with the music of the spheres. From the earth to the moon, the moon to Mercury, Mercury to Venus, Venus to the sun, the sun to Mars, Mars to Jupiter, Jupiter to Saturn, and from Saturn to the sphere of the fixed stars: they all have musical intervals. Each heavenly body maintains a correspondence with gods and muses, and each muse has its musical notes and modes (for instance, about the muse Clio: her note is Proslambanomenos and matches the Hypodorian mode). At the top of the image is written “The energy of the Apollinian mind sets these muses everywhere in motion” and next to Apollo are the Three Graces (Euphrosyne – Mirth, Thalia – Abundance, and Aglaia – Splendor) and a vase with flowers (which, during the Renaissance, symbolized the virtues of the soul). Thalia is also at the very bottom of the image, here the first of the nine muses. Evoking the alchemical symbolism, a descending serpent can be seen bisecting the image, cutting the spheres of the four elements and having three animal heads (lion, wolf and dog). Apollo has his feet on the curve of the serpent’s tail.	0	0	1	0	0
6	18f7a473-2f92-47bc-b12f-25bf523da90c	9294c7ba3ff0c51663f12ed769af7901c809b4c6890e2bb383bec778330dbc47	Lapis philosophorum	Egerton 845, f. 21r	c. 1500-1550 AD		Alchemy	Diagram with many terms related to the symbolic universe of alchemy, terms that refer to hidden formulas and are reminiscent of the fusion of the physical with the spiritual. The diagram focuses on the Philosopher's Stone ('Lapis philosophorum'); it is headed by the sun and the moon, followed by many terms linked together. As an example from this set of terms, the following references are worth noting: (1) the azoth (considered to be the universal solvent, universal cure, elixir of life, and the essential agent that makes transmutation of substances possible); (2) dealbatio (a stage of the colour of the liquid’s transformation; the result will be a white elixir but, until it stabilizes, the elixir has to be purified and more finely processed); (3) gallina (the alchemical process can be seen as a broody hen warming the eggs it hatches, a reference to what happens with the matter in the alchemical vessel exposed to a well-tempered heat); the four qualities (calidum, frigidum, siccum, humidum – possessed by each of the four elements and whose manipulation would enable the change of substances).	0	0	1	1	0
7	1b00e12c-22e1-4ed4-97ed-74e9a1af45b0	c4448ef99c1b416993a36612b4b106c5675e2385613236afefb928b055fa779c	Tree of Virtues	The Hague, KB, 72A73, f. 185r	1460 AD	Tree of Virtues	Ethics	Made for Pierre de Goux et de Wedergraete, chancellor of the Duke of Burgundy, this fifteenth-century copy of Liber Floridus contains close to one hundred coloured illustrations, spread across more than 200 folios. The tree of virtues diagram is found on chapter 152, folio 185r. It occupies the entire sheet and spreads from right to left; the composition springs from the roots into trunk, branches and fruits, each branch containing virtues (as female figures, inside circles). On top of each branch there are depictions of 9 trees, associated to the nearest virtue, such as platanus with pax, or cedrus with patientia (the same tree, but uncoloured, can be found on manuscript 128 C 4, copied more than fifty years later).	0	0	0	0	0
8	255513b2-cc22-4281-ab7d-cc6f296c5cf5	7996d67477ea3cd7dee32b05fef8ecfd7014a668e39ee3ac6708106378b82ee9	Tree of Vices	W.72, fol. 25v	c. 1200 AD	Tree of Virtues | Tree of Vices	Theology	"The illustration shows the “Tree of Vices” and features a figure with crossed arms at the top, labelled ""vetus adam"", the inscriptions “fructus carnis: babilonia: sinistra: fructus iste descendit” and a tree (with serpents and dragons surrounding it) in which the root is superbia (holding the aureus calix babilon). The diagram displays the relationships between vices, and ""pride"" is shown as the origin of all other vices. The nodes of the tree are the cardinal vices and the leaves, pointing downward toward hell, are the secondary vices. The cardinal vices encompass their sub-vices as follows: luxuria (libido, imundicia, turpiloquium, voluptas, blandicie, ignavia, fornicatio, titubatio, petulantia, lascivia, turpitudo, delicie), ventris ingluvies (voracitas, ebrietas, languor, gula, crapula, mentis ebetudo), avaritia (philargiria, violentia, periurium, rapina, fraus, usura, fallacia), tristicia (desperatio, pusillanimitas, querela, accidia, torpor, metus, rancor), invidia (malicia, odium, detractio, susuratio, amaritudo, afflictio in prosperis, exultatio in adversis), ira (blasphemia, protervia, luctus, furor, clamor, rixa, contumelia) and vana gloria (ypocrisis, loquacitas, inobedientia, arrogantia, lactantia, pertinatia, novitatum persumptio)."	0	0	0	1	0
9	945bc3db-8d53-40d8-ab30-eb0744e7b0eb	e96abd74d9c7b841bf00d9033239f4e4c5b5424c2781afc6cd7a85245f8a4fd2	Tree of proportion and proportionality	Typ 525.09.669a	1509 AD		Mathematics	Luca Pacioli proposes a scientific program of knowledge mathematization, in which the theory of proportions plays a central role. As the title of the treatise indicates, the main subject is the study of the golden ratio, which seemed to reflect perfection and divine harmony. This diagram appears after the text on mathematical proportions, in an appended section with figures. The 'Tree of proportion and proportionality' exhibits a list of names illustrating the various types of proportions and ratios, including continuous and discontinuous ones, as well as rational and irrational numbers. For example, geometric proportions could be continuous or discontinuous, continuous could be rational or irrational, etc. The classification in the tree includes ratios of equality and inequality; of greater and lesser inequality (the proportion of inequality is two-fold); multiplexes or multiples; single, double and triple ratios; and particulars, alterates, and partiens.	0	0	0	0	0
10	3fc32b51-62b0-416e-811c-f72d0ebf4835	e9921fa671cfbd822be4c414c5f48687363def140a25b1853b9c53aee7b6c2c6	The sciences	Harley 2799, f. 241v	1172 AD	Liberal Arts	Philosophy	Diagram of the division of 'Phylosophia' into its branches, namely: theorica (being, in its turn, subdivided in theologia, physica, and mathematica; and being mathematica subdivided in four sciences, namely: arithmetica, geometria, musica, astronomia); practica (being, in its turn, subdivided in ethyca, echonomica, polytica); logica (being, in its turn, subdivided in gramatica, dyaletica and rethorica); mechanica (being, in its turn, subdivided in seven sciences: lanificium, armatura, agricultura, venatio, navigatio, medicina, theatrica). In the Middle Ages, the definition of 'science' was much broader than it is nowadays: sciences were all the branches of philosophy, covering the knowledge of a wide scope of subjects.	0	0	0	0	0
