unit_id	base_id	physical_folio	section	currier	kind	group_count	locus_role	left_context	right_context
U00062ec3ee5c61b4	B0f76627cf4e4f7eb	f39	H	B	P	9	MIDDLE	B	U
U00108738b7ea83ad	B2693f8bdd6844067	f85	T	B	P	10	MIDDLE	A	L
U0017e426173fde3f	Bb2006fce0cdc1d65	f44	H	A	P	6	LAST	A	END
U001f5bcb4dd6417d	Bd9cf74fe8412e08f	f76	B	B	P	9	MIDDLE	A	D
U00242f429ebd6a20	B421b9041275aa797	f6	H	A	P	5	MIDDLE	B	U
U002c8c8bec583f90	B3037f54cdb4647af	f80	B	B	P	12	MIDDLE	A	A
U002cf6978a7828c9	B04c58ff894953789	f47	H	A	P	8	FIRST	START	K
U003ab2fd3fd1e7b9	B8a40d6304293415b	f84	B	B	P	13	MIDDLE	A	L
U0045455692c81b60	B8a40d6304293415b	f78	B	B	P	11	MIDDLE	F	K
U004caadcf0aa6a11	B226e84515aab16d2	f116	S	B	P	7	MIDDLE	A	A
U00563fe9d7bf4559	B9a85fffafff12db9	f102	P	A	P	8	MIDDLE	A	A
U005907fda182384f	B27ad378d4d427ed2	f90	H	A	P	11	MIDDLE	A	C
U005ef59eeb1b064c	B27ad378d4d427ed2	f107	S	B	P	10	MIDDLE	B	B
U007d5172a7dd4fca	B226e84515aab16d2	f78	B	B	P	11	MIDDLE	A	K
U0082fec442453123	B631dcc6c12743dde	f114	S	B	P	11	MIDDLE	A	A
U0086703bda4bd2f0	B8a40d6304293415b	f80	B	B	P	11	MIDDLE	F	Q
U0097114e1542d87b	B7f4ff3cd47611b8a	f112	S	B	P	12	MIDDLE	B	K
U00a64f93347522f6	B4f79f4b7cb6e4dd5	f108	S	B	P	10	MIDDLE	A	A
U00c52c23278e7c16	B6badc8581c16b126	f94	H	B	P	11	MIDDLE	C	A
U00c57a35f3ef91da	B8a40d6304293415b	f75	B	B	P	6	MIDDLE	G	A
U00d423175650e033	Be267ad8725c9e070	f82	B	B	P	9	FIRST	START	L
U00ef2c7d42860aa6	B5265b4af1a16d1b6	f85	T	B	P	12	MIDDLE	A	K
U0113b9eeca052e6c	B226e84515aab16d2	f38	H	A	P	9	LAST	H	END
U0115a5b00bd92bea	B27ad378d4d427ed2	f86	T	B	P	10	MIDDLE	F	A
U0119b8f014e13eb5	B04c58ff894953789	f86	C	B	P	9	MIDDLE	A	K
U01256e72eb578004	B6badc8581c16b126	f75	B	B	P	12	MIDDLE	C	A
U01258f2499be050a	B66c6bc411942f0b3	f43	H	B	P	12	MIDDLE	A	A
U0128b206d43c2140	B631dcc6c12743dde	f20	H	A	P	8	MIDDLE	A	B
U012a5e6061a9bab3	B04c58ff894953789	f1	T	A	P	9	MIDDLE	A	A
U0131a23890f55a25	B631dcc6c12743dde	f10	H	A	P	9	MIDDLE	A	U
U013a821076aa9a75	B421b9041275aa797	f114	S	B	P	6	MIDDLE	B	A
U013f065f81bb02b7	B7f4ff3cd47611b8a	f35	H	A	P	4	MIDDLE	B	B
U014be95b5f69a074	B42d3a51a4f6f3495	f13	H	A	P	9	MIDDLE	A	A
U014daf36de24f2de	B27ad378d4d427ed2	f106	S	B	P	4	MIDDLE	G	Q
U014e8622c67e06ed	B04c58ff894953789	f80	B	B	P	11	MIDDLE	B	A
