mode_id	record	page	locus	input_rule_surface	local_output_surface	support_events	event_ids	instruction_de
LR01	H1	f10r	f10r.2	choky	oky	1	E008	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR02	H1	f10r	f10r.5	okchy	qokchy	1	E011	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR03	H2	f10r	f10r.6	chy	dy	1	E020	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR03	H2	f10r	f10r.6	daiin	taiin	1	E022	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR03	H2	f10r	f10r.6	chey	shy	1	E023	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR04	H2	f10r	f10r.8	otchor	qotchor	1	E024	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR04	H2	f10r	f10r.8	olor	cholor	1	E028	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR04	H2	f10r	f10r.8	char	dar	1	E031	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR05	H2	f10r	f10r.9	chor	shor	1	E033	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR05	H2	f10r	f10r.9	chy	dy	1	E037	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR06	H3	f11r	f11r.1	cheey	shey	1	E044	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR07	H3	f11r	f11r.4	chy	dy	1	E050	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR08	H3	f11r	f11r.7	chey	dy	1	E055	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR09	H4	f55v	f55v.5	daiin	chaiin	1	E057	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR10	H4	f55v	f55v.11	daiin	aiin	1	E068	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR10	H4	f55v	f55v.11	qokal	okal	1	E069	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR10	H4	f55v	f55v.11	chor	or	1	E071	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR10	H4	f55v	f55v.11	chey	y	1	E072	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR11	H5	f56r	f56r.8	dchol	schol	1	E083	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR12	H5	f56r	f56r.18	okchy	chokchy	1	E095	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR13	B1	f81v	f81v.2	qokaiin	okaiin	1	E102	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR13	B1	f81v	f81v.2	qokal	okal	1	E104	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR13	B1	f81v	f81v.2	char	sar	1	E105	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR13	B1	f81v	f81v.2	dal	al	1	E109	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR14	B1	f81v	f81v.7	ol	qol	1	E121	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR15	B1	f81v	f81v.17	chckhy	shckhy	1	E128	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR16	B1	f81v	f81v.21	okey	qokey	1	E142	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR16	B1	f81v	f81v.21	ol	qol	1	E148	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR17	B1	f81v	f81v.24	qokeey	okeey	1	E153	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR17	B1	f81v	f81v.24	ol	qol	1	E154	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR17	B1	f81v	f81v.24	shedy	cheedy	1	E155	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR17	B1	f81v	f81v.24	dal	sal	1	E156	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR18	B1	f81v	f81v.27	shedy	tedy	1	E163	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR18	B1	f81v	f81v.27	dal	chal	1	E166	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR19	B2	f82r	f82r.2	schedy	dchedy	1	E167	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR19	B2	f82r	f82r.2	chey	dy	1	E170	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR20	B2	f82r	f82r.7	otaiin	sotaiin	1	E190	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR21	B2	f82r	f82r.19	qokain	okain	2	E198|E200	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR22	B2	f82r	f82r.26	dal	cheal	1	E214	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR22	B2	f82r	f82r.26	daiin	aiin	1	E217	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR23	B3	f83r	f83r.3	char	dar	1	E238	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR24	B3	f83r	f83r.6	qolchedy	olchedy	1	E242	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
LR25	B3	f83r	f83r.11	chor	sor	1	E254	Wenn diese Regeloberfläche im Locus erscheint, durch die lokale Oberfläche ersetzen.
