mode_id	record	page	locus	load_event	locus_events	override_entries	override_events	rule_rendered_events	load_instruction_de
LR01	H1	f10r	f10r.2	E001	10	1	1	9	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR02	H1	f10r	f10r.5	E011	4	1	1	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR03	H2	f10r	f10r.6	E015	9	3	3	6	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR04	H2	f10r	f10r.8	E024	8	3	3	5	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR05	H2	f10r	f10r.9	E032	7	2	2	5	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR06	H3	f11r	f11r.1	E039	8	1	1	7	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR07	H3	f11r	f11r.4	E047	5	1	1	4	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR08	H3	f11r	f11r.7	E052	4	1	1	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR09	H4	f55v	f55v.5	E056	8	1	1	7	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR10	H4	f55v	f55v.11	E064	10	4	4	6	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR11	H5	f56r	f56r.8	E083	4	1	1	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR12	H5	f56r	f56r.18	E094	4	1	1	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR13	B1	f81v	f81v.2	E101	12	4	4	8	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR14	B1	f81v	f81v.7	E113	9	1	1	8	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR15	B1	f81v	f81v.17	E122	9	1	1	8	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR16	B1	f81v	f81v.21	E141	9	2	2	7	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR17	B1	f81v	f81v.24	E150	10	4	4	6	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR18	B1	f81v	f81v.27	E160	7	2	2	5	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR19	B2	f82r	f82r.2	E167	8	2	2	6	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR20	B2	f82r	f82r.7	E189	9	1	1	8	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR21	B2	f82r	f82r.19	E198	5	1	2	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR22	B2	f82r	f82r.26	E212	9	2	2	7	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR23	B3	f83r	f83r.3	E229	10	1	1	9	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR24	B3	f83r	f83r.6	E239	9	1	1	8	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR25	B3	f83r	f83r.11	E254	10	3	3	7	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR26	B3	f83r	f83r.14	E264	10	3	3	7	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR27	B3	f83r	f83r.15	E274	9	3	3	6	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR28	B3	f83r	f83r.16	E283	8	1	1	7	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR29	B3	f83r	f83r.20	E291	9	2	2	7	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR30	B3	f83r	f83r.24	E309	6	2	2	4	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR31	B4	f83r	f83r.25	E315	6	1	1	5	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR32	B4	f83r	f83r.26	E321	6	1	1	5	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR33	B4	f83r	f83r.35	E338	5	2	2	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR34	B4	f83r	f83r.38	E348	4	1	1	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR35	B4	f83r	f83r.39	E352	4	1	1	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR36	B4	f83r	f83r.41	E356	4	1	1	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR37	B5	f83r	f83r.48	E365	5	2	2	3	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
LR38	B6	f83r	f83r.54	E377	5	1	1	4	Am Locusanfang lokale Ersetzungstafel laden; sonst normale Rendererregel verwenden.
