decision_no	event_id	statement_id	record	page	locus	decision_type	selected_value
1	E001	H1-S001	H1	f10r	f10r.2	LOAD_LOCUS_RENDERER_TABLE	LR01
2	E011	H1-S002	H1	f10r	f10r.5	LOAD_LOCUS_RENDERER_TABLE	LR02
3	E015	H2-S001	H2	f10r	f10r.6	LOAD_LOCUS_RENDERER_TABLE	LR03
4	E024	H2-S002	H2	f10r	f10r.8	LOAD_LOCUS_RENDERER_TABLE	LR04
5	E032	H2-S003	H2	f10r	f10r.9	LOAD_LOCUS_RENDERER_TABLE	LR05
6	E039	H3-S001	H3	f11r	f11r.1	LOAD_LOCUS_RENDERER_TABLE	LR06
7	E047	H3-S003	H3	f11r	f11r.4	LOAD_LOCUS_RENDERER_TABLE	LR07
8	E052	H3-S004	H3	f11r	f11r.7	LOAD_LOCUS_RENDERER_TABLE	LR08
9	E056	H4-S001	H4	f55v	f55v.5	LOAD_LOCUS_RENDERER_TABLE	LR09
10	E064	H4-S003	H4	f55v	f55v.11	LOAD_LOCUS_RENDERER_TABLE	LR10
11	E083	H5-S002	H5	f56r	f56r.8	LOAD_LOCUS_RENDERER_TABLE	LR11
12	E094	H5-S005	H5	f56r	f56r.18	LOAD_LOCUS_RENDERER_TABLE	LR12
13	E101	B1-S001	B1	f81v	f81v.2	LOAD_LOCUS_RENDERER_TABLE	LR13
14	E113	B1-S002	B1	f81v	f81v.7	LOAD_LOCUS_RENDERER_TABLE	LR14
15	E122	B1-S003	B1	f81v	f81v.17	LOAD_LOCUS_RENDERER_TABLE	LR15
16	E141	B1-S012	B1	f81v	f81v.21	LOAD_LOCUS_RENDERER_TABLE	LR16
17	E150	B1-S015	B1	f81v	f81v.24	LOAD_LOCUS_RENDERER_TABLE	LR17
18	E160	B1-S018	B1	f81v	f81v.27	LOAD_LOCUS_RENDERER_TABLE	LR18
19	E167	B2-S001	B2	f82r	f82r.2	LOAD_LOCUS_RENDERER_TABLE	LR19
20	E189	B2-S007	B2	f82r	f82r.7	LOAD_LOCUS_RENDERER_TABLE	LR20
21	E198	B2-S011	B2	f82r	f82r.19	LOAD_LOCUS_RENDERER_TABLE	LR21
22	E212	B2-S015	B2	f82r	f82r.26	LOAD_LOCUS_RENDERER_TABLE	LR22
23	E229	B3-S001	B3	f83r	f83r.3	LOAD_LOCUS_RENDERER_TABLE	LR23
24	E239	B3-S005	B3	f83r	f83r.6	LOAD_LOCUS_RENDERER_TABLE	LR24
25	E254	B3-S012	B3	f83r	f83r.11	LOAD_LOCUS_RENDERER_TABLE	LR25
26	E264	B3-S016	B3	f83r	f83r.14	LOAD_LOCUS_RENDERER_TABLE	LR26
27	E274	B3-S021	B3	f83r	f83r.15	LOAD_LOCUS_RENDERER_TABLE	LR27
28	E283	B3-S024	B3	f83r	f83r.16	LOAD_LOCUS_RENDERER_TABLE	LR28
29	E291	B3-S026	B3	f83r	f83r.20	LOAD_LOCUS_RENDERER_TABLE	LR29
30	E309	B3-S034	B3	f83r	f83r.24	LOAD_LOCUS_RENDERER_TABLE	LR30
31	E315	B4-S001	B4	f83r	f83r.25	LOAD_LOCUS_RENDERER_TABLE	LR31
32	E321	B4-S003	B4	f83r	f83r.26	LOAD_LOCUS_RENDERER_TABLE	LR32
33	E338	B4-S011	B4	f83r	f83r.35	LOAD_LOCUS_RENDERER_TABLE	LR33
34	E348	B4-S014	B4	f83r	f83r.38	LOAD_LOCUS_RENDERER_TABLE	LR34
35	E352	B4-S015	B4	f83r	f83r.39	LOAD_LOCUS_RENDERER_TABLE	LR35
36	E356	B4-S015	B4	f83r	f83r.41	LOAD_LOCUS_RENDERER_TABLE	LR36
37	E365	B5-S003	B5	f83r	f83r.48	LOAD_LOCUS_RENDERER_TABLE	LR37
38	E377	B6-S001	B6	f83r	f83r.54	LOAD_LOCUS_RENDERER_TABLE	LR38
