commission_step	event_id	page	record	statement_id	statement_position	owner_action	owner_noun_de	master_dictation_de	component_recipe	lesson_source	lesson_anchor	recipe_address	lookup_result	allowed_card_nos	selected_card_no	allowed_surfaces	copied_surface	likely_master_correction	readback_de
1	E039	f11r	H3	H3-S001	FIRST	SET_VISIBLE_OWNER	die dicht bluehende Kronenpflanze	EINTRAGEN · HALTEN · FORTSETZEN	T+SH+OL	RECURRENT_SAME_HEAD_ANCHOR	T+Y	A156	DIRECT_CARD	PROC026	PROC026	tshol	tshol	COPY_EXACT_NO_SEMANTIC_REPAIR	EINTRAGEN · HALTEN · FORTSETZEN
2	E040	f11r	H3	H3-S001	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	HALTEN · GANG · ZIEL	SH+O+AL	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	A138	DIRECT_CARD	PROC027	PROC027	schoal	schoal	SOURCE_VS_TARGET	HALTEN · GANG · ZIEL
3	E041	f11r	H3	H3-S001	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	AUSWRINGEN · DIES	CFH+Y	KNOWN_ROOT_TRAY_EXTENSION	CFH	A010	DIRECT_CARD	PROC028	PROC028	cfhy	cfhy	OPEN_DIES_VS_CLOSE	AUSWRINGEN · DIES
4	E042	f11r	H3	H3-S001	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	HALTEN · DIES · MASS	SH+Y+AIIN	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	A139	DIRECT_CARD	PROC029	PROC029	shfydaiin	shfydaiin	MASS_VS_PORTION+OPEN_DIES_VS_CLOSE	HALTEN · DIES · MASS
5	E043	f11r	H3	H3-S001	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	EINFUELLEN · DIES	P+Y	KNOWN_ROOT_TRAY_EXTENSION	P	A123	DIRECT_CARD	PROC030	PROC030	cphy	cphy	OPEN_DIES_VS_CLOSE	EINFUELLEN · DIES
6	E044	f11r	H3	H3-S001	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	HALTEN · LANG · DIES	SH+EE+Y	RECURRENT_FAMILY	SH+EE+Y	A137	CHOOSE_LOCAL_CARD_VARIANT	PROC031|PROC157	PROC031	cheey|shey; sheey	shey	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	HALTEN · LANG · DIES
7	E045	f11r	H3	H3-S001	LAST	CARRY_OWNER	die dicht bluehende Kronenpflanze	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	T+CH+O+DY	RECURRENT_SAME_HEAD_ANCHOR	T+Y	A157	DIRECT_CARD	PROC032	PROC032	tchody	tchody	OPEN_DIES_VS_CLOSE	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS
8	E046	f11r	H3	H3-S002	ONLY	CARRY_OWNER_TO_NEW_STATEMENT	die dicht bluehende Kronenpflanze	HALTEN · GANG · DIES · EINTRAGEN · DIES	SH+O+Y+T+Y	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	A146	DIRECT_CARD	PROC033	PROC033	shoyty	shoyty	OPEN_DIES_VS_CLOSE	HALTEN · GANG · DIES · EINTRAGEN · DIES
9	E047	f11r	H3	H3-S003	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	die dicht bluehende Kronenpflanze	WIEDERAUFNEHMEN	RESUME_CARD	RECURRENT_FAMILY	RESUME_CARD	A131	DIRECT_CARD	PROC034	PROC034	dchol|schol	dchol	COPY_SURFACE_DO_NOT_REGULARIZE	WIEDERAUFNEHMEN
10	E048	f11r	H3	H3-S003	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	DIES	Y	RECURRENT_FAMILY	Y	A159	DIRECT_CARD	PROC019	PROC019	chey|chy|dy|shy|sy|y	chy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	DIES
11	E049	f11r	H3	H3-S003	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	ZUDOSIEREN · DIES	K+Y	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	A047	DIRECT_CARD	PROC035	PROC035	kchy	kchy	OPEN_DIES_VS_CLOSE	ZUDOSIEREN · DIES
12	E050	f11r	H3	H3-S003	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	DIES	Y	RECURRENT_FAMILY	Y	A159	DIRECT_CARD	PROC019	PROC019	chey|chy|dy|shy|sy|y	dy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	DIES
13	E051	f11r	H3	H3-S003	LAST	CARRY_OWNER	die dicht bluehende Kronenpflanze	MASS	AIIN	RECURRENT_FAMILY	AIIN	A001	DIRECT_CARD	PROC009	PROC009	aiin|chaiin|daiin|saiin|taiin	daiin	MASS_VS_PORTION+COPY_SURFACE_DO_NOT_REGULARIZE	MASS
14	E052	f11r	H3	H3-S004	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	die dicht bluehende Kronenpflanze	DANACH · DIES	OT+Y	RECURRENT_FAMILY	OT+Y	A113	CHOOSE_LOCAL_CARD_VARIANT	PROC036|PROC065	PROC036	qotchy; otchey	qotchy	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	DANACH · DIES
15	E053	f11r	H3	H3-S004	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	ANSETZEN · FORTSETZEN	OK+OL	RECURRENT_FAMILY	OK+OL	A082	CHOOSE_LOCAL_CARD_VARIANT	PROC037|PROC160	PROC037	okchol; qokol	okchol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · FORTSETZEN
16	E054	f11r	H3	H3-S004	MIDDLE	CARRY_OWNER	die dicht bluehende Kronenpflanze	BEREIT · DIES	CTH+Y	RECURRENT_FAMILY	CTH+Y	A028	DIRECT_CARD	PROC014	PROC014	checthy|cthy|shcthy	cthy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	BEREIT · DIES
17	E055	f11r	H3	H3-S004	LAST	CARRY_OWNER	die dicht bluehende Kronenpflanze	DIES	Y	RECURRENT_FAMILY	Y	A159	DIRECT_CARD	PROC019	PROC019	chey|chy|dy|shy|sy|y	dy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	DIES
18	E101	f81v	B1	B1-S001	ONLY	SET_VISIBLE_OWNER	das gemeinsame zweireihige Becken	ANSETZEN · KURZ · SCHLUSS	OK+E+DY	RECURRENT_FAMILY	OK+E+DY	A086	DIRECT_CARD	PROC067	PROC067	qokedy	qokedy	OPEN_DIES_VS_CLOSE	ANSETZEN · KURZ · SCHLUSS
19	E102	f81v	B1	B1-S002	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ANSETZEN · MASS	OK+AIIN	RECURRENT_FAMILY	OK+AIIN	A077	DIRECT_CARD	PROC038	PROC038	okaiin|qokaiin	okaiin	MASS_VS_PORTION+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · MASS
20	E103	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	ZUDOSIEREN · LAUF	K+AIR	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	A042	DIRECT_CARD	PROC068	PROC068	kair	kair	COPY_EXACT_NO_SEMANTIC_REPAIR	ZUDOSIEREN · LAUF
21	E104	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	ANSETZEN · ZIEL	OK+AL	RECURRENT_FAMILY	OK+AL	A080	DIRECT_CARD	PROC048	PROC048	okal|qokal	okal	SOURCE_VS_TARGET+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · ZIEL
22	E105	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	QUELLE	AR	RECURRENT_FAMILY	AR	A008	DIRECT_CARD	PROC003	PROC003	char|dar|sar	sar	SOURCE_VS_TARGET+COPY_SURFACE_DO_NOT_REGULARIZE	QUELLE
