statement_id	page	record	events	event_ids	surface_sequence	recipe_sequence	rare_lookups	double_variant_lookups	owner_noun_de	complete_readback_de
H3-S001	f11r	H3	7	E039|E040|E041|E042|E043|E044|E045	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	6	1	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.
H3-S002	f11r	H3	1	E046	shoyty	SH+O+Y+T+Y	1	0	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und eintragen.
H3-S003	f11r	H3	5	E047|E048|E049|E050|E051	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	1	0	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Mass weiterfuehren.
H3-S004	f11r	H3	4	E052|E053|E054|E055	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	0	2	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.
B1-S001	f81v	B1	1	E101	qokedy	OK+E+DY	0	0	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.
B1-S002	f81v	B1	19	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	4	4	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zudosieren. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
B1-S003	f81v	B1	2	E121|E122	qol sshkchdy	OL | SH+K+CHD+DY	1	1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zudosieren und umsetzen; den Schritt schliessen.
B1-S004	f81v	B1	3	E123|E124|E125	chedy ol shedy	CHD+Y | OL | SHED+DY	0	2	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.
B1-S005	f81v	B1	1	E126	qolchedy	OL+CHD+DY	0	0	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.
B1-S006	f81v	B1	4	E127|E128|E129|E130	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	1	0	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen.
B1-S007	f81v	B1	1	E131	qokchdy	OK+CHD+DY	0	1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.
B1-S008	f81v	B1	5	E132|E133|E134|E135|E136	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	0	2	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.
B1-S009	f81v	B1	1	E137	qokedy	OK+E+DY	0	0	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S010	f81v	B1	1	E138	qokedy	OK+E+DY	0	0	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S011	f81v	B1	2	E139|E140	chckhy qoky	CKH+Y | OK+Y	0	1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.
B1-S012	f81v	B1	3	E141|E142|E143	lsho qokey lshedy	LSH+O | OK+E+Y | LSH+E+DY	1	0	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den Gang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.
B1-S013	f81v	B1	1	E144	lshedy	LSH+E+DY	0	0	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.
B1-S014	f81v	B1	5	E145|E146|E147|E148|E149	chedy qolky lchedal qol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	3	2	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln.
B1-S015	f81v	B1	2	E150|E151	ytey okchedy	T+E+Y | OK+CHD+DY	1	1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen.
B1-S016	f81v	B1	4	E152|E153|E154|E155	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+DY	0	1	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.
