record	at	word	inputs	outputs	input_need	output_need	missing	row_status
F83_P1	f83r.4:3	qokedy	f83r.1:6,f83r.3:7	f83r.4:7	2	1		recorded
F83_P1	f83r.6:7	qokeedy	f83r.5:7	f83r.6:8	1	2	outputs	recorded
F83_P1	f83r.7:8	qokedy	f83r.5:7,f83r.6:8		2	1	outputs	recorded
F83_P2	f83r.9:3	qokedy		f83r.11:2	2	1	inputs	recorded
F83_P2	f83r.11:6	qokedy	f83r.11:2	f83r.11:9	2	1	inputs	recorded
F83_P2	f83r.12:8	qokedy	f83r.11:2,f83r.11:9	f83r.13:3	2	1		recorded
F83_P2	f83r.13:7	qokedy	f83r.11:9,f83r.13:3		2	1	outputs	recorded
F83_P2	f83r.14:2	qokeedy	f83r.13:3	f83r.14:3,f83r.14:6	1	2		recorded
F83_P3	f83r.20:4	qokedy	f83r.19:11,f83r.20:3		2	1	outputs	recorded
F83_P3	f83r.20:7	qokedy	f83r.19:11,f83r.20:3		2	1	outputs	recorded
F83_P3	f83r.21:2	qokedy	f83r.19:11,f83r.20:3		2	1	outputs	recorded
F83_P3	f83r.21:8	qokedy	f83r.19:11,f83r.20:3		2	1	outputs	recorded
F83_P3	f83r.22:3	qokeedy	f83r.20:3	f83r.23:4	1	2	outputs	recorded
F83_P3	f83r.23:5	qokedy	f83r.20:3,f83r.23:4	f83r.24:6	2	1		recorded
F83_P4	f83r.25:1	qokeedy		f83r.25:3	1	2	inputs,outputs	recorded
F83_P4	f83r.25:4	qokedy	f83r.25:3	f83r.26:2	2	1	inputs	recorded
F83_P4	f83r.27:3	qokeedy	f83r.26:5	f83r.27:4,f83r.27:5	1	2		recorded
F83_P4	f83r.28:4	qokedy	f83r.27:4,f83r.27:5	f83r.28:5	2	1		recorded
F83_P4	f83r.30:3	qokeedy	f83r.28:5		1	2	outputs	recorded
