record	at	word	status	input_ids	output_ids	equation	witness	rejoins_split	row_status
F83_P1	f83r.4:3	qokedy	PASS	I@f83r.4:3:in0,I@f83r.4:3:in1	O@f83r.4:3:0	m(I@f83r.4:3:in0)+m(I@f83r.4:3:in1) = m(O@f83r.4:3:0)	1+1 = 2		recorded
F83_P1	f83r.6:7	qokeedy	outputs	I@f83r.6:7:in0					recorded
F83_P1	f83r.7:8	qokedy	outputs	I@f83r.7:8:in0,I@f83r.7:8:in1					recorded
F83_P2	f83r.9:3	qokedy	inputs						recorded
F83_P2	f83r.11:6	qokedy	inputs	I@f83r.11:6:in0					recorded
F83_P2	f83r.12:8	qokedy	PASS	I@f83r.12:8:in0,I@f83r.12:8:in1	O@f83r.12:8:0	m(I@f83r.12:8:in0)+m(I@f83r.12:8:in1) = m(O@f83r.12:8:0)	1+1 = 2		recorded
F83_P2	f83r.13:7	qokedy	outputs	I@f83r.13:7:in0,I@f83r.13:7:in1					recorded
F83_P2	f83r.14:2	qokeedy	PASS	I@f83r.14:2:in0	O@f83r.14:2:0,O@f83r.14:2:1	m(I@f83r.14:2:in0) = m(O@f83r.14:2:0)+m(O@f83r.14:2:1)	1 = 1/2+1/2		recorded
F83_P3	f83r.20:4	qokedy	outputs	I@f83r.20:4:in0,I@f83r.20:4:in1					recorded
F83_P3	f83r.20:7	qokedy	outputs	I@f83r.20:7:in0,I@f83r.20:7:in1					recorded
F83_P3	f83r.21:2	qokedy	outputs	I@f83r.21:2:in0,I@f83r.21:2:in1					recorded
F83_P3	f83r.21:8	qokedy	outputs	I@f83r.21:8:in0,I@f83r.21:8:in1					recorded
F83_P3	f83r.22:3	qokeedy	outputs	I@f83r.22:3:in0					recorded
F83_P3	f83r.23:5	qokedy	PASS	I@f83r.23:5:in0,I@f83r.23:5:in1	O@f83r.23:5:0	m(I@f83r.23:5:in0)+m(I@f83r.23:5:in1) = m(O@f83r.23:5:0)	1+1 = 2		recorded
F83_P4	f83r.25:1	qokeedy	inputs,outputs						recorded
F83_P4	f83r.25:4	qokedy	inputs	I@f83r.25:4:in0					recorded
F83_P4	f83r.27:3	qokeedy	PASS	I@f83r.27:3:in0	O@f83r.27:3:0,O@f83r.27:3:1	m(I@f83r.27:3:in0) = m(O@f83r.27:3:0)+m(O@f83r.27:3:1)	1 = 1/2+1/2		recorded
F83_P4	f83r.28:4	qokedy	PASS	I@f83r.28:4:in0,I@f83r.28:4:in1	O@f83r.28:4:0	m(I@f83r.28:4:in0)+m(I@f83r.28:4:in1) = m(O@f83r.28:4:0)	1+1 = 2		recorded
F83_P4	f83r.30:3	qokeedy	outputs	I@f83r.30:3:in0					recorded
