record	at	word	portion	status	row_status
F83_P1	f83r.1:6	shedy	E@f83r.1:6	BOUND	recorded
F83_P1	f83r.3:7	lchedy	E@f83r.3:7	BOUND	recorded
F83_P1	f83r.4:7	shedy	O@f83r.4:3:0	BOUND	recorded
F83_P1	f83r.5:6	shedy	O@f83r.4:3:0	BOUND	recorded
F83_P1	f83r.5:7	qokeey	E@f83r.5:7	BOUND	recorded
F83_P1	f83r.6:8	lchedy		DEPLETED	recorded
F83_P2	f83r.11:2	shedy	E@f83r.11:2	BOUND	recorded
F83_P2	f83r.11:9	lchedy	E@f83r.11:9	BOUND	recorded
F83_P2	f83r.13:3	shedy	O@f83r.12:8:0	BOUND	recorded
F83_P2	f83r.14:3	shedy	O@f83r.14:2:0	BOUND	recorded
F83_P2	f83r.14:6	lchedy	O@f83r.14:2:1	BOUND	recorded
F83_P2	f83r.15:9	lchedy	O@f83r.14:2:1	BOUND	recorded
F83_P3	f83r.18:4	shedy	E@f83r.18:4	BOUND	recorded
F83_P3	f83r.19:6	shedy	E@f83r.18:4	BOUND	recorded
F83_P3	f83r.19:9	shedy	E@f83r.18:4	BOUND	recorded
F83_P3	f83r.19:11	lchedy	E@f83r.19:11	BOUND	recorded
F83_P3	f83r.20:3	qokeey	E@f83r.20:3	BOUND	recorded
F83_P3	f83r.23:4	shedy	E@f83r.18:4	BOUND	recorded
F83_P3	f83r.24:6	shedy	O@f83r.23:5:0	BOUND	recorded
F83_P4	f83r.25:3	qokeey	E@f83r.25:3	BOUND	recorded
F83_P4	f83r.26:2	qokeey	E@f83r.25:3	BOUND	recorded
F83_P4	f83r.26:5	shedy	E@f83r.26:5	BOUND	recorded
F83_P4	f83r.27:4	shckhedy	O@f83r.27:3:0	BOUND	recorded
F83_P4	f83r.27:5	shckhedy	O@f83r.27:3:1	BOUND	recorded
F83_P4	f83r.28:5	shedy	O@f83r.28:4:0	BOUND	recorded
F83_P5	f83r.32:3	lchedy	E@f83r.32:3	BOUND	recorded
F83_P5	f83r.34:2	lchedy	E@f83r.32:3	BOUND	recorded
F83_P5	f83r.37:3	lchedy	E@f83r.32:3	BOUND	recorded
F83_P5	f83r.37:5	shedy	E@f83r.37:5	BOUND	recorded
F83_P5	f83r.41:2	lchedy	E@f83r.32:3	BOUND	recorded
F83_P5	f83r.44:2	shedy	E@f83r.37:5	BOUND	recorded
