record	at	word	status	input_ids	output_ids	equation	witness	rejoins_split	row_status
F83_P1	f83r.4:3	qokedy	PASS	E@f83r.1:6,E@f83r.3:7	O@f83r.4:3:0	m(E@f83r.1:6)+m(E@f83r.3:7) = m(O@f83r.4:3:0)	1+1 = 2		recorded
F83_P1	f83r.6:7	qokeedy	outputs	E@f83r.5:7					recorded
F83_P1	f83r.7:8	qokedy	outputs,unavailable_reference	E@f83r.5:7,					recorded
F83_P2	f83r.9:3	qokedy	inputs						recorded
F83_P2	f83r.11:6	qokedy	inputs	E@f83r.11:2					recorded
F83_P2	f83r.12:8	qokedy	PASS	E@f83r.11:2,E@f83r.11:9	O@f83r.12:8:0	m(E@f83r.11:2)+m(E@f83r.11:9) = m(O@f83r.12:8:0)	1+1 = 2		recorded
F83_P2	f83r.13:7	qokedy	outputs,consumed_input	E@f83r.11:9,O@f83r.12:8:0					recorded
F83_P2	f83r.14:2	qokeedy	PASS	O@f83r.12:8:0	O@f83r.14:2:0,O@f83r.14:2:1	m(O@f83r.12:8:0) = m(O@f83r.14:2:0)+m(O@f83r.14:2:1)	2 = 1+1		recorded
F83_P3	f83r.20:4	qokedy	outputs	E@f83r.19:11,E@f83r.20:3					recorded
F83_P3	f83r.20:7	qokedy	outputs	E@f83r.19:11,E@f83r.20:3					recorded
F83_P3	f83r.21:2	qokedy	outputs	E@f83r.19:11,E@f83r.20:3					recorded
F83_P3	f83r.21:8	qokedy	outputs	E@f83r.19:11,E@f83r.20:3					recorded
F83_P3	f83r.22:3	qokeedy	outputs	E@f83r.20:3					recorded
F83_P3	f83r.23:5	qokedy	PASS	E@f83r.20:3,E@f83r.18:4	O@f83r.23:5:0	m(E@f83r.20:3)+m(E@f83r.18:4) = m(O@f83r.23:5:0)	1+1 = 2		recorded
F83_P4	f83r.25:1	qokeedy	inputs,outputs						recorded
F83_P4	f83r.25:4	qokedy	inputs	E@f83r.25:3					recorded
F83_P4	f83r.27:3	qokeedy	PASS	E@f83r.26:5	O@f83r.27:3:0,O@f83r.27:3:1	m(E@f83r.26:5) = m(O@f83r.27:3:0)+m(O@f83r.27:3:1)	1 = 1/2+1/2		recorded
F83_P4	f83r.28:4	qokedy	PASS	O@f83r.27:3:0,O@f83r.27:3:1	O@f83r.28:4:0	m(O@f83r.27:3:0)+m(O@f83r.27:3:1) = m(O@f83r.28:4:0)	1/2+1/2 = 1	f83r.27:3	recorded
F83_P4	f83r.30:3	qokeedy	outputs	O@f83r.28:4:0					recorded
