family	statement_id	page	record	start_card_1_based	left_card	fragment_cards	right_card	local_reading_de
MEASURE_ADDRESS_FRAME	H1-S001	f10r	H1	8	OT+Y+T+CH+OL	OK+Y | AIIN	E+T+Y	DIES ANSETZEN | SOLLMASS
MEASURE_ADDRESS_FRAME	H2-S001	f10r	H2	7	Y	Y | AIIN	Y	DIES | SOLLMASS
MEASURE_ADDRESS_FRAME	H2-S001	f10r	H2	8	Y	AIIN | Y	END	SOLLMASS | DIES
CONTINUATION_FRAME	H2-S002	f10r	H2	5	OL	OL+OR | OL	AIIN	WEITER ANSATZ | WEITER
MEASURE_ADDRESS_FRAME	H2-S002	f10r	H2	6	OL+OR	OL | AIIN	AR	WEITER | SOLLMASS
CURRENT_PREPARATION_FRAME	H2-S003	f10r	H2	3	OR	OR | Y	K+IIN	ANSATZ | DIES
MEASURE_ADDRESS_FRAME	H3-S003	f11r	H3	4	K+Y	Y | AIIN	END	DIES | SOLLMASS
CURRENT_PREPARATION_FRAME	H4-S004	f55v	H4	4	OL+T+Y	OR | Y	OR+AIN	ANSATZ | DIES
CONTINUATION_FRAME	B1-S002	f81v	B1	7	K+AIN	OL+K+AIN | AL	OL	WEITER PORTION ZUGEBEN | ZIELSTELLE
CONTINUATION_FRAME	B1-S002	f81v	B1	8	OL+K+AIN	AL | OL	R+OL	ZIELSTELLE | WEITER
CONTINUATION_FRAME	B1-S002	f81v	B1	12	L	OL+OR | OL	SH+E+CKH+AL	WEITER ANSATZ | WEITER
CONTINUATION_FRAME	B1-S008	f81v	B1	4	CHK+E+Y	OL | SHED+DY	END	WEITER | ABSETZEN; SCHLUSS
MEASURE_ADDRESS_FRAME	B2-S012	f82r	B2	6	L+EE+Y	AIIN | Y	OK+EEE+DY	SOLLMASS | DIES
MEASURE_ADDRESS_FRAME	B3-S021	f83r	B3	4	AL	Y | AIIN	SHED+AL	DIES | SOLLMASS
MEASURE_ADDRESS_FRAME	B3-S030	f83r	B3	1	START	OK+Y | AIIN	CHD+AIR	DIES ANSETZEN | SOLLMASS
CURRENT_PREPARATION_FRAME	B4-S014	f83r	B4	1	START	OR | Y	O+CKH+E+Y	ANSATZ | DIES
CONTINUATION_FRAME	B4-S016	f83r	B4	1	START	OL+K+AIN | AL	K+AR	WEITER PORTION ZUGEBEN | ZIELSTELLE
CONTINUATION_FRAME	B5-S003	f83r	B5	2	SHED+AL	AL | OL	L+OL	ZIELSTELLE | WEITER
MEASURE_ADDRESS_FRAME	B5-S003	f83r	B5	6	CHD+AL	AIIN | OL	DA+IIN	SOLLMASS | WEITER
MEASURE_ADDRESS_FRAME	B6-S001	f83r	B6	4	R+AL+Y	OL | AIIN	OL	WEITER | SOLLMASS
MEASURE_ADDRESS_FRAME	B6-S001	f83r	B6	5	OL	AIIN | OL	AIN	SOLLMASS | WEITER
