formula_id	family	cards	atomic_reading_de	original_residual_occurrences	remaining_occurrences_after_pass748	remaining_statement_ids	family_contribution_de
F01	MEASURE_ADDRESS_FRAME	AIIN | OL	SOLLMASS | WEITER	2	2	B5-S003,B6-S001	gemessener Posten / nach Sollmass weiter
F02	MEASURE_ADDRESS_FRAME	AIIN | Y	SOLLMASS | DIES	3	2	B2-S012,H2-S001	gemessener Posten / nach Sollmass weiter
F03	CONTINUATION_FRAME	AL | OL	ZIELSTELLE | WEITER	2	2	B1-S002,B5-S003	weiter am Ziel / mit weiterer Portion / weiter bis Schluss
F04	STAGED_ACTIVATION_FRAME	OK+EE+Y | OK+Y	DIES LANG ANSETZEN | DIES ANSETZEN	2	0	NONE	lange ansetzen, ansetzen, weiter
F05	MEASURE_ADDRESS_FRAME	OK+Y | AIIN	DIES ANSETZEN | SOLLMASS	2	2	B3-S030,H1-S001	gemessener Posten / nach Sollmass weiter
F06	STAGED_ACTIVATION_FRAME	OK+Y | OL	DIES ANSETZEN | WEITER	2	0	NONE	lange ansetzen, ansetzen, weiter
F07	MEASURE_ADDRESS_FRAME	OL | AIIN	WEITER | SOLLMASS	2	2	B6-S001,H2-S002	gemessener Posten / nach Sollmass weiter
F08	CONTINUATION_FRAME	OL | SHED+DY	WEITER | ABSETZEN; SCHLUSS	2	1	B1-S008	weiter am Ziel / mit weiterer Portion / weiter bis Schluss
F09	CONTINUATION_FRAME	OL+K+AIN | AL	WEITER PORTION ZUGEBEN | ZIELSTELLE	2	2	B1-S002,B4-S016	weiter am Ziel / mit weiterer Portion / weiter bis Schluss
F10	CONTINUATION_FRAME	OL+OR | OL	WEITER ANSATZ | WEITER	2	2	B1-S002,H2-S002	weiter am Ziel / mit weiterer Portion / weiter bis Schluss
F11	CURRENT_PREPARATION_FRAME	OR | Y	ANSATZ | DIES	3	3	B4-S014,H2-S003,H4-S004	der Ansatz, dieser
F12	MEASURE_ADDRESS_FRAME	Y | AIIN	DIES | SOLLMASS	4	3	B3-S021,H2-S001,H3-S003	gemessener Posten / nach Sollmass weiter
