unified_serial	domain	page	unit_id	local_address	visible_identity	owner_or_namespace	construction_or_event	short_form_reading	concrete_unit_reading_de	unit_program_word_ids	unit_program_words_de	anchor_mix	provenance_warning
1	HERBAL_RECIPE	f10r	H1	H1-S001	dchey	H1	C01	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
2	HERBAL_RECIPE	f10r	H1	H1-S001	cthoor	H1	C05	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
3	HERBAL_RECIPE	f10r	H1	H1-S001	char	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
4	HERBAL_RECIPE	f10r	H1	H1-S001	chty	H1	C06	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
5	HERBAL_RECIPE	f10r	H1	H1-S001	os	H1	C01	Setze die gelernte Fachkarte: Mischgefäß.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
6	HERBAL_RECIPE	f10r	H1	H1-S001	chair	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
7	HERBAL_RECIPE	f10r	H1	H1-S001	otytchol	H1	C02	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
8	HERBAL_RECIPE	f10r	H1	H1-S001	oky	H1	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
9	HERBAL_RECIPE	f10r	H1	H1-S001	daiin	H1	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
10	HERBAL_RECIPE	f10r	H1	H1-S001	etyd	H1	C10	Setze Maß, Portion oder Stufe: kleiner Restteil.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
11	HERBAL_RECIPE	f10r	H1	H1-S002	qokchy	H1	C07	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
12	HERBAL_RECIPE	f10r	H1	H1-S002	qotchol	H1	C02	Danach oder in demselben Gang: danach weiterfuehren.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
13	HERBAL_RECIPE	f10r	H1	H1-S002	chol	H1	C02	Danach oder in demselben Gang: fortsetzen.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
14	HERBAL_RECIPE	f10r	H1	H1-S002	cthy	H1	C07	Führe es mit diesem laufenden Posten aus: bereit.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	H_R01;H_R05;H_R06	Wasser;Satz;Trank	MASTER_PROGRAM_ONLY=2;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
15	HERBAL_RECIPE	f10r	H2	H2-S001	ycheor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
16	HERBAL_RECIPE	f10r	H2	H2-S001	cthy	H2	C07	Führe es mit diesem laufenden Posten aus: bereit.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
17	HERBAL_RECIPE	f10r	H2	H2-S001	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
18	HERBAL_RECIPE	f10r	H2	H2-S001	cthaiin	H2	C06	Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
19	HERBAL_RECIPE	f10r	H2	H2-S001	qoctholy	H2	C02	Danach oder in demselben Gang: bereiten Posten weiterfuehren.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
20	HERBAL_RECIPE	f10r	H2	H2-S001	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
21	HERBAL_RECIPE	f10r	H2	H2-S001	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
22	HERBAL_RECIPE	f10r	H2	H2-S001	taiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
23	HERBAL_RECIPE	f10r	H2	H2-S001	shy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
