event_id	statement_id	record	page	surface	morphological_class	teaching_mode	teaching_item_ids	reading_de
E001	H1-S001	H1	f10r	dchey	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	CH+E+Y	abziehen · kurz · dies
E002	H1-S001	H1	f10r	cthoor	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	CTH+O+OR	bereit · Arbeitsgang · Ansatz
E003	H1-S001	H1	f10r	char	ATOMIC_CORE_CARD	SEVENTEEN_EXACT_CARD_DECK	AR	von dort
E004	H1-S001	H1	f10r	chty	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	T+Y	eintragen · dies
E005	H1-S001	H1	f10r	os	MEMORIZED_WHOLE_SIGN	SEVENTEEN_EXACT_CARD_DECK	PROC005	Arbeitsfach
E006	H1-S001	H1	f10r	chair	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	CH+AIR	abziehen · Lauf
E007	H1-S001	H1	f10r	otytchol	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen
E008	H1-S001	H1	f10r	oky	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	OK+Y	ansetzen · dies
E009	H1-S001	H1	f10r	daiin	ATOMIC_CORE_CARD	SEVENTEEN_EXACT_CARD_DECK	AIIN	Maß
E010	H1-S001	H1	f10r	etyd	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	E+T+Y	kurz · eintragen · dies
E011	H1-S002	H1	f10r	qokchy	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	OK+Y	ansetzen · dies
E012	H1-S002	H1	f10r	qotchol	FULL_COMPONENT_COMPOSITION	TWENTY_TWO_COMPONENT_STRIPS	OT+CH+OL	danach · abziehen · fortsetzen
E013	H1-S002	H1	f10r	chol	ATOMIC_CORE_CARD	SEVENTEEN_EXACT_CARD_DECK	OL	fortsetzen
