strip_no	component_id	back_value_de	host_card_types	host_events	selected_example_ids	selected_examples	standalone_exact_card	teaching_instruction_de
1	DY	ENDPOINT: Schluss	36	88	STRIP01_EX1|STRIP01_EX2|STRIP01_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
2	OK	FRAME: ansetzen	23	79	STRIP02_EX1|STRIP02_EX2|STRIP02_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
3	CHD	OPERATION: umsetzen	22	48	STRIP03_EX1|STRIP03_EX2|STRIP03_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
4	E	GRADE: kurz	33	48	STRIP04_EX1|STRIP04_EX2|STRIP04_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
5	EE	GRADE: laenger	16	36	STRIP05_EX1|STRIP05_EX2|STRIP05_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
6	OT	FRAME: danach	16	26	STRIP06_EX1|STRIP06_EX2|STRIP06_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
7	K	OPERATION: zufuehren	18	21	STRIP07_EX1|STRIP07_EX2|STRIP07_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
8	O	FRAME: Arbeitsgang	18	19	STRIP08_EX1|STRIP08_EX2|STRIP08_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
9	CH	OPERATION: abziehen	14	15	STRIP09_EX1|STRIP09_EX2|STRIP09_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
10	CTH	STATE: bereit	8	15	STRIP10_EX1|STRIP10_EX2|STRIP10_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
11	SHED	OPERATION: absetzen	3	15	STRIP11_EX1|STRIP11_EX2|STRIP11_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
12	CKH	OPERATION: Durchlass	9	14	STRIP12_EX1|STRIP12_EX2|STRIP12_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
13	T	OPERATION: eintragen	9	10	STRIP13_EX1|STRIP13_EX2|STRIP13_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
14	CHK	OPERATION: waermen	4	7	STRIP14_EX1|STRIP14_EX2|STRIP14_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
15	SOLK	OPERATION: auffangen	5	7	STRIP15_EX1|STRIP15_EX2|STRIP15_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
16	R	OPERATION: abkuehlen	6	6	STRIP16_EX1|STRIP16_EX2|STRIP16_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
17	AIR	ARGUMENT: Lauf	5	5	STRIP17_EX1|STRIP17_EX2|STRIP17_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
18	IIN	ARGUMENT: Sollstufe	3	4	STRIP18_EX1|STRIP18_EX2|STRIP18_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
19	LSH	OPERATION: Waschgang	2	3	STRIP19_EX1|STRIP19_EX2	2	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
20	P	OPERATION: hinein	3	3	STRIP20_EX1|STRIP20_EX2|STRIP20_EX3	3	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
21	EEE	GRADE: vollstaendig	2	2	STRIP21_EX1|STRIP21_EX2	2	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
22	LDDY	ENDPOINT: befestigen und schliessen	1	1	STRIP22_EX1	1	NO	Markierten Bestandteil in jeder Wirtkarte sprechen; übrige Bestandteile danach links nach rechts ergänzen.
