lesson_no	family	exact_card_id	component_recipe	short_meaning_de	registered_surfaces	surface_count	learning_mode	example_command_de
1	ADDRESS	PROC019	Y	POSTEN	chey|chy|dy|shy|sy|y	6	COMPOSE_COMPONENTS	Diesen Posten nehmen.
2	ADDRESS	PROC055	AL	ZIELSTELLE	al|chal|cheal|dal|sal|tal	6	COMPOSE_COMPONENTS	An die Zielstelle bringen.
3	ADDRESS	PROC003	AR	QUELLE	char|dar|sar	3	COMPOSE_COMPONENTS	Aus der Quelle nehmen.
4	QUANTITY	PROC009	AIIN	SOLLMASS	aiin|chaiin|daiin|saiin|taiin	5	COMPOSE_COMPONENTS	Nach Sollmaß arbeiten.
5	LINK	PROC013	OL	WEITER	cheol|chol|ol|qol|sol|tol	6	COMPOSE_COMPONENTS	Weiterarbeiten.
6	MATERIAL	PROC016	OR	ANSATZ	chor|or|shor|sor	4	COMPOSE_COMPONENTS	Mit diesem Ansatz arbeiten.
7	MATERIAL	PROC052	HO	ZUTAT	cho|sho	2	COMPOSE_COMPONENTS	Die Zutat nehmen.
8	OPERATION	PROC008	OK+Y	ANSETZEN · POSTEN	choky|oky|qoky	3	COMPOSE_COMPONENTS	Diesen Posten ansetzen.
9	OPERATION	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	okaiin|qokaiin	2	COMPOSE_COMPONENTS	Nach Sollmaß ansetzen.
10	OPERATION	PROC014	CTH+Y	BEREITEN · POSTEN	checthy|cthy|shcthy	3	COMPOSE_COMPONENTS	Diesen Posten bereiten.
11	STATE	PROC031	SH+EE+Y	HALTEN · LANG · POSTEN	cheey|shey	2	COMPOSE_COMPONENTS	Diesen Posten länger halten.
12	CLOSE	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	cheedy|shedy|tedy	3	COMPOSE_COMPONENTS	Stehen lassen; Schritt schließen.
13	CLOSE	PROC076	CHD+DY	UMSETZEN · SCHLUSS	dchedy|schedy|tchedy	3	COMPOSE_COMPONENTS	Umsetzen; Schritt schließen.
14	MATERIAL	PROC006	CH+AIR	ENTNEHMEN · WASSER	chair	1	COMPOSE_COMPONENTS	Wasser entnehmen.
15	WHOLE_CARD	PROC034	RESUME_CARD	DAVON	dchol|schol	2	MEMORIZE_WHOLE_CARD	Davon nehmen.
16	WHOLE_CARD	PROC005	OS	DAZU	os	1	MEMORIZE_WHOLE_CARD	Dazu geben.
