lesson_no	exact_card_id	component_recipe	surface	generated_by	short_meaning_de	example_command_de	same_card_and_meaning
1	PROC019	Y	chey	S2_CH	POSTEN	Diesen Posten nehmen.	YES
1	PROC019	Y	chy	S2_CHE_TO_CH	POSTEN	Diesen Posten nehmen.	YES
1	PROC019	Y	dy	S4_D_T	POSTEN	Diesen Posten nehmen.	YES
1	PROC019	Y	shy	S3_Q_SH	POSTEN	Diesen Posten nehmen.	YES
1	PROC019	Y	sy	S3_QSH_TO_S_BRANCH	POSTEN	Diesen Posten nehmen.	YES
1	PROC019	Y	y	S1_BARE	POSTEN	Diesen Posten nehmen.	YES
2	PROC055	AL	al	S1_BARE	ZIELSTELLE	An die Zielstelle bringen.	YES
2	PROC055	AL	chal	S2_CHE_TO_CH	ZIELSTELLE	An die Zielstelle bringen.	YES
2	PROC055	AL	cheal	S2_CH	ZIELSTELLE	An die Zielstelle bringen.	YES
2	PROC055	AL	dal	S4_D_T	ZIELSTELLE	An die Zielstelle bringen.	YES
2	PROC055	AL	sal	S3_Q_SH	ZIELSTELLE	An die Zielstelle bringen.	YES
2	PROC055	AL	tal	S4_D_TO_T	ZIELSTELLE	An die Zielstelle bringen.	YES
3	PROC003	AR	char	S2_CH	QUELLE	Aus der Quelle nehmen.	YES
3	PROC003	AR	dar	S1_BARE|S4_D_T	QUELLE	Aus der Quelle nehmen.	YES
3	PROC003	AR	sar	S3_Q_SH	QUELLE	Aus der Quelle nehmen.	YES
4	PROC009	AIIN	aiin	S1_BARE	SOLLMASS	Nach Sollmaß arbeiten.	YES
4	PROC009	AIIN	chaiin	S2_CH	SOLLMASS	Nach Sollmaß arbeiten.	YES
4	PROC009	AIIN	daiin	S4_D_T	SOLLMASS	Nach Sollmaß arbeiten.	YES
4	PROC009	AIIN	saiin	S3_Q_SH	SOLLMASS	Nach Sollmaß arbeiten.	YES
4	PROC009	AIIN	taiin	S4_D_TO_T	SOLLMASS	Nach Sollmaß arbeiten.	YES
5	PROC013	OL	cheol	S2_CH	WEITER	Weiterarbeiten.	YES
5	PROC013	OL	chol	S2_CHE_TO_CH	WEITER	Weiterarbeiten.	YES
5	PROC013	OL	ol	S1_BARE	WEITER	Weiterarbeiten.	YES
5	PROC013	OL	qol	S3_Q_SH	WEITER	Weiterarbeiten.	YES
5	PROC013	OL	sol	S3_QSH_TO_S_BRANCH	WEITER	Weiterarbeiten.	YES
5	PROC013	OL	tol	S4_D_T	WEITER	Weiterarbeiten.	YES
6	PROC016	OR	chor	S2_CH	ANSATZ	Mit diesem Ansatz arbeiten.	YES
6	PROC016	OR	or	S1_BARE|S4_D_T	ANSATZ	Mit diesem Ansatz arbeiten.	YES
6	PROC016	OR	shor	S3_Q_SH	ANSATZ	Mit diesem Ansatz arbeiten.	YES
6	PROC016	OR	sor	S3_QSH_TO_S_BRANCH	ANSATZ	Mit diesem Ansatz arbeiten.	YES
7	PROC052	HO	cho	S1_BARE|S2_CH|S4_D_T	ZUTAT	Die Zutat nehmen.	YES
