event_id	statement_id	record_unit_id	register	page	event_position	surface	atomic_value_de	program_id	slot_rank	slot_code	microcycle	generation_action	owner	statement_end_after_event
E001	H1-S001	H1	HERBAL	f10r	1	dchey	Wurzelteil	P12_BESTAND_REFERENZIEREN	1	S1_BEZUG_FOLGE	1	OPEN_FIRST_CYCLE	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E002	H1-S001	H1	HERBAL	f10r	2	cthoor	Bereitansatz	P11_BEREITEN_SCHLIESSEN	6	S6_BEREIT_ABSCHLUSS	1	ADVANCE_WITH_SKIPPED_SLOTS_ALLOWED	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E003	H1-S001	H1	HERBAL	f10r	3	char	Quelle	P12_BESTAND_REFERENZIEREN	1	S1_BEZUG_FOLGE	2	RESET_TO_NEW_MICROCYCLE	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E004	H1-S001	H1	HERBAL	f10r	4	chty	Zerkleinern	P02_MATERIAL_GEBEN	2	S2_MATERIAL_MASS	2	ADVANCE_WITH_SKIPPED_SLOTS_ALLOWED	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E005	H1-S001	H1	HERBAL	f10r	5	os	Gefäß	P12_BESTAND_REFERENZIEREN	1	S1_BEZUG_FOLGE	3	RESET_TO_NEW_MICROCYCLE	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E006	H1-S001	H1	HERBAL	f10r	6	chair	Wasserzulauf	P08_DURCHLASSEN	3	S3_PROZESS_TRANSFER	3	ADVANCE_WITH_SKIPPED_SLOTS_ALLOWED	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E007	H1-S001	H1	HERBAL	f10r	7	otytchol	Folgeteilfortsetzung	P06_FORTSETZEN	1	S1_BEZUG_FOLGE	4	RESET_TO_NEW_MICROCYCLE	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E008	H1-S001	H1	HERBAL	f10r	8	oky	Einsetzen	P03_AM_ZIEL_EINSETZEN	5	S5_ZIEL_ANWENDUNG	4	ADVANCE_WITH_SKIPPED_SLOTS_ALLOWED	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E009	H1-S001	H1	HERBAL	f10r	9	daiin	Sollmaß	P01_DOSIEREN	2	S2_MATERIAL_MASS	5	RESET_TO_NEW_MICROCYCLE	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E010	H1-S001	H1	HERBAL	f10r	10	etyd	Kurzrest	P11_BEREITEN_SCHLIESSEN	6	S6_BEREIT_ABSCHLUSS	5	ADVANCE_WITH_SKIPPED_SLOTS_ALLOWED	Wurzel und übrige Teile der abgebildeten Pflanze	YES
E011	H1-S002	H1	HERBAL	f10r	1	qokchy	Einsetzen	P03_AM_ZIEL_EINSETZEN	5	S5_ZIEL_ANWENDUNG	1	OPEN_FIRST_CYCLE	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E012	H1-S002	H1	HERBAL	f10r	2	qotchol	Folgefortsetzung	P06_FORTSETZEN	1	S1_BEZUG_FOLGE	2	RESET_TO_NEW_MICROCYCLE	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E013	H1-S002	H1	HERBAL	f10r	3	chol	Fortsetzung	P06_FORTSETZEN	1	S1_BEZUG_FOLGE	2	REPEAT_CURRENT_SLOT	Wurzel und übrige Teile der abgebildeten Pflanze	NO
E014	H1-S002	H1	HERBAL	f10r	4	cthy	Bereit	P11_BEREITEN_SCHLIESSEN	6	S6_BEREIT_ABSCHLUSS	2	ADVANCE_WITH_SKIPPED_SLOTS_ALLOWED	Wurzel und übrige Teile der abgebildeten Pflanze	YES
E015	H2-S001	H2	HERBAL	f10r	1	ycheor	Auszugsansatz	P12_BESTAND_REFERENZIEREN	1	S1_BEZUG_FOLGE	1	OPEN_FIRST_CYCLE	zweiter Arbeitsartikel unter demselben Pflanzenbild	NO
E016	H2-S001	H2	HERBAL	f10r	2	cthy	Bereit	P11_BEREITEN_SCHLIESSEN	6	S6_BEREIT_ABSCHLUSS	1	ADVANCE_WITH_SKIPPED_SLOTS_ALLOWED	zweiter Arbeitsartikel unter demselben Pflanzenbild	NO
E017	H2-S001	H2	HERBAL	f10r	3	chor	Ansatz	P12_BESTAND_REFERENZIEREN	1	S1_BEZUG_FOLGE	2	RESET_TO_NEW_MICROCYCLE	zweiter Arbeitsartikel unter demselben Pflanzenbild	NO
