statement_id	record_unit_id	register	page	event_count	microcycle_count	slot_sequence	atomic_sequence	owner_sequence	generated_reading_de
H1-S001	H1	HERBAL	f10r	10	5	S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S2_MATERIAL_MASS → S6_BEREIT_ABSCHLUSS	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
H1-S002	H1	HERBAL	f10r	4	2	S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	Wurzel und übrige Teile der abgebildeten Pflanze	Setze den zurückbehaltenen Posten ein, führe ihn im folgenden Gang weiter und halte ihn bereit.
H2-S001	H2	HERBAL	f10r	9	4	S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	zweiter Arbeitsartikel unter demselben Pflanzenbild	Nimm den laufenden Auszugsansatz und halte ihn bereit. Stelle den Ansatz auf sein Sollmaß; führe den Folgeposten weiter und behalte dabei denselben Posten um die Maßangabe aktiv.
H2-S002	H2	HERBAL	f10r	8	2	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	zweiter Arbeitsartikel unter demselben Pflanzenbild	Eröffne den Folgeansatz, führe denselben Ansatz als Fortsetzungsansatz weiter und nimm das Sollmaß aus der bezeichneten Quelle.
H2-S003	H2	HERBAL	f10r	7	2	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	zweiter Arbeitsartikel unter demselben Pflanzenbild	Richte den Ansatz im Gefäß her, halte ihn als laufenden Posten aktiv, setze die gebundene Arbeitsstufe und füge die Zutat im Sollmaß hinzu.
H3-S001	H3	HERBAL	f11r	7	2	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	Blütenkraut der abgebildeten Pflanze	Bringe das Blütenkraut an die Arbeitsstelle, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Nimm nur den Klarauszug ab und schließe den Schritt.
H3-S002	H3	HERBAL	f11r	1	1	S1_BEZUG_FOLGE	Zutatfolgeteil	Blütenkraut der abgebildeten Pflanze	Halte einen weiteren Zutatteil für den folgenden Gang bereit.
H3-S003	H3	HERBAL	f11r	5	2	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	Blütenkraut der abgebildeten Pflanze	Nimm die Fortsetzung des vorigen Gangs, halte den aktuellen Posten gebunden und miss sein Sollmaß.
H3-S004	H3	HERBAL	f11r	4	2	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	Blütenkraut der abgebildeten Pflanze	Wechsle zum Folgeposten, setze die Fortsetzung ein und halte diesen Posten bereit.
H4-S001	H4	HERBAL	f55v	5	1	S2_MATERIAL_MASS → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss	Blattmaterial der abgebildeten Pflanze	Stelle das Sollmaß ein, prüfe es und teile den Posten in eine erste und eine zweite Portion. Nimm beide aus diesem Arbeitsschritt und schließe ihn.
