statement_id	record_unit_id	register	microcycle	slot_sequence	atomic_sequence	event_count
H1-S001	H1	HERBAL	1	S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	Wurzelteil → Bereitansatz	2
H1-S001	H1	HERBAL	2	S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Quelle → Zerkleinern	2
H1-S001	H1	HERBAL	3	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Gefäß → Wasserzulauf	2
H1-S001	H1	HERBAL	4	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Folgeteilfortsetzung → Einsetzen	2
H1-S001	H1	HERBAL	5	S2_MATERIAL_MASS → S6_BEREIT_ABSCHLUSS	Sollmaß → Kurzrest	2
H1-S002	H1	HERBAL	1	S5_ZIEL_ANWENDUNG	Einsetzen	1
H1-S002	H1	HERBAL	2	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	Folgefortsetzung → Fortsetzung → Bereit	3
H2-S001	H2	HERBAL	1	S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	Auszugsansatz → Bereit	2
H2-S001	H2	HERBAL	2	S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Ansatz → Bereitsollmaß	2
H2-S001	H2	HERBAL	3	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß	4
H2-S001	H2	HERBAL	4	S1_BEZUG_FOLGE	Diesposten	1
H2-S002	H2	HERBAL	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß	7
H2-S002	H2	HERBAL	2	S1_BEZUG_FOLGE	Quelle	1
H2-S003	H2	HERBAL	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe	5
H2-S003	H2	HERBAL	2	S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Diesposten → Zutatsollmaß	2
H3-S001	H3	HERBAL	1	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Blütenkraut → Zieleingabe	2
H3-S001	H3	HERBAL	2	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	5
H3-S002	H3	HERBAL	1	S1_BEZUG_FOLGE	Zutatfolgeteil	1
H3-S003	H3	HERBAL	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	Vorfortsetzung → Diesposten → Bindeposten	3
H3-S003	H3	HERBAL	2	S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Diesposten → Sollmaß	2
H3-S004	H3	HERBAL	1	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S6_BEREIT_ABSCHLUSS	Folgeposten → Fortsetzungseinsatz → Bereit	3
H3-S004	H3	HERBAL	2	S1_BEZUG_FOLGE	Diesposten	1
H4-S001	H4	HERBAL	1	S2_MATERIAL_MASS → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss	5
H4-S002	H4	HERBAL	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S6_BEREIT_ABSCHLUSS	Sollmaß → Umsetzen → Verwahren	3
H4-S003	H4	HERBAL	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	Postensollmaß → Auszugnahme → Langwärme	3
H4-S003	H4	HERBAL	2	S1_BEZUG_FOLGE	Fortschluss	1
H4-S004	H4	HERBAL	1	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Sollmaß → Zieleinsatz	2
H4-S004	H4	HERBAL	2	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	4
H5-S001	H5	HERBAL	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Zutatenansatz → Zutat → Zutatstelle	3
H5-S001	H5	HERBAL	2	S2_MATERIAL_MASS	Sollmaß	1
H5-S001	H5	HERBAL	3	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S5_ZIEL_ANWENDUNG	Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle	5
H5-S002	H5	HERBAL	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S6_BEREIT_ABSCHLUSS	Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss	4
H5-S003	H5	HERBAL	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	Pflanzenteil → Zutat → Kurzbindeposten	3
H5-S003	H5	HERBAL	2	S5_ZIEL_ANWENDUNG	Wiedereinsatz	1
H5-S004	H5	HERBAL	1	S5_ZIEL_ANWENDUNG	Einsetzen	1
