target_mask_id	candidate_id	policy_kind	policy_classes	target_occurrence_count	target_page_count	total_penalty	null_penalty	delta_vs_null	min_pairwise_rival_margin	resolved_null_orphan_count	resolved_orphan_page_count	minimum_leave_one_page_out_margin	position_margin_over_best_invariant	branch_coverage_pass	failed_gate_ids	eligible_policy_winner	penalty_counts	trigger_counts	fluency_credit	confirmed_lexeme
TM-H8R1	OLS_FINISHED_PRODUCT_COLATURA	INVARIANT	RESULT	3	3	0	23	23	8	5	3	0	NA	1	G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	{}	{}	0	0
TM-H8R1	OLS_STRAIN_OPERATION	INVARIANT	OPERATION	3	3	8	23	15	-8	3	3	-8	NA	1	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	"{""P04_ORPHAN_OR_SOURCELESS_RESULT"":2}"	"{""ORPHAN_FIELD_EDGE"":1,""ORPHAN_VALUE"":1}"	0	0
TM-H8R1	OLS_NOMINAL_PREPARATION	INVARIANT	NOMINAL	3	3	16	23	7	-16	1	1	-12	NA	1	G03_EVERY_RIVAL_MARGIN|G04_ORPHANS_REMOVED|G05_ORPHAN_PAGES|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	"{""P04_ORPHAN_OR_SOURCELESS_RESULT"":4}"	"{""ORPHAN_FIELD_EDGE"":1,""ORPHAN_PATIENT"":3}"	0	0
TM-H8R1	OLS_POSITIONAL_MEASURE_PRODUCT	POSITIONAL	MEASURE|RESULT	3	3	16	23	7	-16	1	1	-12	-16	0	G01_BRANCH_PAGE_COVERAGE|G03_EVERY_RIVAL_MARGIN|G04_ORPHANS_REMOVED|G05_ORPHAN_PAGES|G06_POSITIONAL_BEATS_INVARIANT|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	"{""P04_ORPHAN_OR_SOURCELESS_RESULT"":4}"	"{""ORPHAN_FIELD_EDGE"":1,""ORPHAN_PATIENT"":3}"	0	0
TM-H8R1	OLS_NULL	NULL	OPAQUE_NULL	3	3	23	23	0	-23	0	0	-18	NA	1	NONE	0	"{""P01_UNRESOLVED_TARGET"":3,""P04_ORPHAN_OR_SOURCELESS_RESULT"":5}"	"{""ORPHAN_FIELD_EDGE"":1,""ORPHAN_PATIENT"":3,""ORPHAN_VALUE"":1,""UNRESOLVED_TARGET"":3}"	0	0
TM-N5K6	OTAR_NOMINAL_TRANSITION_PREPARATION	INVARIANT	NOMINAL	5	5	16	41	25	2	5	3	-7	NA	1	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	"{""P04_ORPHAN_OR_SOURCELESS_RESULT"":4}"	"{""ORPHAN_FIELD_EDGE"":2,""ORPHAN_PATIENT"":1,""ORPHAN_RESULT"":1}"	0	0
TM-N5K6	OTAR_GENERAL_SEQUENCE	INVARIANT	LINKER	5	5	18	41	23	-2	7	3	-10	NA	1	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	"{""P04_ORPHAN_OR_SOURCELESS_RESULT"":2,""P05_MISSING_REQUIRED_VALENCY"":2}"	"{""ONE_SIDED_LINKER"":2,""ORPHAN_PATIENT"":1,""ORPHAN_VALUE"":1}"	0	0
TM-N5K6	OTAR_NULL	NULL	OPAQUE_NULL	5	5	41	41	0	-25	0	0	-27	NA	1	NONE	0	"{""P01_UNRESOLVED_TARGET"":5,""P04_ORPHAN_OR_SOURCELESS_RESULT"":9}"	"{""ORPHAN_AMOUNT"":1,""ORPHAN_FIELD_EDGE"":3,""ORPHAN_PATIENT"":1,""ORPHAN_RESULT"":2,""ORPHAN_VALUE"":2,""UNRESOLVED_TARGET"":5}"	0	0
TM-N5K6	OTAR_ENDPOINT_UNTIL	INVARIANT	ENDPOINT	5	5	52	41	-11	-36	2	1	-40	NA	0	G01_BRANCH_PAGE_COVERAGE|G02_NULL_MARGIN|G03_EVERY_RIVAL_MARGIN|G05_ORPHAN_PAGES|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	"{""P04_ORPHAN_OR_SOURCELESS_RESULT"":7,""P06_ILLEGAL_BRANCH_OR_BAD_ENDPOINT"":4}"	"{""BAD_ENDPOINT"":4,""ORPHAN_AMOUNT"":1,""ORPHAN_FIELD_EDGE"":2,""ORPHAN_PATIENT"":1,""ORPHAN_RESULT"":1,""ORPHAN_VALUE"":2}"	0	0
TM-Q7M2	OL_POSITIONAL_RELATOR	POSITIONAL	LINKER	5	4	19	41	22	9	6	4	5	9	0	G01_BRANCH_PAGE_COVERAGE	0	"{""P01_UNRESOLVED_TARGET"":1,""P04_ORPHAN_OR_SOURCELESS_RESULT"":3,""P06_ILLEGAL_BRANCH_OR_BAD_ENDPOINT"":1}"	"{""ILLEGAL_BRANCH"":1,""ORPHAN_PATIENT"":3,""UNRESOLVED_TARGET"":1}"	0	0
