edge_id	occurrence_id	cohort_id	locus	page	target_mask_id	target_ordinal	side	edge_type	neighbor_node_id	neighbor_roles	null_penalty	target_derived
G770-L001:O04:LEFT:PATIENT	G770-L001:T04:TM-V4C9	G770-L001	f32r.2	f32r	TM-V4C9	4	LEFT	PATIENT	G770-L001:T03	FIELD|MATERIAL|PATIENT	4	0
G770-L001:O04:RIGHT:PATIENT	G770-L001:T04:TM-V4C9	G770-L001	f32r.2	f32r	TM-V4C9	4	RIGHT	PATIENT	G770-L001:T05	FIELD|MATERIAL|PATIENT	4	0
G770-L001:O04:BOTH:FIELD_EDGE	G770-L001:T04:TM-V4C9	G770-L001	f32r.2	f32r	TM-V4C9	4	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L002:O03:LEFT:VALUE	G770-L002:T03:TM-V4C9	G770-L002	f10v.2	f10v	TM-V4C9	3	LEFT	VALUE	G770-L002:T02	FIELD|VALUE	4	0
G770-L002:O03:RIGHT:PATIENT	G770-L002:T03:TM-V4C9	G770-L002	f10v.2	f10v	TM-V4C9	3	RIGHT	PATIENT	G770-L002:T04	FIELD|MATERIAL|PATIENT	4	0
G770-L002:O03:BOTH:FIELD_EDGE	G770-L002:T03:TM-V4C9	G770-L002	f10v.2	f10v	TM-V4C9	3	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L003:O07:LEFT:PATIENT	G770-L003:T07:TM-H8R1	G770-L003	f83v.22	f83v	TM-H8R1	7	LEFT	PATIENT	G770-L003:T06	FIELD|MATERIAL|PATIENT	4	0
G770-L004:O11:LEFT:PATIENT	G770-L004:T11:TM-H8R1	G770-L004	f104v.19	f104v	TM-H8R1	11	LEFT	PATIENT	G770-L004:T10	FIELD|MATERIAL|PATIENT	4	0
G770-L004:O11:RIGHT:VALUE	G770-L004:T11:TM-H8R1	G770-L004	f104v.19	f104v	TM-H8R1	11	RIGHT	VALUE	G770-SPAN-X4P7	FIELD|VALUE	4	0
G770-L004:O11:BOTH:FIELD_EDGE	G770-L004:T11:TM-H8R1	G770-L004	f104v.19	f104v	TM-H8R1	11	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
