occurrence_id	cohort_id	locus	page	ordinal	target_mask_id	surface_provenance_only	line_final	medial	left_node_id	left_roles	right_node_id	right_roles	predicate_only_close_independent	null_orphan_count	null_orphan_types	target_surface_visible_to_scorer	old_target_semantic_credit
G770-L001:T04:TM-V4C9	G770-L001	f32r.2	f32r	4	TM-V4C9	ckhy	0	1	G770-L001:T03	FIELD|MATERIAL|PATIENT	G770-L001:T05	FIELD|MATERIAL|PATIENT	0	3	PATIENT|PATIENT|FIELD_EDGE	0	0
G770-L002:T03:TM-V4C9	G770-L002	f10v.2	f10v	3	TM-V4C9	ckhy	0	1	G770-L002:T02	FIELD|VALUE	G770-L002:T04	FIELD|MATERIAL|PATIENT	0	3	VALUE|PATIENT|FIELD_EDGE	0	0
G770-L003:T07:TM-H8R1	G770-L003	f83v.22	f83v	7	TM-H8R1	ols	1	0	G770-L003:T06	FIELD|MATERIAL|PATIENT	NONE	NONE	0	1	PATIENT	0	0
G770-L004:T11:TM-H8R1	G770-L004	f104v.19	f104v	11	TM-H8R1	ols	0	1	G770-L004:T10	FIELD|MATERIAL|PATIENT	G770-SPAN-X4P7	FIELD|VALUE	0	3	PATIENT|VALUE|FIELD_EDGE	0	0
G770-L005:T10:TM-N5K6	G770-L005	f86v5.13	f86v5	10	TM-N5K6	otar	0	1	G759-S0101	AMOUNT|VALUE	G770-L005:T11	FIELD|VALUE	0	3	AMOUNT|VALUE|FIELD_EDGE	0	0
G770-L006:T06:TM-N5K6	G770-L006	f75r.43	f75r	6	TM-N5K6	otar	0	1	G770-L006:T05	FIELD|MATERIAL|PATIENT	G770-L006:T07	CLOSE|ENDPOINT|FIELD|PRODUCT|RESULT	0	3	PATIENT|RESULT|FIELD_EDGE	0	0
G770-L007:T04:TM-N5K6	G770-L007	f115v.5	f115v	4	TM-N5K6	otar	0	1	G770-L007:T03	ENDPOINT|FIELD	G770-L007:T05	FIELD|PROCESS	0	2	RESULT|FIELD_EDGE	0	0
G770-L008:T09:TM-Q7M2	G770-L008	f58r.13	f58r	9	TM-Q7M2	ol	0	1	G770-L008:T08	FIELD	G770-L008:T10	FIELD|PROCESS	0	1	FIELD_EDGE	0	0
G770-L009:T02:TM-Q7M2	G770-L009	f3r.19	f3r	2	TM-Q7M2	ol	0	1	G770-L009:T01	FIELD|MATERIAL|PATIENT|PREPARATION	G770-L009:T03	FIELD|MATERIAL|PATIENT	0	3	PATIENT|PATIENT|FIELD_EDGE	0	0
G770-L010:T06:TM-V4C9	G770-L010	f17v.5	f17v	6	TM-V4C9	ckhy	1	0	G770-L010:T05	FIELD|MATERIAL|PATIENT	NONE	NONE	0	1	PATIENT	0	0
G770-L011:T05:TM-V4C9	G770-L011	f24r.3	f24r	5	TM-V4C9	ckhy	1	0	G770-L011:T04	FIELD	NONE	NONE	0	0	NONE	0	0
G770-L012:T02:TM-Q7M2	G770-L012	f55v.10	f55v	2	TM-Q7M2	ol	0	1	G770-L012:T01	FIELD|MATERIAL|PREPARATION	G759-S0085	AMOUNT	0	2	AMOUNT|FIELD_EDGE	0	0
G770-L012:T08:TM-N5K6	G770-L012	f55v.10	f55v	8	TM-N5K6	otar	0	1	G770-L012:T07	ENDPOINT|FIELD|VALUE	NONE	NONE	0	1	VALUE	0	0
G770-L012:T12:TM-Q7M2	G770-L012	f55v.10	f55v	12	TM-Q7M2	ol	1	0	G770-L012:T11	FIELD|MATERIAL|PATIENT	NONE	NONE	0	1	PATIENT	0	0
G770-L013:T02:TM-Q7M2	G770-L013	f78r.37	f78r	2	TM-Q7M2	ol	0	1	G770-L013:T01	FIELD|MATERIAL|PREPARATION	G759-S0091	AMOUNT	0	2	AMOUNT|FIELD_EDGE	0	0
G770-L014:T08:TM-H8R1	G770-L014	f15v.7	f15v	8	TM-H8R1	ols	1	0	G770-L014:T07	FIELD|MATERIAL|PATIENT	NONE	NONE	0	1	PATIENT	0	0
G770-L015:T07:TM-N5K6	G770-L015	f46v.2	f46v	7	TM-N5K6	otar	0	1	NONE	NONE	G770-L015:T08	FIELD	0	0	NONE	0	0
