cohort_id	locus	page	token_count	practical_unit_count	manuscript_line	simultaneously_masked_line	target_count	target_dispatches	practical_units_de	concrete_working_reader_de	every_token_consumed_once	formal_translation_claim
G770-L001	f32r.2	f32r	7	7	okor okchor sheor ckhy dal dshodar qotchol	okor okchor sheor [TM-V4C9] dal dshodar qotchol	1	4:ckhy=mischen<CKHY_INVARIANT_MIX_OPERATION:RAW_LEAD_LOCAL_MINIMUM:support-A>	erhitzte Drogenportion | heiß-trockene Drogenportion | feuchter Drogenteil | mischen | Rohstoffposten I | abgemessene Einweichfraktion I | kalt-trockene Droge	erhitzte Drogenportion; heiß-trockene Drogenportion; feuchter Drogenteil; mischen; Rohstoffposten I; abgemessene Einweichfraktion I; kalt-trockene Droge.	1	0
G770-L002	f10v.2	f10v	9	9	dain daiin ckhy chcthor choiin qot chodaiin cthy daiin	dain daiin [TM-V4C9] chcthor choiin qot chodaiin cthy daiin	1	3:ckhy=[Aufguss oder Abkochung oder Mischung oder mischen?]<CKHY_INFUSION_DECOCTION_NOUN|CKHY_INVARIANT_MIXTURE_NOUN|CKHY_INVARIANT_MIX_OPERATION|CKHY_POSITIONAL_MIX_DISPATCH:TIED_LOCAL_MINIMUM:support-B>	Wert II | Wert III | [Aufguss oder Abkochung oder Mischung oder mischen?] | Portion getrockneter Krautdroge | Trockenform III | Abkühlstufe | trockene Zubereitung mit Wert III | Blattgut | Wert III	Wert II; Wert III; [Aufguss oder Abkochung oder Mischung oder mischen?]; Portion getrockneter Krautdroge; Trockenform III; Abkühlstufe; trockene Zubereitung mit Wert III; Blattgut; Wert III.	1	0
G770-L003	f83v.22	f83v	7	7	char qokar cheolkain shckhey qokal cheor ols	char qokar cheolkain shckhey qokal cheor [TM-H8R1]	1	7:ols=[fertige Zubereitung oder abseihen?]<OLS_FINISHED_PRODUCT_COLATURA|OLS_STRAIN_OPERATION:TIED_LOCAL_MINIMUM:support-B>	trockener Anteil I | erhitzter Anteil I | erhitztes Trockengut Stufe II | feuchtes Kompositum, Mittelstufe | heißer Stoffposten I | Trockenform | [fertige Zubereitung oder abseihen?]	trockener Anteil I; erhitzter Anteil I; erhitztes Trockengut Stufe II; feuchtes Kompositum, Mittelstufe; heißer Stoffposten I; Trockenform; [fertige Zubereitung oder abseihen?].	1	0
G770-L004	f104v.19	f104v	13	12	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor ols aiin chekal	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor [TM-H8R1] aiin chekal	1	11:ols=fertige Zubereitung, Wert III<OLS_FINISHED_PRODUCT_COLATURA:RAW_LEAD_LOCAL_MINIMUM:support-A>	Trockenposten | trocken | trockengebundener Inhaltskopf | Trocken-Endposten | kaltes Material | Feucht-Endstufe | heiß-trockene Anfangsstufe | Kaltzustand | Feuchtansatz | benannter Drogenposten | fertige Zubereitung, Wert III | trocken-heißes Rohstofffeld I	Trockenposten; trocken; trockengebundener Inhaltskopf; Trocken-Endposten; kaltes Material; Feucht-Endstufe; heiß-trockene Anfangsstufe; Kaltzustand; Feuchtansatz; benannter Drogenposten; fertige Zubereitung, Wert III; trocken-heißes Rohstofffeld I.	1	0
G770-L005	f86v5.13	f86v5	11	10	daiin shar otam ytaiin otal teody cthy or aiin otar aiiin	daiin shar otam ytaiin otal teody cthy or aiin [TM-N5K6] aiiin	1	10:otar=[dann oder Zwischenzubereitung?]<OTAR_GENERAL_SEQUENCE|OTAR_NOMINAL_TRANSITION_PREPARATION:TIED_LOCAL_MINIMUM:support-A>	Wert III | angefeuchtete Fraktion I | Maß Kaltansatz I | Kaltposten III | kalter Rohstoffposten I | abgekühlter Endansatz | Blattgut | drei Portionen | [dann oder Zwischenzubereitung?] | Wert IV	Wert III; angefeuchtete Fraktion I; Maß Kaltansatz I; Kaltposten III; kalter Rohstoffposten I; abgekühlter Endansatz; Blattgut; drei Portionen; [dann oder Zwischenzubereitung?]; Wert IV.	1	0
G770-L006	f75r.43	f75r	7	7	yshedy chekar oldy qokain chkar otar oldy	yshedy chekar oldy qokain chkar [TM-N5K6] oldy	1	6:otar=[bis oder dann?]<OTAR_ENDPOINT_UNTIL|OTAR_GENERAL_SEQUENCE:TIED_LOCAL_MINIMUM:support-A>	Mazerations-Endzustand | Zwischenzubereitung | fertiger Auszug | Hitzestufe II | heiß-trockene Fraktion I | [bis oder dann?] | fertiger Auszug	Mazerations-Endzustand; Zwischenzubereitung; fertiger Auszug; Hitzestufe II; heiß-trockene Fraktion I; [bis oder dann?]; fertiger Auszug.	1	0
G770-L007	f115v.5	f115v	6	6	dair cheky qoteey otar chl oleed	dair cheky qoteey [TM-N5K6] chl oleed	1	4:otar=dann<OTAR_GENERAL_SEQUENCE:LOCAL_LEGAL_FALLBACK:support-A>	Anteil II | getrocknete, leicht erhitzte Zubereitung | Kälte-Endstufe | dann | Trocknen | abgeschlossene Endzubereitung	Anteil II; getrocknete, leicht erhitzte Zubereitung; Kälte-Endstufe; dann; Trocknen; abgeschlossene Endzubereitung.	1	0
G770-L008	f58r.13	f58r	10	10	ytar sheear cheoldy ykeol cheal cheody chal chaiin ol oly	ytar sheear cheoldy ykeol cheal cheody chal chaiin [TM-Q7M2] oly	1	9:ol=und<OL_POSITIONAL_RELATOR:RAW_LEAD_LOCAL_MINIMUM:support-A>	gekühlte Fraktion I | Zubereitungszusatz | getrockneter Endauszug | Zwischenansatz | Trockenstoff I, Mittelstufe | getrocknete Masse | Trockenstoff I, Anfangsstufe | Trockenstufe III | und | Abseihen	gekühlte Fraktion I; Zubereitungszusatz; getrockneter Endauszug; Zwischenansatz; Trockenstoff I, Mittelstufe; getrocknete Masse; Trockenstoff I, Anfangsstufe; Trockenstufe III; und; Abseihen.	1	0
G770-L009	f3r.19	f3r	9	9	otchor ol cheor qoeor dair qoteol qosaiin chor cthy	otchor [TM-Q7M2] cheor qoeor dair qoteol qosaiin chor cthy	1	2:ol=und<OL_POSITIONAL_RELATOR:RAW_LEAD_LOCAL_MINIMUM:support-A>	kalt-trockene Portion | und | Trockenform | Zubereitungsportion | Anteil II | Kaltzubereitung | Dosis III | Blütenstand | Blattgut	kalt-trockene Portion; und; Trockenform; Zubereitungsportion; Anteil II; Kaltzubereitung; Dosis III; Blütenstand; Blattgut.	1	0
G770-L010	f17v.5	f17v	6	6	ychol chol dolcheey tchol dar ckhy	ychol chol dolcheey tchol dar [TM-V4C9]	1	6:ckhy=[mischen?]<CKHY_INVARIANT_MIX_OPERATION|CKHY_POSITIONAL_MIX_DISPATCH:TIED_LOCAL_MINIMUM:support-B>	trockne hiervon den Drogenstoff | trocken; nominal trockenes Gut/Material | Drogenstoff abmessen, vollständig trocknen und abschließen | kalt-trockenes Drogenmaterial | abgemessene Fraktion I | [mischen?]	trockne hiervon den Drogenstoff; trocken; nominal trockenes Gut/Material; Drogenstoff abmessen, vollständig trocknen und abschließen; kalt-trockenes Drogenmaterial; abgemessene Fraktion I; [mischen?].	1	0
