page	locus	array_id	source_visual_detail	source_provenance	source_id	source_relation_state
f100r	f100r.9	f100r:L2	"""plant <f100r>[2,4] - """"closed umbrella"""" leaf? East of plant <f100r>[2,4], at ground level. Kluge's 23A. <f100r.L2.4;K> from photo in Brumbaugh. <f100r.L2.4;P> from Petersen, reported by K. Kluge"""	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	PROXIMITY_ONLY
f100r	f100r.17	f100r:C2	There is no trace of label on the container itself. Since the two plants <f100r>[3,1] and <f100r>[3,2] seem to have their own labels, <f100r.L3.1> and <f100r.L3.2b>, we have assumed that the word above and between them is associated with the container. Between plants <f100r>[3,1] and <f100r>[3,2], at top. Kluge's 27A.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	REL_EXPLICIT_ATTACHMENT
f100r	f100r.3	f100r:L1	plant <f100r>[1,2] - arrow shaped leaves, on left side of stem only Label above plant <f100r>[1,3]. Kluge's 17A. Perhaps associated with plant <f100r>[1,2].	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	PROXIMITY_ONLY
f100r	f100r.5	f100r:L1	plant <f100r>[1,4] - rectangular leaves Label above plant <f100r>[1,5], astride leaf of plant. Kluge's 19A. Perhaps the left half is associated with plant <f100r>[1,4].	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	PROXIMITY_ONLY
f100r	f100r.10	f100r:L2	plant <f100r>[2,5] - leaves. East of plant <f100r>[2,5]. Kluge's 24A. &K; = ??? (used by T. Takahashi) &CK; = @C ligd to platf gallows @K not ligd to next glyph. &CT; = @C ligd to platf gallows @T not ligd to next glyph. Last word actually touches outline of plant <f100r>[2,6].	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	REL_OVERLAP_OR_CONTACT
f100r	f100r.6	f100r:L2	There are 6 plants and 6 labels. The pairing seems clear, but first and last labels are above the plant, the remaining ones at lower right. Above plant <f100r>[2,1]. Kluge's 20A. <f100r.L2.1;C> from photo in Brumbaugh. <f100r.L2.1;P> from Petersen, reported by K. Kluge	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	PROXIMITY_ONLY
f100r	f100r.4	f100r:L1	plant <f100r>[1,3] - triangular finely serrated leaves Label above plant <f100r>[1,4], perhaps associated with plant <f100r>[1,3] Kluge's 18A.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	PROXIMITY_ONLY
f100r	f100r.7	f100r:L2	plant <f100r>[2,1] - leaves with eyes plant <f100r>[2,2] - leaves on left side of stem only East of plant <f100r>[2,2], below leaves. Kluge's 21A.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	PROXIMITY_ONLY
f100r	f100r.1	f100r:C1	This label is actually above plant <f100r>[1,1], but since there are 6 labels on that row, we assume that the first one belongs to the container. Kluge's 15A in <f100r>.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	REL_EXPLICIT_ATTACHMENT
f100r	f100r.11	f100r:L2	plant <f100r>[2,6] - huge drooping leaves, leg-shaped roots Above plant <f100r>[2,6]. No Kluge's reading in interlin16.evt? The word may have been mistraced from @'ofam'.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	PROXIMITY_ONLY
f100r	f100r.8	f100r:L2	plant <f100r>[2,3] - leaf(?) with white teeth East of plant <f100r>[2,3], near root tip. Kluge's 22A in <f100r>.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	PROXIMITY_ONLY
f100r	f100r.2	f100r:L1	There is no label on the container. There are 5 plants and 6 label words near them. Although the first 4 labels are directly above the first 4 plants, it seems likely that the first label is associated with the container at left, and the next three labels are displaced by 1 plant. plant <f100r>[1,1] - bulb-like leaves? Label above plant <f100r>[1,2]. Kluge's 16A. Perhaps associated with plant <f100r>[1,1].	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	REL_EXPLICIT_ATTACHMENT
