model	edition	scope	definite_slots	unknown_slots	definite_types	source_tuple_types	maximum_matching_size	status
T3	ZL3b	DISCOVERY	56	4	54	189	52	CONTRADICTED
T3	ZL3b	ADDITIONAL	178	32	154	189	144	CONTRADICTED
T3	ZL3b	JOINT_NINE	234	36	204	189	176	CONTRADICTED
T3	ZL3b	ALL_TEN	257	43	224	189	187	CONTRADICTED
T3	IT2a	DISCOVERY	60	0	59	189	55	CONTRADICTED
T3	IT2a	ADDITIONAL	205	5	184	189	160	CONTRADICTED
T3	IT2a	JOINT_NINE	265	5	238	189	177	CONTRADICTED
T3	IT2a	ALL_TEN	295	5	266	189	189	CONTRADICTED
T3	RF1b	DISCOVERY	48	12	47	189	46	CONTRADICTED
T3	RF1b	ADDITIONAL	163	47	147	189	139	CONTRADICTED
T3	RF1b	JOINT_NINE	211	59	190	189	170	CONTRADICTED
T3	RF1b	ALL_TEN	232	68	208	189	186	CONTRADICTED
T4	ZL3b	DISCOVERY	56	4	54	272	52	CONTRADICTED
T4	ZL3b	ADDITIONAL	178	32	154	272	139	CONTRADICTED
T4	ZL3b	JOINT_NINE	234	36	204	272	180	CONTRADICTED
T4	ZL3b	ALL_TEN	257	43	224	272	198	CONTRADICTED
T4	IT2a	DISCOVERY	60	0	59	272	55	CONTRADICTED
T4	IT2a	ADDITIONAL	205	5	184	272	171	CONTRADICTED
T4	IT2a	JOINT_NINE	265	5	238	272	215	CONTRADICTED
T4	IT2a	ALL_TEN	295	5	266	272	241	CONTRADICTED
T4	RF1b	DISCOVERY	48	12	47	272	46	CONTRADICTED
T4	RF1b	ADDITIONAL	163	47	147	272	136	CONTRADICTED
T4	RF1b	JOINT_NINE	211	59	190	272	177	CONTRADICTED
T4	RF1b	ALL_TEN	232	68	208	272	192	CONTRADICTED
