edition	sign	definite_slots	definite_types	unknown_slots	T3_source_types	T4_source_types	observed_repeats
ZL3b	ARIES	30	30	0	29	29	[]
ZL3b	TAURUS	23	23	7	29	29	[]
ZL3b	GEMINI	27	25	3	30	30	"[{""groups"":[""okal""],""count"":2},{""groups"":[""okaly""],""count"":2}]"
ZL3b	CANCER	23	23	7	30	30	[]
ZL3b	LEO	24	23	6	30	30	"[{""groups"":[""okaly""],""count"":2}]"
ZL3b	VIRGO	22	22	8	30	30	[]
ZL3b	LIBRA	27	27	3	30	30	[]
ZL3b	SCORPIUS	28	27	2	29	29	"[{""groups"":[""otaly""],""count"":2}]"
ZL3b	SAGITTARIUS	27	25	3	27	27	"[{""groups"":[""oteody""],""count"":2},{""groups"":[""ykey""],""count"":2}]"
ZL3b	PISCES	26	26	4	26	26	[]
IT2a	ARIES	30	30	0	29	29	[]
IT2a	TAURUS	30	30	0	29	29	[]
IT2a	GEMINI	29	27	1	30	30	"[{""groups"":[""okal""],""count"":2},{""groups"":[""okaly""],""count"":2}]"
IT2a	CANCER	30	30	0	30	30	[]
IT2a	LEO	28	28	2	30	30	[]
IT2a	VIRGO	29	29	1	30	30	[]
IT2a	LIBRA	30	30	0	30	30	[]
IT2a	SCORPIUS	29	28	1	29	29	"[{""groups"":[""okeos""],""count"":2}]"
IT2a	SAGITTARIUS	30	27	0	27	27	"[{""groups"":[""okeody""],""count"":2},{""groups"":[""oteody""],""count"":2},{""groups"":[""ykey""],""count"":2}]"
IT2a	PISCES	30	30	0	26	26	[]
RF1b	ARIES	25	25	5	29	29	[]
RF1b	TAURUS	21	21	9	29	29	[]
RF1b	GEMINI	26	24	4	30	30	"[{""groups"":[""okal""],""count"":2},{""groups"":[""okaly""],""count"":2}]"
RF1b	CANCER	25	25	5	30	30	[]
RF1b	LEO	26	26	4	30	30	[]
RF1b	VIRGO	24	23	6	30	30	"[{""groups"":[""cheoldy""],""count"":2}]"
RF1b	LIBRA	22	22	8	30	30	[]
RF1b	SCORPIUS	21	20	9	29	29	"[{""groups"":[""otaly""],""count"":2}]"
RF1b	SAGITTARIUS	19	17	11	27	27	"[{""groups"":[""okal""],""count"":2},{""groups"":[""ykey""],""count"":2}]"
RF1b	PISCES	23	23	7	26	26	[]
