model	edition	scope	definite_slots	unknown_slots	definite_types	maximum_matching_size	status	hall_labels	hall_tuple_neighbors	hall_deficiency	surviving_complete_assignments	confirmed_words	fresh_independent_meaning_capacity
T3	ZL3b	DISCOVERY	56	4	54	52	CONTRADICTED	2	0	2	0	0	0
T3	ZL3b	ADDITIONAL	178	32	154	144	CONTRADICTED	10	0	10	0	0	0
T3	ZL3b	JOINT_NINE	234	36	204	176	CONTRADICTED	166	138	28	0	0	0
T3	ZL3b	ALL_TEN	257	43	224	187	CONTRADICTED	208	171	37	0	0	0
T3	IT2a	DISCOVERY	60	0	59	55	CONTRADICTED	30	26	4	0	0	0
T3	IT2a	ADDITIONAL	205	5	184	160	CONTRADICTED	163	139	24	0	0	0
T3	IT2a	JOINT_NINE	265	5	238	177	CONTRADICTED	238	177	61	0	0	0
T3	IT2a	ALL_TEN	295	5	266	189	CONTRADICTED	248	171	77	0	0	0
T3	RF1b	DISCOVERY	48	12	47	46	CONTRADICTED	1	0	1	0	0	0
T3	RF1b	ADDITIONAL	163	47	147	139	CONTRADICTED	8	0	8	0	0	0
T3	RF1b	JOINT_NINE	211	59	190	170	CONTRADICTED	176	156	20	0	0	0
T3	RF1b	ALL_TEN	232	68	208	186	CONTRADICTED	176	154	22	0	0	0
T4	ZL3b	DISCOVERY	56	4	54	52	CONTRADICTED	2	0	2	0	0	0
T4	ZL3b	ADDITIONAL	178	32	154	139	CONTRADICTED	15	0	15	0	0	0
T4	ZL3b	JOINT_NINE	234	36	204	180	CONTRADICTED	66	42	24	0	0	0
T4	ZL3b	ALL_TEN	257	43	224	198	CONTRADICTED	68	42	26	0	0	0
T4	IT2a	DISCOVERY	60	0	59	55	CONTRADICTED	30	26	4	0	0	0
T4	IT2a	ADDITIONAL	205	5	184	171	CONTRADICTED	13	0	13	0	0	0
T4	IT2a	JOINT_NINE	265	5	238	215	CONTRADICTED	65	42	23	0	0	0
T4	IT2a	ALL_TEN	295	5	266	241	CONTRADICTED	67	42	25	0	0	0
T4	RF1b	DISCOVERY	48	12	47	46	CONTRADICTED	1	0	1	0	0	0
T4	RF1b	ADDITIONAL	163	47	147	136	CONTRADICTED	11	0	11	0	0	0
T4	RF1b	JOINT_NINE	211	59	190	177	CONTRADICTED	13	0	13	0	0	0
T4	RF1b	ALL_TEN	232	68	208	192	CONTRADICTED	16	0	16	0	0	0
