primary_mode	macro_id	statement_count
SERVICE_FACING_NO_HUMAN_OWNER	COMPOSITE_STATION_SEQUENCE	3
SERVICE_FACING_NO_HUMAN_OWNER	DRAIN_RECEIVE_CELL	1
SERVICE_FACING_NO_HUMAN_OWNER	FILTER_PASS_CELL	1
SERVICE_FACING_NO_HUMAN_OWNER	TEMPER_HOLD_CELL	3
SERVICE_FACING_NO_HUMAN_OWNER	TRANSFER_SET_CELL	2
TREATMENT_FACING_VISIBLE_HUMAN_OWNER	APPLICATION_FASTEN_CELL	1
TREATMENT_FACING_VISIBLE_HUMAN_OWNER	COMPOSITE_STATION_SEQUENCE	24
TREATMENT_FACING_VISIBLE_HUMAN_OWNER	DRAIN_RECEIVE_CELL	12
TREATMENT_FACING_VISIBLE_HUMAN_OWNER	FILTER_PASS_CELL	5
TREATMENT_FACING_VISIBLE_HUMAN_OWNER	MEASURED_CHARGE_CELL	3
TREATMENT_FACING_VISIBLE_HUMAN_OWNER	TEMPER_HOLD_CELL	29
TREATMENT_FACING_VISIBLE_HUMAN_OWNER	TRANSFER_SET_CELL	11
TREATMENT_FACING_VISIBLE_HUMAN_OWNER	WASH_CELL	2
