edition	model	grammar	sho_mentions	bound_sho	missing_sho	typed_commands	typed_bound	binary_self_relations	actions_with_missing_reference	actions_with_changed_reference	row_status
ZL3b	E	B	5	5	0	3	0	0	0	0	recorded
ZL3b	E	J	5	5	0	3	0	0	0	0	recorded
ZL3b	E	M	5	5	0	3	0	0	0	0	recorded
ZL3b	P	B	5	3	2	3	2	0	1	4	recorded
ZL3b	P	J	5	3	2	3	2	0	1	4	recorded
ZL3b	P	M	5	3	2	3	2	0	1	4	recorded
ZL3b	R	B	5	3	2	3	1	0	1	4	recorded
ZL3b	R	J	5	3	2	3	1	0	1	4	recorded
ZL3b	R	M	5	3	2	3	1	0	1	4	recorded
IT2a	E	B	5	5	0	3	0	0	0	0	recorded
IT2a	E	J	5	5	0	3	0	0	0	0	recorded
IT2a	E	M	5	5	0	3	0	0	0	0	recorded
IT2a	P	B	5	3	2	3	2	0	1	4	recorded
IT2a	P	J	5	3	2	3	2	0	1	4	recorded
IT2a	P	M	5	3	2	3	2	0	1	4	recorded
IT2a	R	B	5	3	2	3	1	0	1	4	recorded
IT2a	R	J	5	3	2	3	1	0	1	4	recorded
IT2a	R	M	5	3	2	3	1	0	1	4	recorded
RF1b	E	B	5	5	0	3	0	0	0	0	recorded
RF1b	E	J	5	5	0	3	0	0	0	0	recorded
RF1b	E	M	5	5	0	3	0	0	0	0	recorded
RF1b	P	B	5	3	2	3	2	0	1	4	recorded
RF1b	P	J	5	3	2	3	2	0	1	4	recorded
RF1b	P	M	5	3	2	3	2	0	1	4	recorded
RF1b	R	B	5	3	2	3	1	0	1	4	recorded
RF1b	R	J	5	3	2	3	1	0	1	4	recorded
RF1b	R	M	5	3	2	3	1	0	1	4	recorded
