edition	paragraph	grammar	model	operation	form	meaning	patient	patient_form	second	object	object_form	second_object	reference_changed	old_debts	remaining_non_type_debts	type_status	binary_self_relation	missing_reference	row_status
ZL3b	f6v|f6v.6-f6v.21	B	E	f6v.7:1	ychos	zerkleinere	f6v.6:2	shocthol		f6v.6:2	shocthol		False	UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	P	f6v.7:1	ychos	zerkleinere	f6v.6:2	shocthol		f6v.6:2	shocthol		False	UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	R	f6v.7:1	ychos	zerkleinere	f6v.6:2	shocthol		f6v.6:2	shocthol		False	UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	E	f6v.7:2	ychol	trockne	f6v.7:4	cthol		f6v.7:4	cthol		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	P	f6v.7:2	ychol	trockne	f6v.7:4	cthol		f6v.7:4	cthol		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	R	f6v.7:2	ychol	trockne	f6v.7:4	cthol		f6v.7:4	cthol		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	E	f6v.8:3	okchey	zerstoße fein	f6v.8:2	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	P	f6v.8:3	okchey	zerstoße fein	f6v.8:2	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	R	f6v.8:3	okchey	zerstoße fein	f6v.8:2	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	E	f6v.8:4	qokom	erwärme portionsweise	f6v.8:2	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	P	f6v.8:4	qokom	erwärme portionsweise	f6v.8:2	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	R	f6v.8:4	qokom	erwärme portionsweise	f6v.8:2	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	E	f6v.9:1	oeeo	miss ab	f6v.9:3	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	P	f6v.9:1	oeeo	miss ab	f6v.9:3	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	R	f6v.9:1	oeeo	miss ab	f6v.9:3	chor		f6v.8:2	chor		False			NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	E	f6v.10:1	qokchod	trockne vollständig	f6v.9:4	cthom		f6v.9:4	cthom		False	IMPLICIT_SUBJECT_CONTINUATION	IMPLICIT_SUBJECT_CONTINUATION	NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	P	f6v.10:1	qokchod	trockne vollständig	f6v.9:4	cthom		f6v.9:4	cthom		False	IMPLICIT_SUBJECT_CONTINUATION	IMPLICIT_SUBJECT_CONTINUATION	NOT_TYPED	False	False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	R	f6v.10:1	qokchod	trockne vollständig	f6v.9:4	cthom		f6v.9:4	cthom		False	IMPLICIT_SUBJECT_CONTINUATION	IMPLICIT_SUBJECT_CONTINUATION	NOT_TYPED	False	False	recorded
