edition	paragraph	target	raw_line	row_status
ZL3b	f17v|f17v.1-f17v.23	f17v.20:5	ykeey okeey cheor chol sho odaiin	recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.15:1	sho cthy chocthy qokchy dory	recorded
ZL3b	f45v|f45v.5-f45v.11	f45v.8:3	yksheor odal sho dy pchom otor oa[iir:iin]	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.33:2	qokeor sho ?keeeos cheor o s al chos aiiin o ky okaraiin	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.38:7	dar cheey ckheey qokeor okey chos sho ykeey okeeo ra[in:i?]	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.20:5	ykeey okeey cheor chol sho ydaiin	recorded
IT2a	f22v|f22v.6-f22v.16	f22v.15:1	sho cthy chocthy qokchy dory	recorded
IT2a	f45v|f45v.5-f45v.11	f45v.8:3	ykcheor odal sho dy pchom otor oaiir	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.33:2	qokeor sho ?keeeos cheor os al chos aiiin oky okar aiin	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.38:7	dor cheey ckheey qokeor okey chos sho ykeey okeeo raiin	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.20:5	ykeey okeey cheor chol sho odaiin	recorded
RF1b	f22v|f22v.6-f22v.16	f22v.15:1	sho cthy chocthy qokchy dory	recorded
RF1b	f45v|f45v.5-f45v.11	f45v.8:3	yksheor odal sho dy pchom otor oaiir	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.33:2	qokeor sho ?keeeos cheor o s al chos aiiin oky okar aiin	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.38:7	dor cheey ckheey qokeor okey chos sho ykeey okeeo rain	recorded
