edition	paragraph	grammar	model	target	patient	object	object_form	old_debts	missing_reference	row_status
ZL3b	f6v|f6v.6-f6v.21	B	E	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	P	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f6v|f6v.6-f6v.21	B	R	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f6v|f6v.6-f6v.21	J	E	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f6v|f6v.6-f6v.21	J	P	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f6v|f6v.6-f6v.21	J	R	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f6v|f6v.6-f6v.21	M	E	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f6v|f6v.6-f6v.21	M	P	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f6v|f6v.6-f6v.21	M	R	f6v.8:1	f6v.8:2	f6v.8:2	chor		False	recorded
ZL3b	f9v|f9v.5-f9v.12	B	E	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f9v|f9v.5-f9v.12	B	P	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f9v|f9v.5-f9v.12	B	R	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f9v|f9v.5-f9v.12	J	E	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f9v|f9v.5-f9v.12	J	P	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f9v|f9v.5-f9v.12	J	R	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f9v|f9v.5-f9v.12	M	E	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f9v|f9v.5-f9v.12	M	P	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f9v|f9v.5-f9v.12	M	R	f9v.11:1	f9v.11:2	f9v.11:2	chshoty		False	recorded
ZL3b	f17v|f17v.1-f17v.23	B	E	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f17v|f17v.1-f17v.23	B	R	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f17v|f17v.1-f17v.23	J	E	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f17v|f17v.1-f17v.23	J	R	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f17v|f17v.1-f17v.23	M	E	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f17v|f17v.1-f17v.23	M	P	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f17v|f17v.1-f17v.23	M	R	f17v.15:1	f17v.15:2	f17v.15:2	cthy		False	recorded
ZL3b	f19v|f19v.8-f19v.14	B	E	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f19v|f19v.8-f19v.14	B	P	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f19v|f19v.8-f19v.14	B	R	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f19v|f19v.8-f19v.14	J	E	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f19v|f19v.8-f19v.14	J	P	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f19v|f19v.8-f19v.14	J	R	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f19v|f19v.8-f19v.14	M	E	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f19v|f19v.8-f19v.14	M	P	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f19v|f19v.8-f19v.14	M	R	f19v.9:1	f19v.9:3	f19v.9:3	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	B	E	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	B	P	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	B	R	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	J	E	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	J	P	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	J	R	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	M	E	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	M	P	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f22v|f22v.6-f22v.16	M	R	f22v.7:1	f22v.7:2	f22v.7:2	chor		False	recorded
ZL3b	f23r|f23r.4-f23r.5	B	E	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f23r|f23r.4-f23r.5	B	P	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f23r|f23r.4-f23r.5	B	R	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f23r|f23r.4-f23r.5	J	E	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f23r|f23r.4-f23r.5	J	P	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f23r|f23r.4-f23r.5	J	R	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f23r|f23r.4-f23r.5	M	E	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f23r|f23r.4-f23r.5	M	P	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f23r|f23r.4-f23r.5	M	R	f23r.5:1	f23r.5:2	f23r.5:2	qokchol		False	recorded
ZL3b	f24r|f24r.1-f24r.20	B	E	f24r.8:1	f24r.8:6	f24r.8:6	qokeol	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	False	recorded
ZL3b	f24r|f24r.1-f24r.20	B	P	f24r.8:1	f24r.8:6	f24r.8:6	qokeol	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	False	recorded
ZL3b	f24r|f24r.1-f24r.20	B	R	f24r.8:1	f24r.8:6	f24r.8:6	qokeol	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	False	recorded
