phrase_id	fixed_phrase_de	expected_statement_count	generated_statement_count	all_uses_regenerated
PFLANZE	die abgebildete Pflanze	5	5	YES
WURZEL	der im Artikel gemeinte untere Pflanzenteil	1	1	YES
BLUETE	der bild- oder exemplarbestimmte Blütenteil	6	6	YES
KRAUT	der aktuell verarbeitete Pflanzenposten	3	3	YES
WASSER	das für den Gang vorgesehene Wasser	9	9	YES
WEIN	das im Rezept vorgesehene Weinmedium	3	3	YES
OEL	das im Rezept vorgesehene Öl	2	2	YES
SAFT	der aus der Pflanze gewonnene Saft	1	1	YES
AUSZUG	das Ergebnis des gerade geführten Auszugsgangs	8	8	YES
ANSATZ	der laufende Arbeitsansatz	11	11	YES
FLUESSIGKEIT	die aktuelle Becken- oder Arbeitsflüssigkeit	17	17	YES
BECKEN	das sichtbar adressierte Becken	37	37	YES
GEFAESS	das sichtbare oder gelernte Arbeitsgefäß	31	31	YES
TUCH	das für den Durchgang vorgesehene Tuch	13	13	YES
OEFFNUNG	die sichtbar bezeichnete Öffnung	7	7	YES
ABLAUF	der lokale sichtbare Auslauf	6	6	YES
STELLE	die bezeichnete örtliche Stelle	31	31	YES
TEIL	der abgeteilte Teil	23	23	YES
PORTION	eine abgeteilte Portion	9	9	YES
MASS	das örtliche Sollmaß	8	8	YES
