unit_id	page	owner_class	template_id	surface_sequence	card_reading_de	content_phrase_ids	fixed_generated_prose_de	previous_fluent_working_reading_de	sentence_specific_lexical_insertions	generation_layers
H1-S001	f10r	PLANT_BATCH	T02	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	PFLANZE|WURZEL|WASSER|AUSZUG|ANSATZ|GEFAESS|TEIL|MASS	Bildbesitzer: diese Bildpflanze. Kartenfolge: Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der im Artikel gemeinte untere Pflanzenteil; das für den Gang vorgesehene Wasser; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß; der abgeteilte Teil; das örtliche Sollmaß.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H1-S002	f10r	PLANT_BATCH	T02	qokchy qotchol chol cthy	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	AUSZUG|ANSATZ	Bildbesitzer: diese Bildpflanze. Kartenfolge: Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz.	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H2-S001	f10r	PLANT_BATCH	T02	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten	PFLANZE|BLUETE|KRAUT|OEL|SAFT|ANSATZ|TUCH|MASS	Bildbesitzer: diese Bildpflanze. Kartenfolge: Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; der aktuell verarbeitete Pflanzenposten; das im Rezept vorgesehene Öl; der aus der Pflanze gewonnene Saft; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch; das örtliche Sollmaß.	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H2-S002	f10r	PLANT_BATCH	T02	qotchor chor otol chol cholor chol daiin dar	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	BLUETE|ANSATZ|PORTION|MASS	Bildbesitzer: diese Bildpflanze. Kartenfolge: Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der laufende Arbeitsansatz; eine abgeteilte Portion; das örtliche Sollmaß.	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H2-S003	f10r	PLANT_BATCH	T02	oykchor shor chor chy kaiiin dy chodaiin	aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	ANSATZ|GEFAESS	Bildbesitzer: diese Bildpflanze. Kartenfolge: aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß. Der Pflanzenartikel setzt dabei voraus: der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß.	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H3-S001	f11r	PLANT_BATCH	T02	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	PFLANZE|BLUETE|WEIN|AUSZUG|ANSATZ|TUCH	Bildbesitzer: diese Bildpflanze. Kartenfolge: Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; das im Rezept vorgesehene Weinmedium; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H3-S002	f11r	PLANT_BATCH	T02	shoyty	Zutatenteil	BLUETE|TEIL	Bildbesitzer: diese Bildpflanze. Kartenfolge: Zutatenteil. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der abgeteilte Teil.	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H3-S003	f11r	PLANT_BATCH	T02	dchol chy kchy dy daiin	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	AUSZUG|TEIL|MASS	Bildbesitzer: diese Bildpflanze. Kartenfolge: vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der abgeteilte Teil; das örtliche Sollmaß.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H3-S004	f11r	PLANT_BATCH	T02	qotchy okchol cthy dy	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	BLUETE|OEL	Bildbesitzer: diese Bildpflanze. Kartenfolge: anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; das im Rezept vorgesehene Öl.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H4-S001	f55v	PLANT_BATCH	T02	qokaiin chaiin ykain ykan ody	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen	PFLANZE|WEIN|GEFAESS|MASS	Bildbesitzer: diese Bildpflanze. Kartenfolge: auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; das im Rezept vorgesehene Weinmedium; das sichtbare oder gelernte Arbeitsgefäß; das örtliche Sollmaß.	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
