master_card_id	master_form	registered_surfaces	portable_core_de	local_prose_expansion_de	component_parse	dictionary_layer	syntactic_type	prose_event_count	records	relation_stems	relation_skeleton_de	composition_reading_de
MC001	chdal	chdal	Zieltransfer	Zieltransfer	CHD_TRANSFER+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B5	AL	ZU_ZIEL	Zieltransfer
MC002	okeey	okeey|qokeey	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	OK_SET+GRADE_2+Y_CURRENT_ITEM	CROSS_REGISTER_REVISED_CORE	DURATIVE_ACTION	7	B1|B2|B3|B4	Y	DIES_AKTUELLER_POSTEN	LAENGER_SETZEN_ODER_HALTEN
MC007	okey	okey|qokey	KURZ_SETZEN	kurz einwirken lassen	OK_SET+GRADE_1+Y_CURRENT_ITEM	CROSS_REGISTER_REVISED_CORE	DURATIVE_ACTION	2	B1|B2	Y	DIES_AKTUELLER_POSTEN	KURZ_SETZEN
MC008	lchy	lchy	Abführgut	Abführgut	LCH_WITHDRAW+Y_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B2	Y	DIES_AKTUELLER_POSTEN	Abführgut
MC009	chary	chary	Quellposten	Quellposten	AR_FROM+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B3	AR|Y	VON_QUELLE + DIES_AKTUELLER_POSTEN	Quellposten
MC010	chodaly	chodaly	Zugabe am aktuellen Ziel	Zugabe am aktuellen Ziel	CHO + AL + Y	FULL_COMPOSITION	LEARNED_OBJECT	1	H5	AL|Y	ZU_ZIEL + DIES_AKTUELLER_POSTEN	Zugabe am aktuellen Ziel
MC011	lchedar	lchedar	Quellabführung	Quellabführung	L_OUT+CHED_TRANSFER+AR_FROM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B2	AR	VON_QUELLE	Quellabführung
MC013	otchor	otchor|qotchor	Folgeansatz	Folgeansatz	OT + OR	FULL_COMPOSITION	ORDERED_OBJECT	2	H2|H5	OT|OR	DANACH_NAECHSTER + ANSATZ_AKTIVER_SATZ	Folgeansatz
MC015	qokokchy	qokokchy	denselben Posten erneut einsetzen	denselben Posten erneut einsetzen	OK + OK + Y	FULL_COMPOSITION	LEARNED_LOCAL_ACTION	1	H5	Y	DIES_AKTUELLER_POSTEN	denselben Posten erneut einsetzen
MC016	rol	rol	Anschluss	Anschluss	R_FRAME+OL_CONTINUE	PRODUCTIVE_COMPOSITION	LEARNED_ORDER_OR_LINK	1	B1	OL	WEITER_GLEICHER_FORTGANG	Anschluss
