locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.1	f100r	P	A	f100r.1|P01	chosaroshol	<chosaroshol>	<chosaroshol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.10	f100r	P	A	f100r.10|P01	dakocth	<dakocth>	<dakocth>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.11	f100r	P	A	f100r.11|P01|f100r.11|P02|f100r.11|P03	sofal	<sofal>	<sofal>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.12	f100r	P	A	f100r.12|P01|f100r.12|P02|f100r.12|P03	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	p<sheod><qocpheeckhy><shodol><cthdaoto><ch><qeos>w<chcthso>j	p<sheod><qocpheeckhy><shodol><cthdaoto><ch><qeos>w<chcthso>j	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.13	f100r	P	A	f100r.13|P01|f100r.13|P02|f100r.13|P03	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	<dsheor>dwu<ykeeodain><sorary>kk<deeamshol>	<dsheor>dwu<ykeeodain><sorary>kk<deeamshol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.14	f100r	P	A	f100r.14|P01|f100r.14|P02|f100r.14|P03	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	rirl<qoteold>a<so>nb<ykecho>	rirl<qoteold>a<so>nb<ykecho>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.15	f100r	P	A	f100r.15|P01|f100r.15|P02|f100r.15|P03	dcheor shol qokeeol chor chol qokeeody dareu	<dcheor>vauj <dareu>	<dcheor>vauj <dareu>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.16	f100r	P	A	f100r.16|P01	okeeos	<okeeos>	<okeeos>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.17	f100r	P	A	f100r.17|P01	shockhey	<shockhey>	<shockhey>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.18	f100r	P	A	f100r.18|P01	orol	j	j	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.19	f100r	P	A	f100r.19|P01	olcheom	<olcheom>	<olcheom>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.2	f100r	P	A	f100r.2|P01	sochorcfhy	<sochorcfhy>	<sochorcfhy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.20	f100r	P	A	f100r.20|P01	oteol	t	t	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.21	f100r	P	A	f100r.21|P01|f100r.21|P02	otols	<otols>	<otols>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.22	f100r	P	A	f100r.22|P01|f100r.22|P02|f100r.22|P03	folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	<folshody>jk<fchodycheol>p<qotees>r<oreso><alcfhy>	<folshody>jk<fchodycheol>p<qotees>r<oreso><alcfhy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.23	f100r	P	A	f100r.23|P01|f100r.23|P02|f100r.23|P03	soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	pjpvv<qockhol>ujly<cckhhy><ykeeam>	pjpvv<qockhol>ujly<cckhhy><ykeeam>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.24	f100r	P	A	f100r.24|P01|f100r.24|P02|f100r.24|P03	saiichor sheor qockhody odeor yksheey cholsheody sai cheol saiin	<saiichor>r<qockhody><odeor><yksheey><cholsheody><sai>op	<saiichor>r<qockhody><odeor><yksheey><cholsheody><sai>op	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
